train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.68
mixed,mem,MSC01,MSC02,0.8149999999999998
motor,mixed,MSC01,MSC02,0.685
motor,mem,MSC01,MSC02,0.7050000000000001
mem,mixed,MSC01,MSC02,0.8
mem,motor,MSC01,MSC02,0.74
mixed,motor,MSC01,MSC03,0.605
mixed,mem,MSC01,MSC03,0.615
motor,mixed,MSC01,MSC03,0.8100000000000002
motor,mem,MSC01,MSC03,0.7449999999999999
mem,mixed,MSC01,MSC03,0.7050000000000001
mem,motor,MSC01,MSC03,0.7150000000000001
mixed,motor,MSC01,MSC04,0.825
mixed,mem,MSC01,MSC04,0.7999999999999999
motor,mixed,MSC01,MSC04,0.72
motor,mem,MSC01,MSC04,0.705
mem,mixed,MSC01,MSC04,0.835
mem,motor,MSC01,MSC04,0.885
mixed,motor,MSC01,MSC05,0.7799999999999999
mixed,mem,MSC01,MSC05,0.835
motor,mixed,MSC01,MSC05,0.5950000000000001
motor,mem,MSC01,MSC05,0.73
mem,mixed,MSC01,MSC05,0.78
mem,motor,MSC01,MSC05,0.7949999999999999
mixed,motor,MSC01,MSC06,0.835
mixed,mem,MSC01,MSC06,0.9
motor,mixed,MSC01,MSC06,0.5199999999999999
motor,mem,MSC01,MSC06,0.5449999999999999
mem,mixed,MSC01,MSC06,0.6199999999999999
mem,motor,MSC01,MSC06,0.865
mixed,motor,MSC01,MSC07,0.6749999999999999
mixed,mem,MSC01,MSC07,0.6749999999999999
motor,mixed,MSC01,MSC07,0.915
motor,mem,MSC01,MSC07,0.735
mem,mixed,MSC01,MSC07,0.6700000000000002
mem,motor,MSC01,MSC07,0.6700000000000002
mixed,motor,MSC01,MSC10,0.835
mixed,mem,MSC01,MSC10,0.825
motor,mixed,MSC01,MSC10,0.6900000000000001
motor,mem,MSC01,MSC10,0.8850000000000001
mem,mixed,MSC01,MSC10,0.845
mem,motor,MSC01,MSC10,0.8799999999999999
mixed,motor,MSC02,MSC01,0.62
mixed,mem,MSC02,MSC01,0.5449999999999999
motor,mixed,MSC02,MSC01,0.5
motor,mem,MSC02,MSC01,0.5
mem,mixed,MSC02,MSC01,0.96
mem,motor,MSC02,MSC01,0.96
mixed,motor,MSC02,MSC03,0.675
mixed,mem,MSC02,MSC03,0.61
motor,mixed,MSC02,MSC03,0.5
motor,mem,MSC02,MSC03,0.5
mem,mixed,MSC02,MSC03,0.7000000000000001
mem,motor,MSC02,MSC03,0.735
mixed,motor,MSC02,MSC04,0.7050000000000001
mixed,mem,MSC02,MSC04,0.5399999999999999
motor,mixed,MSC02,MSC04,0.5
motor,mem,MSC02,MSC04,0.5
mem,mixed,MSC02,MSC04,0.9349999999999999
mem,motor,MSC02,MSC04,0.9400000000000001
mixed,motor,MSC02,MSC05,0.635
mixed,mem,MSC02,MSC05,0.575
motor,mixed,MSC02,MSC05,0.5
motor,mem,MSC02,MSC05,0.5
mem,mixed,MSC02,MSC05,0.945
mem,motor,MSC02,MSC05,0.89
mixed,motor,MSC02,MSC06,0.57
mixed,mem,MSC02,MSC06,0.545
motor,mixed,MSC02,MSC06,0.5
motor,mem,MSC02,MSC06,0.5
mem,mixed,MSC02,MSC06,0.915
mem,motor,MSC02,MSC06,0.9949999999999999
mixed,motor,MSC02,MSC07,0.535
mixed,mem,MSC02,MSC07,0.5899999999999999
motor,mixed,MSC02,MSC07,0.5
motor,mem,MSC02,MSC07,0.5
mem,mixed,MSC02,MSC07,0.8850000000000001
mem,motor,MSC02,MSC07,0.9
mixed,motor,MSC02,MSC10,0.58
mixed,mem,MSC02,MSC10,0.535
motor,mixed,MSC02,MSC10,0.5
motor,mem,MSC02,MSC10,0.5
mem,mixed,MSC02,MSC10,0.9199999999999999
mem,motor,MSC02,MSC10,0.945
mixed,motor,MSC03,MSC01,0.52
mixed,mem,MSC03,MSC01,0.505
motor,mixed,MSC03,MSC01,0.5
motor,mem,MSC03,MSC01,0.5399999999999999
mem,mixed,MSC03,MSC01,0.505
mem,motor,MSC03,MSC01,0.505
mixed,motor,MSC03,MSC02,0.8900000000000002
mixed,mem,MSC03,MSC02,0.565
motor,mixed,MSC03,MSC02,0.5
motor,mem,MSC03,MSC02,0.54
mem,mixed,MSC03,MSC02,0.49000000000000005
mem,motor,MSC03,MSC02,0.41500000000000004
mixed,motor,MSC03,MSC04,0.7
mixed,mem,MSC03,MSC04,0.5299999999999999
motor,mixed,MSC03,MSC04,0.51
motor,mem,MSC03,MSC04,0.5
mem,mixed,MSC03,MSC04,0.7749999999999999
mem,motor,MSC03,MSC04,0.8349999999999997
mixed,motor,MSC03,MSC05,0.845
mixed,mem,MSC03,MSC05,0.85
motor,mixed,MSC03,MSC05,0.57
motor,mem,MSC03,MSC05,0.7150000000000001
mem,mixed,MSC03,MSC05,0.835
mem,motor,MSC03,MSC05,0.845
mixed,motor,MSC03,MSC06,0.51
mixed,mem,MSC03,MSC06,0.5
motor,mixed,MSC03,MSC06,0.51
motor,mem,MSC03,MSC06,0.5
mem,mixed,MSC03,MSC06,0.7949999999999999
mem,motor,MSC03,MSC06,0.82
mixed,motor,MSC03,MSC07,0.55
mixed,mem,MSC03,MSC07,0.51
motor,mixed,MSC03,MSC07,0.5
motor,mem,MSC03,MSC07,0.5399999999999999
mem,mixed,MSC03,MSC07,0.62
mem,motor,MSC03,MSC07,0.9400000000000001
mixed,motor,MSC03,MSC10,0.6600000000000001
mixed,mem,MSC03,MSC10,0.605
motor,mixed,MSC03,MSC10,0.5
motor,mem,MSC03,MSC10,0.6049999999999999
mem,mixed,MSC03,MSC10,0.8950000000000001
mem,motor,MSC03,MSC10,0.89
mixed,motor,MSC04,MSC01,0.89
mixed,mem,MSC04,MSC01,0.9350000000000002
motor,mixed,MSC04,MSC01,0.5399999999999999
motor,mem,MSC04,MSC01,0.575
mem,mixed,MSC04,MSC01,0.845
mem,motor,MSC04,MSC01,0.9299999999999999
mixed,motor,MSC04,MSC02,0.8150000000000001
mixed,mem,MSC04,MSC02,0.9200000000000002
motor,mixed,MSC04,MSC02,0.6100000000000001
motor,mem,MSC04,MSC02,0.7100000000000001
mem,mixed,MSC04,MSC02,0.66
mem,motor,MSC04,MSC02,0.58
mixed,motor,MSC04,MSC03,0.7799999999999999
mixed,mem,MSC04,MSC03,0.7949999999999999
motor,mixed,MSC04,MSC03,0.5599999999999999
motor,mem,MSC04,MSC03,0.645
mem,mixed,MSC04,MSC03,0.76
mem,motor,MSC04,MSC03,0.825
mixed,motor,MSC04,MSC05,0.89
mixed,mem,MSC04,MSC05,0.9850000000000001
motor,mixed,MSC04,MSC05,0.5649999999999998
motor,mem,MSC04,MSC05,0.5599999999999999
mem,mixed,MSC04,MSC05,0.58
mem,motor,MSC04,MSC05,0.6699999999999999
mixed,motor,MSC04,MSC06,0.9
mixed,mem,MSC04,MSC06,0.95
motor,mixed,MSC04,MSC06,0.5549999999999999
motor,mem,MSC04,MSC06,0.5499999999999999
mem,mixed,MSC04,MSC06,0.835
mem,motor,MSC04,MSC06,0.925
mixed,motor,MSC04,MSC07,0.6099999999999999
mixed,mem,MSC04,MSC07,0.625
motor,mixed,MSC04,MSC07,0.6050000000000001
motor,mem,MSC04,MSC07,0.5349999999999999
mem,mixed,MSC04,MSC07,0.725
mem,motor,MSC04,MSC07,0.8700000000000001
mixed,motor,MSC04,MSC10,0.915
mixed,mem,MSC04,MSC10,0.93
motor,mixed,MSC04,MSC10,0.595
motor,mem,MSC04,MSC10,0.665
mem,mixed,MSC04,MSC10,0.9250000000000002
mem,motor,MSC04,MSC10,0.96
mixed,motor,MSC05,MSC01,0.8099999999999999
mixed,mem,MSC05,MSC01,0.8099999999999999
motor,mixed,MSC05,MSC01,0.5
motor,mem,MSC05,MSC01,0.5
mem,mixed,MSC05,MSC01,0.8150000000000001
mem,motor,MSC05,MSC01,0.93
mixed,motor,MSC05,MSC02,0.53
mixed,mem,MSC05,MSC02,0.5499999999999999
motor,mixed,MSC05,MSC02,0.525
motor,mem,MSC05,MSC02,0.5
mem,mixed,MSC05,MSC02,0.6799999999999999
mem,motor,MSC05,MSC02,0.6900000000000001
mixed,motor,MSC05,MSC03,0.82
mixed,mem,MSC05,MSC03,0.79
motor,mixed,MSC05,MSC03,0.575
motor,mem,MSC05,MSC03,0.5
mem,mixed,MSC05,MSC03,0.9200000000000002
mem,motor,MSC05,MSC03,0.9649999999999999
mixed,motor,MSC05,MSC04,0.945
mixed,mem,MSC05,MSC04,0.7150000000000001
motor,mixed,MSC05,MSC04,0.5
motor,mem,MSC05,MSC04,0.5
mem,mixed,MSC05,MSC04,0.7699999999999999
mem,motor,MSC05,MSC04,0.885
mixed,motor,MSC05,MSC06,0.905
mixed,mem,MSC05,MSC06,0.9349999999999999
motor,mixed,MSC05,MSC06,0.5
motor,mem,MSC05,MSC06,0.5
mem,mixed,MSC05,MSC06,0.845
mem,motor,MSC05,MSC06,0.93
mixed,motor,MSC05,MSC07,0.9049999999999999
mixed,mem,MSC05,MSC07,0.85
motor,mixed,MSC05,MSC07,0.53
motor,mem,MSC05,MSC07,0.515
mem,mixed,MSC05,MSC07,0.8299999999999998
mem,motor,MSC05,MSC07,0.945
mixed,motor,MSC05,MSC10,0.8550000000000001
mixed,mem,MSC05,MSC10,0.8600000000000001
motor,mixed,MSC05,MSC10,0.5
motor,mem,MSC05,MSC10,0.515
mem,mixed,MSC05,MSC10,0.845
mem,motor,MSC05,MSC10,0.905
mixed,motor,MSC06,MSC01,0.575
mixed,mem,MSC06,MSC01,0.525
motor,mixed,MSC06,MSC01,0.595
motor,mem,MSC06,MSC01,0.5999999999999999
mem,mixed,MSC06,MSC01,0.9049999999999999
mem,motor,MSC06,MSC01,0.9249999999999998
mixed,motor,MSC06,MSC02,0.575
mixed,mem,MSC06,MSC02,0.6500000000000001
motor,mixed,MSC06,MSC02,0.5449999999999999
motor,mem,MSC06,MSC02,0.635
mem,mixed,MSC06,MSC02,0.68
mem,motor,MSC06,MSC02,0.575
mixed,motor,MSC06,MSC03,0.505
mixed,mem,MSC06,MSC03,0.565
motor,mixed,MSC06,MSC03,0.5349999999999999
motor,mem,MSC06,MSC03,0.55
mem,mixed,MSC06,MSC03,0.7050000000000001
mem,motor,MSC06,MSC03,0.65
mixed,motor,MSC06,MSC04,0.6700000000000002
mixed,mem,MSC06,MSC04,0.62
motor,mixed,MSC06,MSC04,0.745
motor,mem,MSC06,MSC04,0.75
mem,mixed,MSC06,MSC04,0.875
mem,motor,MSC06,MSC04,0.835
mixed,motor,MSC06,MSC05,0.66
mixed,mem,MSC06,MSC05,0.68
motor,mixed,MSC06,MSC05,0.875
motor,mem,MSC06,MSC05,0.9299999999999999
mem,mixed,MSC06,MSC05,0.7
mem,motor,MSC06,MSC05,0.7449999999999999
mixed,motor,MSC06,MSC07,0.7499999999999999
mixed,mem,MSC06,MSC07,0.67
motor,mixed,MSC06,MSC07,0.7300000000000001
motor,mem,MSC06,MSC07,0.7050000000000001
mem,mixed,MSC06,MSC07,0.8800000000000001
mem,motor,MSC06,MSC07,0.8800000000000001
mixed,motor,MSC06,MSC10,0.7899999999999999
mixed,mem,MSC06,MSC10,0.8200000000000001
motor,mixed,MSC06,MSC10,0.57
motor,mem,MSC06,MSC10,0.59
mem,mixed,MSC06,MSC10,0.8700000000000001
mem,motor,MSC06,MSC10,0.9149999999999998
mixed,motor,MSC07,MSC01,0.9299999999999999
mixed,mem,MSC07,MSC01,0.8300000000000001
motor,mixed,MSC07,MSC01,0.52
motor,mem,MSC07,MSC01,0.53
mem,mixed,MSC07,MSC01,0.845
mem,motor,MSC07,MSC01,0.845
mixed,motor,MSC07,MSC02,0.53
mixed,mem,MSC07,MSC02,0.75
motor,mixed,MSC07,MSC02,0.53
motor,mem,MSC07,MSC02,0.5599999999999999
mem,mixed,MSC07,MSC02,0.585
mem,motor,MSC07,MSC02,0.525
mixed,motor,MSC07,MSC03,0.585
mixed,mem,MSC07,MSC03,0.8450000000000001
motor,mixed,MSC07,MSC03,0.59
motor,mem,MSC07,MSC03,0.6049999999999999
mem,mixed,MSC07,MSC03,0.595
mem,motor,MSC07,MSC03,0.635
mixed,motor,MSC07,MSC04,0.75
mixed,mem,MSC07,MSC04,0.6950000000000001
motor,mixed,MSC07,MSC04,0.5399999999999999
motor,mem,MSC07,MSC04,0.61
mem,mixed,MSC07,MSC04,0.8249999999999998
mem,motor,MSC07,MSC04,0.8299999999999998
mixed,motor,MSC07,MSC05,0.5149999999999999
mixed,mem,MSC07,MSC05,0.5999999999999999
