train_sub,test_sub,task,acc
MSC01,MSC02,mixed,0.6299999999999999
MSC01,MSC02,motor,0.72
MSC01,MSC02,mem,0.99
MSC01,MSC03,mixed,0.52
MSC01,MSC03,motor,0.885
MSC01,MSC03,mem,0.76
MSC01,MSC04,mixed,0.5999999999999999
MSC01,MSC04,motor,0.86
MSC01,MSC04,mem,0.8849999999999998
MSC01,MSC05,mixed,0.6449999999999999
MSC01,MSC05,motor,0.885
MSC01,MSC05,mem,0.9
MSC01,MSC06,mixed,0.76
MSC01,MSC06,motor,0.9550000000000001
MSC01,MSC06,mem,0.82
MSC01,MSC07,mixed,0.5549999999999999
MSC01,MSC07,motor,0.845
MSC01,MSC07,mem,0.6499999999999999
MSC01,MSC10,mixed,0.685
MSC01,MSC10,motor,0.8699999999999999
MSC01,MSC10,mem,0.9199999999999999
MSC02,MSC01,mixed,0.76
MSC02,MSC01,motor,0.5899999999999999
MSC02,MSC01,mem,0.96
MSC02,MSC03,mixed,0.56
MSC02,MSC03,motor,0.74
MSC02,MSC03,mem,0.7749999999999999
MSC02,MSC04,mixed,0.8
MSC02,MSC04,motor,0.8950000000000001
MSC02,MSC04,mem,0.845
MSC02,MSC05,mixed,0.65
MSC02,MSC05,motor,0.8699999999999999
MSC02,MSC05,mem,0.8300000000000001
MSC02,MSC06,mixed,0.9
MSC02,MSC06,motor,0.5599999999999999
MSC02,MSC06,mem,0.9050000000000002
MSC02,MSC07,mixed,0.7150000000000001
MSC02,MSC07,motor,0.7499999999999999
MSC02,MSC07,mem,0.865
MSC02,MSC10,mixed,0.7499999999999999
MSC02,MSC10,motor,0.7849999999999999
MSC02,MSC10,mem,0.885
MSC03,MSC01,mixed,0.5850000000000001
MSC03,MSC01,motor,0.7449999999999999
MSC03,MSC01,mem,0.5499999999999999
MSC03,MSC02,mixed,0.5599999999999999
MSC03,MSC02,motor,0.7649999999999999
MSC03,MSC02,mem,0.835
MSC03,MSC04,mixed,0.7300000000000001
MSC03,MSC04,motor,0.97
MSC03,MSC04,mem,0.89
MSC03,MSC05,mixed,0.8049999999999999
MSC03,MSC05,motor,0.95
MSC03,MSC05,mem,0.78
MSC03,MSC06,mixed,0.53
MSC03,MSC06,motor,0.73
MSC03,MSC06,mem,0.6900000000000001
MSC03,MSC07,mixed,0.595
MSC03,MSC07,motor,0.7949999999999999
MSC03,MSC07,mem,0.53
MSC03,MSC10,mixed,0.62
MSC03,MSC10,motor,0.7250000000000001
MSC03,MSC10,mem,0.635
MSC04,MSC01,mixed,0.7699999999999999
MSC04,MSC01,motor,0.7699999999999998
MSC04,MSC01,mem,0.8200000000000001
MSC04,MSC02,mixed,0.7100000000000001
MSC04,MSC02,motor,0.595
MSC04,MSC02,mem,0.8649999999999999
MSC04,MSC03,mixed,0.575
MSC04,MSC03,motor,0.875
MSC04,MSC03,mem,0.8550000000000001
MSC04,MSC05,mixed,0.5599999999999999
MSC04,MSC05,motor,0.7699999999999999
MSC04,MSC05,mem,0.62
MSC04,MSC06,mixed,0.76
MSC04,MSC06,motor,0.7799999999999999
MSC04,MSC06,mem,0.9200000000000002
MSC04,MSC07,mixed,0.55
MSC04,MSC07,motor,0.8099999999999999
MSC04,MSC07,mem,0.8799999999999999
MSC04,MSC10,mixed,0.5999999999999999
MSC04,MSC10,motor,0.7649999999999999
MSC04,MSC10,mem,0.875
MSC05,MSC01,mixed,0.595
MSC05,MSC01,motor,0.6049999999999999
MSC05,MSC01,mem,0.8200000000000001
MSC05,MSC02,mixed,0.7649999999999999
MSC05,MSC02,motor,0.8800000000000001
MSC05,MSC02,mem,0.875
MSC05,MSC03,mixed,0.775
MSC05,MSC03,motor,0.7100000000000001
MSC05,MSC03,mem,0.5999999999999999
MSC05,MSC04,mixed,0.85
MSC05,MSC04,motor,0.76
MSC05,MSC04,mem,0.8149999999999998
MSC05,MSC06,mixed,0.8400000000000001
MSC05,MSC06,motor,0.7150000000000001
MSC05,MSC06,mem,1.0
MSC05,MSC07,mixed,0.58
MSC05,MSC07,motor,0.6400000000000001
MSC05,MSC07,mem,0.75
MSC05,MSC10,mixed,0.705
MSC05,MSC10,motor,0.6399999999999999
MSC05,MSC10,mem,0.675
MSC06,MSC01,mixed,0.51
MSC06,MSC01,motor,0.8950000000000001
MSC06,MSC01,mem,0.865
MSC06,MSC02,mixed,0.5549999999999999
MSC06,MSC02,motor,0.635
MSC06,MSC02,mem,0.845
MSC06,MSC03,mixed,0.49000000000000005
MSC06,MSC03,motor,0.645
MSC06,MSC03,mem,0.7899999999999999
MSC06,MSC04,mixed,0.745
MSC06,MSC04,motor,0.59
MSC06,MSC04,mem,0.9850000000000001
MSC06,MSC05,mixed,0.5
MSC06,MSC05,motor,0.875
MSC06,MSC05,mem,0.9549999999999998
MSC06,MSC07,mixed,0.7000000000000001
MSC06,MSC07,motor,0.8150000000000001
MSC06,MSC07,mem,0.72
MSC06,MSC10,mixed,0.6199999999999999
MSC06,MSC10,motor,0.715
MSC06,MSC10,mem,0.875
MSC07,MSC01,mixed,0.8800000000000001
MSC07,MSC01,motor,0.825
MSC07,MSC01,mem,0.9200000000000002
MSC07,MSC02,mixed,0.57
MSC07,MSC02,motor,0.755
MSC07,MSC02,mem,0.8799999999999999
MSC07,MSC03,mixed,0.46499999999999997
MSC07,MSC03,motor,0.61
MSC07,MSC03,mem,0.65
MSC07,MSC04,mixed,0.5599999999999999
MSC07,MSC04,motor,0.82
MSC07,MSC04,mem,0.9200000000000002
MSC07,MSC05,mixed,0.525
MSC07,MSC05,motor,0.6950000000000001
MSC07,MSC05,mem,0.7949999999999999
MSC07,MSC06,mixed,0.5499999999999999
MSC07,MSC06,motor,0.85
MSC07,MSC06,mem,0.8550000000000001
MSC07,MSC10,mixed,0.655
MSC07,MSC10,motor,0.885
MSC07,MSC10,mem,0.78
MSC10,MSC01,mixed,0.59
MSC10,MSC01,motor,0.8149999999999998
MSC10,MSC01,mem,0.7400000000000001
MSC10,MSC02,mixed,0.665
MSC10,MSC02,motor,0.645
MSC10,MSC02,mem,0.9349999999999999
MSC10,MSC03,mixed,0.5449999999999999
MSC10,MSC03,motor,0.775
MSC10,MSC03,mem,0.7949999999999999
MSC10,MSC04,mixed,0.745
MSC10,MSC04,motor,0.85
MSC10,MSC04,mem,0.8400000000000001
MSC10,MSC05,mixed,0.63
MSC10,MSC05,motor,0.875
MSC10,MSC05,mem,0.74
MSC10,MSC06,mixed,0.7300000000000001
MSC10,MSC06,motor,0.565
MSC10,MSC06,mem,0.8850000000000001
MSC10,MSC07,mixed,0.725
MSC10,MSC07,motor,0.8300000000000001
MSC10,MSC07,mem,0.7949999999999999
