train_task,test_task,sub,acc
mixed,motor,MSC01,0.9949999999999999
mixed,mem,MSC01,0.9400000000000001
motor,mixed,MSC01,0.77
motor,mem,MSC01,0.6500000000000001
mem,mixed,MSC01,0.95
mem,motor,MSC01,0.9949999999999999
mixed,motor,MSC02,0.75
mixed,mem,MSC02,0.7749999999999999
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.72
mem,motor,MSC02,0.635
mixed,motor,MSC03,1.0
mixed,mem,MSC03,0.8499999999999999
motor,mixed,MSC03,0.5549999999999999
motor,mem,MSC03,0.5899999999999999
mem,mixed,MSC03,0.665
mem,motor,MSC03,0.8950000000000001
mixed,motor,MSC04,0.9099999999999999
mixed,mem,MSC04,0.9550000000000001
motor,mixed,MSC04,0.5599999999999998
motor,mem,MSC04,0.6249999999999999
mem,mixed,MSC04,0.885
mem,motor,MSC04,0.9149999999999998
mixed,motor,MSC05,0.905
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.5699999999999998
motor,mem,MSC05,0.59
mem,mixed,MSC05,0.875
mem,motor,MSC05,1.0
mixed,motor,MSC06,0.9000000000000001
mixed,mem,MSC06,1.0
motor,mixed,MSC06,0.59
motor,mem,MSC06,0.6600000000000001
mem,mixed,MSC06,0.755
mem,motor,MSC06,0.9299999999999999
mixed,motor,MSC07,0.8400000000000001
mixed,mem,MSC07,0.8800000000000001
motor,mixed,MSC07,0.5499999999999999
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.9049999999999999
mem,motor,MSC07,0.8850000000000001
mixed,motor,MSC10,0.875
mixed,mem,MSC10,0.9549999999999998
motor,mixed,MSC10,0.5149999999999999
motor,mem,MSC10,0.6
mem,mixed,MSC10,0.8399999999999999
mem,motor,MSC10,0.915
