,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.55
1,mixed,mem,MSC01,MSC02,0.7
2,motor,mixed,MSC01,MSC02,0.655
3,motor,mem,MSC01,MSC02,0.7050000000000001
4,mem,mixed,MSC01,MSC02,0.7050000000000001
5,mem,motor,MSC01,MSC02,0.5449999999999999
6,mixed,motor,MSC01,MSC03,0.66
7,mixed,mem,MSC01,MSC03,0.715
8,motor,mixed,MSC01,MSC03,0.6499999999999999
9,motor,mem,MSC01,MSC03,0.6900000000000001
10,mem,mixed,MSC01,MSC03,0.59
11,mem,motor,MSC01,MSC03,0.72
12,mixed,motor,MSC01,MSC04,0.7649999999999999
13,mixed,mem,MSC01,MSC04,0.715
14,motor,mixed,MSC01,MSC04,0.6699999999999999
15,motor,mem,MSC01,MSC04,0.6500000000000001
16,mem,mixed,MSC01,MSC04,0.7050000000000001
17,mem,motor,MSC01,MSC04,0.6700000000000002
18,mixed,motor,MSC01,MSC05,0.8300000000000001
19,mixed,mem,MSC01,MSC05,0.8149999999999998
20,motor,mixed,MSC01,MSC05,0.665
21,motor,mem,MSC01,MSC05,0.7749999999999999
22,mem,mixed,MSC01,MSC05,0.5399999999999999
23,mem,motor,MSC01,MSC05,0.615
24,mixed,motor,MSC01,MSC06,0.6
25,mixed,mem,MSC01,MSC06,0.5799999999999998
26,motor,mixed,MSC01,MSC06,0.5149999999999999
27,motor,mem,MSC01,MSC06,0.5449999999999999
28,mem,mixed,MSC01,MSC06,0.5
29,mem,motor,MSC01,MSC06,0.6100000000000001
30,mixed,motor,MSC01,MSC07,0.95
31,mixed,mem,MSC01,MSC07,0.9650000000000001
32,motor,mixed,MSC01,MSC07,0.945
33,motor,mem,MSC01,MSC07,0.745
34,mem,mixed,MSC01,MSC07,0.9949999999999999
35,mem,motor,MSC01,MSC07,0.9549999999999998
36,mixed,motor,MSC01,MSC10,0.8600000000000001
37,mixed,mem,MSC01,MSC10,0.85
38,motor,mixed,MSC01,MSC10,0.625
39,motor,mem,MSC01,MSC10,0.8
40,mem,mixed,MSC01,MSC10,0.69
41,mem,motor,MSC01,MSC10,0.675
42,mixed,motor,MSC02,MSC01,0.875
43,mixed,mem,MSC02,MSC01,0.765
44,motor,mixed,MSC02,MSC01,0.5
45,motor,mem,MSC02,MSC01,0.5
46,mem,mixed,MSC02,MSC01,0.7100000000000001
47,mem,motor,MSC02,MSC01,0.945
48,mixed,motor,MSC02,MSC03,0.8149999999999998
49,mixed,mem,MSC02,MSC03,0.66
50,motor,mixed,MSC02,MSC03,0.78
51,motor,mem,MSC02,MSC03,0.6100000000000001
52,mem,mixed,MSC02,MSC03,0.8100000000000002
53,mem,motor,MSC02,MSC03,0.905
54,mixed,motor,MSC02,MSC04,0.78
55,mixed,mem,MSC02,MSC04,0.5949999999999999
56,motor,mixed,MSC02,MSC04,0.5
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.865
59,mem,motor,MSC02,MSC04,0.95
60,mixed,motor,MSC02,MSC05,0.8550000000000001
61,mixed,mem,MSC02,MSC05,0.795
62,motor,mixed,MSC02,MSC05,0.505
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.9400000000000001
65,mem,motor,MSC02,MSC05,0.905
66,mixed,motor,MSC02,MSC06,0.7
67,mixed,mem,MSC02,MSC06,0.6500000000000001
68,motor,mixed,MSC02,MSC06,0.545
69,motor,mem,MSC02,MSC06,0.5499999999999999
70,mem,mixed,MSC02,MSC06,0.8099999999999999
71,mem,motor,MSC02,MSC06,0.8799999999999999
72,mixed,motor,MSC02,MSC07,0.735
73,mixed,mem,MSC02,MSC07,0.7150000000000001
74,motor,mixed,MSC02,MSC07,0.5
75,motor,mem,MSC02,MSC07,0.5
