,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.825
1,MSC01,MSC02,motor,0.89
2,MSC01,MSC02,mem,0.9100000000000001
3,MSC01,MSC03,mixed,0.73
4,MSC01,MSC03,motor,0.905
5,MSC01,MSC03,mem,0.99
6,MSC01,MSC04,mixed,0.8250000000000002
7,MSC01,MSC04,motor,0.99
8,MSC01,MSC04,mem,0.8499999999999999
9,MSC01,MSC05,mixed,0.885
10,MSC01,MSC05,motor,0.8699999999999999
11,MSC01,MSC05,mem,0.885
12,MSC01,MSC06,mixed,0.6300000000000001
13,MSC01,MSC06,motor,0.7499999999999999
14,MSC01,MSC06,mem,0.6850000000000002
15,MSC01,MSC07,mixed,0.9800000000000001
16,MSC01,MSC07,motor,0.9800000000000001
17,MSC01,MSC07,mem,0.9949999999999999
18,MSC01,MSC10,mixed,0.7949999999999999
19,MSC01,MSC10,motor,0.985
20,MSC01,MSC10,mem,0.95
21,MSC02,MSC01,mixed,0.8549999999999999
22,MSC02,MSC01,motor,0.755
23,MSC02,MSC01,mem,1.0
24,MSC02,MSC03,mixed,0.875
25,MSC02,MSC03,motor,0.8700000000000001
26,MSC02,MSC03,mem,0.985
27,MSC02,MSC04,mixed,0.7649999999999999
28,MSC02,MSC04,motor,0.8900000000000002
29,MSC02,MSC04,mem,0.9949999999999999
30,MSC02,MSC05,mixed,0.7999999999999999
31,MSC02,MSC05,motor,0.85
32,MSC02,MSC05,mem,1.0
33,MSC02,MSC06,mixed,0.725
34,MSC02,MSC06,motor,0.745
35,MSC02,MSC06,mem,0.95
36,MSC02,MSC07,mixed,0.8149999999999998
37,MSC02,MSC07,motor,0.925
38,MSC02,MSC07,mem,0.975
39,MSC02,MSC10,mixed,0.6700000000000002
40,MSC02,MSC10,motor,0.7849999999999999
41,MSC02,MSC10,mem,0.9150000000000003
42,MSC03,MSC01,mixed,0.5499999999999999
43,MSC03,MSC01,motor,0.8499999999999999
44,MSC03,MSC01,mem,0.665
45,MSC03,MSC02,mixed,0.825
46,MSC03,MSC02,motor,1.0
47,MSC03,MSC02,mem,0.6799999999999999
48,MSC03,MSC04,mixed,0.765
49,MSC03,MSC04,motor,0.9549999999999998
50,MSC03,MSC04,mem,0.915
51,MSC03,MSC05,mixed,0.9000000000000001
52,MSC03,MSC05,motor,0.9450000000000001
53,MSC03,MSC05,mem,0.9349999999999999
54,MSC03,MSC06,mixed,0.5499999999999999
55,MSC03,MSC06,motor,0.8800000000000002
56,MSC03,MSC06,mem,0.985
57,MSC03,MSC07,mixed,0.5999999999999999
58,MSC03,MSC07,motor,0.8949999999999999
59,MSC03,MSC07,mem,0.7100000000000001
60,MSC03,MSC10,mixed,0.5599999999999999
61,MSC03,MSC10,motor,0.9099999999999999
62,MSC03,MSC10,mem,0.9400000000000001
63,MSC04,MSC01,mixed,0.9549999999999998
64,MSC04,MSC01,motor,1.0
65,MSC04,MSC01,mem,0.9949999999999999
66,MSC04,MSC02,mixed,0.8800000000000001
67,MSC04,MSC02,motor,0.99
68,MSC04,MSC02,mem,0.925
69,MSC04,MSC03,mixed,0.8049999999999999
70,MSC04,MSC03,motor,0.97
71,MSC04,MSC03,mem,0.985
72,MSC04,MSC05,mixed,0.85
73,MSC04,MSC05,motor,0.9550000000000001
74,MSC04,MSC05,mem,0.875
75,MSC04,MSC06,mixed,0.99
76,MSC04,MSC06,motor,0.89
77,MSC04,MSC06,mem,0.9800000000000001
78,MSC04,MSC07,mixed,0.6850000000000002
79,MSC04,MSC07,motor,0.9850000000000001
80,MSC04,MSC07,mem,0.95
81,MSC04,MSC10,mixed,0.915
82,MSC04,MSC10,motor,0.97
83,MSC04,MSC10,mem,0.9949999999999999
84,MSC05,MSC01,mixed,0.8699999999999999
85,MSC05,MSC01,motor,0.9100000000000001
86,MSC05,MSC01,mem,1.0
87,MSC05,MSC02,mixed,0.58
88,MSC05,MSC02,motor,0.8949999999999999
89,MSC05,MSC02,mem,0.7999999999999999
90,MSC05,MSC03,mixed,0.9200000000000002
91,MSC05,MSC03,motor,0.9800000000000001
92,MSC05,MSC03,mem,0.9400000000000001
93,MSC05,MSC04,mixed,0.77
94,MSC05,MSC04,motor,0.95
95,MSC05,MSC04,mem,0.825
96,MSC05,MSC06,mixed,0.865
97,MSC05,MSC06,motor,0.9000000000000001
98,MSC05,MSC06,mem,1.0
99,MSC05,MSC07,mixed,0.915
100,MSC05,MSC07,motor,0.9000000000000001
101,MSC05,MSC07,mem,0.905
102,MSC05,MSC10,mixed,0.805
103,MSC05,MSC10,motor,0.905
104,MSC05,MSC10,mem,0.9000000000000001
105,MSC06,MSC01,mixed,0.8300000000000001
106,MSC06,MSC01,motor,0.9
107,MSC06,MSC01,mem,1.0
108,MSC06,MSC02,mixed,0.735
109,MSC06,MSC02,motor,0.9400000000000001
110,MSC06,MSC02,mem,0.8800000000000002
111,MSC06,MSC03,mixed,0.78
112,MSC06,MSC03,motor,0.8949999999999999
113,MSC06,MSC03,mem,0.9799999999999999
114,MSC06,MSC04,mixed,0.9399999999999998
115,MSC06,MSC04,motor,0.9399999999999998
116,MSC06,MSC04,mem,0.9199999999999999
117,MSC06,MSC05,mixed,0.7300000000000001
118,MSC06,MSC05,motor,0.915
