,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.9949999999999999
1,mixed,mem,MSC01,0.845
2,motor,mixed,MSC01,0.8099999999999999
3,motor,mem,MSC01,0.6500000000000001
4,mem,mixed,MSC01,0.9349999999999999
5,mem,motor,MSC01,0.9549999999999998
6,mixed,motor,MSC02,0.77
7,mixed,mem,MSC02,0.8499999999999999
8,motor,mixed,MSC02,0.5
9,motor,mem,MSC02,0.5
10,mem,mixed,MSC02,0.745
11,mem,motor,MSC02,0.6500000000000001
12,mixed,motor,MSC03,1.0
13,mixed,mem,MSC03,0.8499999999999999
14,motor,mixed,MSC03,0.5349999999999999
15,motor,mem,MSC03,0.5849999999999999
16,mem,mixed,MSC03,0.6350000000000001
17,mem,motor,MSC03,0.8550000000000001
18,mixed,motor,MSC04,0.95
19,mixed,mem,MSC04,0.9600000000000002
20,motor,mixed,MSC04,0.5799999999999998
21,motor,mem,MSC04,0.6399999999999999
22,mem,mixed,MSC04,0.9049999999999999
23,mem,motor,MSC04,0.89
24,mixed,motor,MSC05,0.9549999999999998
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.5899999999999999
27,motor,mem,MSC05,0.8850000000000001
28,mem,mixed,MSC05,0.8449999999999998
29,mem,motor,MSC05,0.9949999999999999
30,mixed,motor,MSC06,0.9299999999999999
31,mixed,mem,MSC06,1.0
32,motor,mixed,MSC06,0.5899999999999999
33,motor,mem,MSC06,0.6650000000000001
34,mem,mixed,MSC06,0.755
35,mem,motor,MSC06,0.905
36,mixed,motor,MSC07,0.825
37,mixed,mem,MSC07,0.9000000000000001
38,motor,mixed,MSC07,0.5449999999999999
39,motor,mem,MSC07,0.5
40,mem,mixed,MSC07,0.9099999999999999
41,mem,motor,MSC07,0.745
42,mixed,motor,MSC10,0.86
43,mixed,mem,MSC10,0.9549999999999998
44,motor,mixed,MSC10,0.505
45,motor,mem,MSC10,0.63
46,mem,mixed,MSC10,0.755
47,mem,motor,MSC10,0.9
