train_task,test_task,acc
pres1,pres2,0.8399999999999999
pres1,pres3,0.735
pres2,pres1,0.9899999999999999
pres2,pres3,0.8600000000000001
pres3,pres1,0.925
pres3,pres2,0.865
pres1,pres2,0.7899999999999999
pres1,pres3,0.53
pres2,pres1,0.7999999999999999
pres2,pres3,0.605
pres3,pres1,0.7749999999999999
pres3,pres2,0.8900000000000002
pres1,pres2,0.7109375
pres1,pres3,0.6015625
pres2,pres1,0.875
pres2,pres3,0.6953125
pres3,pres1,0.921875
pres3,pres2,0.828125
pres1,pres2,0.8800000000000001
pres1,pres3,0.7999999999999999
pres2,pres1,0.945
pres2,pres3,0.8699999999999999
pres3,pres1,0.865
pres3,pres2,0.9099999999999999
pres1,pres2,1.0
pres1,pres3,0.9000000000000001
pres2,pres1,0.95
pres2,pres3,0.915
pres3,pres1,0.7050000000000001
pres3,pres2,0.9
pres1,pres2,0.8950000000000001
pres1,pres3,0.8299999999999998
pres2,pres1,0.915
pres2,pres3,0.9299999999999999
pres3,pres1,0.8400000000000001
pres3,pres2,0.915
pres1,pres2,0.7899999999999999
pres1,pres3,0.685
pres2,pres1,0.99
pres2,pres3,0.725
pres3,pres1,0.915
pres3,pres2,0.8099999999999999
pres1,pres2,0.8499999999999999
pres1,pres3,0.7799999999999999
pres2,pres1,0.9700000000000001
pres2,pres3,0.68
pres3,pres1,0.9349999999999999
pres3,pres2,0.7899999999999999
