task,acc
mixed,0.8299999999999998
motor,0.9199999999999999
mem,0.8999999999999998
mixed,0.605
motor,0.925
mem,0.78
mixed,0.8550000000000001
motor,0.99
mem,0.8950000000000001
mixed,0.86
motor,0.875
mem,0.9649999999999999
mixed,0.6849999999999999
motor,0.7549999999999999
mem,0.9549999999999998
mixed,0.6449999999999999
motor,0.975
mem,0.745
mixed,0.78
motor,0.975
mem,0.9400000000000001
mixed,0.6649999999999999
motor,0.5
mem,0.9600000000000002
mixed,0.7449999999999999
motor,0.71
mem,0.76
mixed,0.5650000000000001
motor,0.57
mem,0.9850000000000001
mixed,0.6449999999999999
motor,0.5599999999999999
mem,0.9499999999999998
mixed,0.6500000000000001
motor,0.5499999999999999
mem,0.96
mixed,0.8049999999999999
motor,0.5
mem,0.8800000000000001
mixed,0.5549999999999999
motor,0.505
mem,0.975
mixed,0.5149999999999999
motor,0.6849999999999999
mem,0.5349999999999999
mixed,0.6650000000000001
motor,0.975
mem,0.635
mixed,0.5249999999999999
motor,0.9450000000000001
mem,0.8699999999999999
mixed,0.82
motor,0.905
mem,0.8899999999999999
mixed,0.5
motor,0.7649999999999999
mem,0.95
mixed,0.5349999999999999
motor,0.7749999999999999
mem,0.8099999999999999
mixed,0.505
motor,0.76
mem,0.9100000000000001
mixed,0.7749999999999999
motor,1.0
mem,0.96
mixed,0.845
motor,0.9949999999999999
mem,0.9400000000000001
mixed,0.74
motor,0.9549999999999998
mem,0.7600000000000001
mixed,0.925
motor,0.97
mem,0.9400000000000001
mixed,0.95
motor,0.945
mem,1.0
mixed,0.51
motor,0.9799999999999999
mem,0.8700000000000001
mixed,0.82
motor,0.9899999999999999
mem,0.925
mixed,0.805
motor,0.625
mem,1.0
mixed,0.5449999999999999
motor,0.905
mem,0.77
mixed,0.8099999999999999
motor,0.845
mem,0.93
mixed,0.8099999999999999
motor,0.7050000000000002
mem,0.8150000000000001
mixed,0.8850000000000001
motor,0.76
mem,1.0
mixed,0.8600000000000001
motor,0.6700000000000002
mem,0.9200000000000002
mixed,0.7749999999999999
motor,0.7100000000000001
mem,0.8950000000000001
mixed,0.625
motor,0.6300000000000001
mem,0.9450000000000001
mixed,0.635
motor,0.76
mem,0.945
mixed,0.57
motor,0.7300000000000001
mem,0.89
mixed,0.74
motor,0.775
mem,0.975
mixed,0.595
motor,0.99
mem,0.99
mixed,0.8400000000000001
motor,0.665
mem,0.775
mixed,0.7899999999999999
motor,0.6399999999999999
mem,0.8999999999999998
mixed,0.865
motor,0.5700000000000001
mem,0.9199999999999999
mixed,0.705
motor,0.6199999999999999
mem,0.8550000000000001
mixed,0.605
motor,0.7350000000000001
mem,0.79
mixed,0.6100000000000001
motor,0.8150000000000001
mem,0.915
mixed,0.5
motor,0.845
mem,0.975
mixed,0.53
motor,0.8399999999999999
mem,0.97
mixed,0.565
motor,0.8699999999999999
mem,0.9349999999999999
mixed,0.5
motor,0.9400000000000001
mem,0.8899999999999999
mixed,0.6649999999999999
motor,0.8500000000000002
mem,0.8250000000000002
mixed,0.5599999999999999
motor,0.89
mem,0.835
mixed,0.8299999999999998
motor,0.96
mem,0.9000000000000001
mixed,0.7200000000000001
motor,0.82
mem,0.9049999999999999
mixed,0.7699999999999999
motor,0.66
mem,0.97
mixed,0.605
motor,0.905
mem,0.7699999999999998
