train_task,test_task,acc
mixed,motor,1.0
mixed,mem,0.9
motor,mixed,0.6
motor,mem,0.3
mem,mixed,0.9
mem,motor,1.0
mixed,motor,0.5
mixed,mem,0.7
motor,mixed,0.0
motor,mem,0.0
mem,mixed,0.4
mem,motor,0.3
mixed,motor,1.0
mixed,mem,0.6
motor,mixed,0.1
motor,mem,0.2
mem,mixed,0.3
mem,motor,0.7
mixed,motor,0.9
mixed,mem,0.9
motor,mixed,0.2
motor,mem,0.5
mem,mixed,0.9
mem,motor,0.8
mixed,motor,0.9
mixed,mem,1.0
motor,mixed,0.2
motor,mem,0.8
mem,mixed,0.7
mem,motor,1.0
mixed,motor,0.8
mixed,mem,1.0
motor,mixed,0.2
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.9
mixed,motor,0.6
mixed,mem,0.8
motor,mixed,0.1
motor,mem,0.0
mem,mixed,0.9
mem,motor,0.5
mixed,motor,0.8
mixed,mem,0.9
motor,mixed,0.0
motor,mem,0.3
mem,mixed,0.8
mem,motor,0.8
