train_task,test_task,acc
pres1,pres2,0.845
pres1,pres3,0.75
pres2,pres1,0.9949999999999999
pres2,pres3,0.8800000000000001
pres3,pres1,0.9199999999999999
pres3,pres2,0.86
pres1,pres2,0.7949999999999999
pres1,pres3,0.5349999999999999
pres2,pres1,0.78
pres2,pres3,0.5850000000000001
pres3,pres1,0.6950000000000001
pres3,pres2,0.8699999999999999
pres1,pres2,0.7109375
pres1,pres3,0.6015625
pres2,pres1,0.828125
pres2,pres3,0.7421875
pres3,pres1,0.859375
pres3,pres2,0.8125
pres1,pres2,0.8800000000000001
pres1,pres3,0.7999999999999999
pres2,pres1,0.945
pres2,pres3,0.8549999999999999
pres3,pres1,0.8699999999999999
pres3,pres2,0.9199999999999999
pres1,pres2,1.0
pres1,pres3,0.9000000000000001
pres2,pres1,0.945
pres2,pres3,0.9199999999999999
pres3,pres1,0.6900000000000002
pres3,pres2,0.86
pres1,pres2,0.9049999999999999
pres1,pres3,0.8449999999999998
pres2,pres1,0.9099999999999999
pres2,pres3,0.945
pres3,pres1,0.7550000000000001
pres3,pres2,0.915
pres1,pres2,0.78
pres1,pres3,0.6900000000000002
pres2,pres1,0.9800000000000001
pres2,pres3,0.675
pres3,pres1,0.8799999999999999
pres3,pres2,0.765
pres1,pres2,0.835
pres1,pres3,0.7949999999999999
pres2,pres1,0.975
pres2,pres3,0.7100000000000001
pres3,pres1,0.9200000000000002
pres3,pres2,0.775
