train_task,test_task,acc
mixed,motor,0.71
mixed,mem,0.8099999999999999
motor,mixed,0.685
motor,mem,0.73
mem,mixed,0.835
mem,motor,0.75
mixed,motor,0.575
mixed,mem,0.585
motor,mixed,0.72
motor,mem,0.735
mem,mixed,0.7050000000000002
mem,motor,0.7550000000000001
mixed,motor,0.8299999999999998
mixed,mem,0.8049999999999999
motor,mixed,0.74
motor,mem,0.67
mem,mixed,0.845
mem,motor,0.89
mixed,motor,0.765
mixed,mem,0.7700000000000001
motor,mixed,0.675
motor,mem,0.8099999999999999
mem,mixed,0.8049999999999999
mem,motor,0.8450000000000001
mixed,motor,0.8550000000000001
mixed,mem,0.905
motor,mixed,0.5249999999999999
motor,mem,0.5449999999999999
mem,mixed,0.6500000000000001
mem,motor,0.8300000000000001
mixed,motor,0.625
mixed,mem,0.62
motor,mixed,0.9299999999999999
motor,mem,0.74
mem,mixed,0.7300000000000001
mem,motor,0.7300000000000001
mixed,motor,0.78
mixed,mem,0.775
motor,mixed,0.675
motor,mem,0.8600000000000001
mem,mixed,0.8399999999999999
mem,motor,0.8150000000000001
mixed,motor,0.655
mixed,mem,0.595
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9650000000000001
mem,motor,0.975
mixed,motor,0.675
mixed,mem,0.61
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.7100000000000001
mem,motor,0.7799999999999999
mixed,motor,0.6900000000000001
mixed,mem,0.5449999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9800000000000001
mem,motor,0.9850000000000001
mixed,motor,0.7499999999999999
mixed,mem,0.645
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9549999999999998
mem,motor,0.8949999999999999
mixed,motor,0.595
mixed,mem,0.5549999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9000000000000001
mem,motor,0.985
mixed,motor,0.5700000000000001
mixed,mem,0.6199999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.8949999999999999
mem,motor,0.9
mixed,motor,0.605
mixed,mem,0.565
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9
mem,motor,0.945
mixed,motor,0.51
mixed,mem,0.51
motor,mixed,0.5
motor,mem,0.5499999999999999
mem,mixed,0.51
mem,motor,0.51
mixed,motor,0.9199999999999999
mixed,mem,0.6050000000000001
motor,mixed,0.5
motor,mem,0.5599999999999998
mem,mixed,0.5
mem,motor,0.45500000000000007
mixed,motor,0.7449999999999999
mixed,mem,0.5349999999999999
motor,mixed,0.505
motor,mem,0.51
mem,mixed,0.7949999999999999
mem,motor,0.8499999999999999
mixed,motor,0.8549999999999999
mixed,mem,0.925
motor,mixed,0.5149999999999999
motor,mem,0.7300000000000001
mem,mixed,0.8299999999999998
mem,motor,0.8399999999999999
mixed,motor,0.55
mixed,mem,0.5
motor,mixed,0.51
motor,mem,0.5
mem,mixed,0.845
mem,motor,0.8850000000000001
mixed,motor,0.5599999999999999
mixed,mem,0.53
motor,mixed,0.5
motor,mem,0.5449999999999999
mem,mixed,0.61
mem,motor,0.9349999999999999
mixed,motor,0.64
mixed,mem,0.5599999999999999
motor,mixed,0.5
motor,mem,0.5999999999999999
mem,mixed,0.89
mem,motor,0.89
mixed,motor,0.825
mixed,mem,0.825
motor,mixed,0.58
motor,mem,0.6799999999999999
mem,mixed,0.9349999999999999
mem,motor,0.96
mixed,motor,0.85
mixed,mem,0.865
motor,mixed,0.685
motor,mem,0.78
mem,mixed,0.695
mem,motor,0.6050000000000001
mixed,motor,0.75
mixed,mem,0.755
motor,mixed,0.7200000000000001
motor,mem,0.7799999999999999
mem,mixed,0.6399999999999999
mem,motor,0.7200000000000001
mixed,motor,0.89
mixed,mem,0.9899999999999999
motor,mixed,0.59
motor,mem,0.72
mem,mixed,0.6200000000000001
mem,motor,0.7350000000000001
mixed,motor,0.9
mixed,mem,0.95
motor,mixed,0.6
motor,mem,0.5900000000000001
mem,mixed,0.885
mem,motor,0.925
mixed,motor,0.595
mixed,mem,0.605
motor,mixed,0.705
motor,mem,0.6500000000000001
mem,mixed,0.74
mem,motor,0.8249999999999998
mixed,motor,0.8549999999999999
mixed,mem,0.8549999999999999
motor,mixed,0.635
motor,mem,0.76
mem,mixed,0.905
mem,motor,0.9349999999999999
mixed,motor,0.8
mixed,mem,0.82
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.7949999999999999
mem,motor,0.93
mixed,motor,0.5549999999999999
mixed,mem,0.565
motor,mixed,0.53
motor,mem,0.505
mem,mixed,0.7000000000000001
mem,motor,0.7250000000000001
mixed,motor,0.835
mixed,mem,0.785
motor,mixed,0.595
motor,mem,0.5
mem,mixed,0.9349999999999999
mem,motor,0.9800000000000001
mixed,motor,0.925
mixed,mem,0.745
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.7999999999999999
mem,motor,0.9
mixed,motor,0.915
mixed,mem,0.9550000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.82
mem,motor,0.89
mixed,motor,0.865
mixed,mem,0.835
motor,mixed,0.525
motor,mem,0.52
mem,mixed,0.8600000000000001
mem,motor,0.915
mixed,motor,0.885
mixed,mem,0.89
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.8650000000000002
mem,motor,0.905
mixed,motor,0.6400000000000001
mixed,mem,0.56
motor,mixed,0.55
motor,mem,0.5549999999999999
mem,mixed,0.93
mem,motor,0.915
mixed,motor,0.57
mixed,mem,0.6399999999999999
motor,mixed,0.515
motor,mem,0.6400000000000001
mem,mixed,0.68
mem,motor,0.575
mixed,motor,0.515
mixed,mem,0.575
motor,mixed,0.5700000000000001
motor,mem,0.615
mem,mixed,0.675
mem,motor,0.7150000000000001
mixed,motor,0.6850000000000002
mixed,mem,0.64
motor,mixed,0.73
motor,mem,0.735
mem,mixed,0.9
mem,motor,0.865
mixed,motor,0.6900000000000001
mixed,mem,0.7849999999999999
motor,mixed,0.85
motor,mem,0.9099999999999999
mem,mixed,0.6950000000000001
mem,motor,0.7499999999999999
mixed,motor,0.74
mixed,mem,0.725
motor,mixed,0.635
motor,mem,0.635
mem,mixed,0.86
mem,motor,0.8549999999999999
mixed,motor,0.8200000000000001
mixed,mem,0.8550000000000001
motor,mixed,0.5850000000000001
motor,mem,0.6
mem,mixed,0.8550000000000001
mem,motor,0.89
mixed,motor,0.915
mixed,mem,0.8099999999999999
motor,mixed,0.52
motor,mem,0.5349999999999999
mem,mixed,0.915
mem,motor,0.9099999999999999
mixed,motor,0.5199999999999999
mixed,mem,0.72
motor,mixed,0.535
motor,mem,0.5599999999999999
mem,mixed,0.6599999999999999
mem,motor,0.61
mixed,motor,0.57
mixed,mem,0.825
motor,mixed,0.6100000000000001
motor,mem,0.63
mem,mixed,0.605
mem,motor,0.655
mixed,motor,0.645
mixed,mem,0.6650000000000001
motor,mixed,0.605
motor,mem,0.675
mem,mixed,0.8150000000000001
mem,motor,0.865
mixed,motor,0.5149999999999999
mixed,mem,0.615
motor,mixed,0.77
motor,mem,0.78
mem,mixed,0.8400000000000002
mem,motor,0.6950000000000001
mixed,motor,0.5299999999999999
mixed,mem,0.5149999999999999
motor,mixed,0.6599999999999999
motor,mem,0.705
mem,mixed,0.6800000000000002
mem,motor,0.875
mixed,motor,0.5849999999999999
mixed,mem,0.6400000000000001
motor,mixed,0.77
motor,mem,0.7899999999999999
mem,mixed,0.755
mem,motor,0.6900000000000001
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.585
motor,mem,0.6649999999999999
mem,mixed,0.8200000000000001
mem,motor,0.885
mixed,motor,0.5
mixed,mem,0.835
motor,mixed,0.5
motor,mem,0.5599999999999999
mem,mixed,0.5199999999999999
mem,motor,0.6900000000000001
mixed,motor,0.6099999999999999
mixed,mem,0.6500000000000001
motor,mixed,0.5900000000000001
motor,mem,0.75
mem,mixed,0.73
mem,motor,0.8400000000000001
mixed,motor,0.765
mixed,mem,0.8499999999999999
motor,mixed,0.535
motor,mem,0.565
mem,mixed,0.8300000000000001
mem,motor,0.8950000000000001
mixed,motor,0.575
mixed,mem,0.8400000000000001
motor,mixed,0.5850000000000001
motor,mem,0.745
mem,mixed,0.9
mem,motor,0.74
mixed,motor,0.77
mixed,mem,0.8950000000000001
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.745
mem,motor,0.8099999999999999
mixed,motor,0.8799999999999999
mixed,mem,0.6849999999999999
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.585
mem,motor,0.86
