,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.8299999999999998
1,MSC01,MSC02,motor,0.925
2,MSC01,MSC02,mem,0.8949999999999999
3,MSC01,MSC03,mixed,0.5599999999999999
4,MSC01,MSC03,motor,0.925
5,MSC01,MSC03,mem,0.77
6,MSC01,MSC04,mixed,0.835
7,MSC01,MSC04,motor,0.9949999999999999
8,MSC01,MSC04,mem,0.89
9,MSC01,MSC05,mixed,0.7750000000000001
10,MSC01,MSC05,motor,0.8850000000000001
11,MSC01,MSC05,mem,0.9800000000000001
12,MSC01,MSC06,mixed,0.72
13,MSC01,MSC06,motor,0.7599999999999999
14,MSC01,MSC06,mem,0.96
15,MSC01,MSC07,mixed,0.625
16,MSC01,MSC07,motor,0.9650000000000001
17,MSC01,MSC07,mem,0.7300000000000001
18,MSC01,MSC10,mixed,0.78
19,MSC01,MSC10,motor,0.985
20,MSC01,MSC10,mem,0.9400000000000001
21,MSC02,MSC01,mixed,0.675
22,MSC02,MSC01,motor,0.5
23,MSC02,MSC01,mem,0.975
24,MSC02,MSC03,mixed,0.7649999999999999
25,MSC02,MSC03,motor,0.725
26,MSC02,MSC03,mem,0.7849999999999999
27,MSC02,MSC04,mixed,0.615
28,MSC02,MSC04,motor,0.5799999999999998
29,MSC02,MSC04,mem,0.9850000000000001
30,MSC02,MSC05,mixed,0.675
31,MSC02,MSC05,motor,0.575
32,MSC02,MSC05,mem,0.96
33,MSC02,MSC06,mixed,0.6500000000000001
34,MSC02,MSC06,motor,0.5499999999999999
35,MSC02,MSC06,mem,0.9650000000000001
36,MSC02,MSC07,mixed,0.7899999999999998
37,MSC02,MSC07,motor,0.5
38,MSC02,MSC07,mem,0.9
39,MSC02,MSC10,mixed,0.575
40,MSC02,MSC10,motor,0.53
41,MSC02,MSC10,mem,0.975
42,MSC03,MSC01,mixed,0.5149999999999999
43,MSC03,MSC01,motor,0.7050000000000001
44,MSC03,MSC01,mem,0.51
45,MSC03,MSC02,mixed,0.685
46,MSC03,MSC02,motor,0.9799999999999999
47,MSC03,MSC02,mem,0.57
48,MSC03,MSC04,mixed,0.53
49,MSC03,MSC04,motor,0.9349999999999999
50,MSC03,MSC04,mem,0.8599999999999998
51,MSC03,MSC05,mixed,0.82
52,MSC03,MSC05,motor,0.9000000000000001
53,MSC03,MSC05,mem,0.8799999999999999
54,MSC03,MSC06,mixed,0.5
55,MSC03,MSC06,motor,0.8049999999999999
56,MSC03,MSC06,mem,0.9400000000000001
57,MSC03,MSC07,mixed,0.55
58,MSC03,MSC07,motor,0.7750000000000001
59,MSC03,MSC07,mem,0.89
60,MSC03,MSC10,mixed,0.505
61,MSC03,MSC10,motor,0.74
62,MSC03,MSC10,mem,0.9
63,MSC04,MSC01,mixed,0.825
64,MSC04,MSC01,motor,1.0
65,MSC04,MSC01,mem,0.96
66,MSC04,MSC02,mixed,0.835
67,MSC04,MSC02,motor,0.9850000000000001
68,MSC04,MSC02,mem,0.95
69,MSC04,MSC03,mixed,0.75
70,MSC04,MSC03,motor,0.9549999999999998
71,MSC04,MSC03,mem,0.7750000000000001
72,MSC04,MSC05,mixed,0.9399999999999998
73,MSC04,MSC05,motor,0.9600000000000002
74,MSC04,MSC05,mem,0.9550000000000001
75,MSC04,MSC06,mixed,0.95
76,MSC04,MSC06,motor,0.9099999999999999
77,MSC04,MSC06,mem,1.0
78,MSC04,MSC07,mixed,0.605
79,MSC04,MSC07,motor,0.9800000000000001
80,MSC04,MSC07,mem,0.8800000000000001
81,MSC04,MSC10,mixed,0.8549999999999999
82,MSC04,MSC10,motor,0.97
83,MSC04,MSC10,mem,0.9550000000000001
84,MSC05,MSC01,mixed,0.8099999999999999
85,MSC05,MSC01,motor,0.635
86,MSC05,MSC01,mem,0.9949999999999999
87,MSC05,MSC02,mixed,0.55
88,MSC05,MSC02,motor,0.9200000000000002
89,MSC05,MSC02,mem,0.7250000000000001
90,MSC05,MSC03,mixed,0.835
91,MSC05,MSC03,motor,0.845
92,MSC05,MSC03,mem,0.93
93,MSC05,MSC04,mixed,0.8349999999999997
94,MSC05,MSC04,motor,0.7150000000000001
95,MSC05,MSC04,mem,0.835
96,MSC05,MSC06,mixed,0.9
97,MSC05,MSC06,motor,0.755
98,MSC05,MSC06,mem,0.9949999999999999
99,MSC05,MSC07,mixed,0.8699999999999999
100,MSC05,MSC07,motor,0.685
101,MSC05,MSC07,mem,0.8950000000000001
102,MSC05,MSC10,mixed,0.7899999999999999
103,MSC05,MSC10,motor,0.7050000000000001
104,MSC05,MSC10,mem,0.9000000000000001
105,MSC06,MSC01,mixed,0.6100000000000001
106,MSC06,MSC01,motor,0.585
107,MSC06,MSC01,mem,0.9600000000000002
108,MSC06,MSC02,mixed,0.615
109,MSC06,MSC02,motor,0.6400000000000001
110,MSC06,MSC02,mem,0.9399999999999998
111,MSC06,MSC03,mixed,0.575
112,MSC06,MSC03,motor,0.64
113,MSC06,MSC03,mem,0.925
114,MSC06,MSC04,mixed,0.6950000000000001
115,MSC06,MSC04,motor,0.755
116,MSC06,MSC04,mem,0.9850000000000001
117,MSC06,MSC05,mixed,0.5850000000000002
118,MSC06,MSC05,motor,0.99
119,MSC06,MSC05,mem,0.9800000000000001
120,MSC06,MSC07,mixed,0.82
121,MSC06,MSC07,motor,0.645
122,MSC06,MSC07,mem,0.885
123,MSC06,MSC10,mixed,0.78
124,MSC06,MSC10,motor,0.6100000000000001
125,MSC06,MSC10,mem,0.9550000000000001
126,MSC07,MSC01,mixed,0.9
127,MSC07,MSC01,motor,0.55
128,MSC07,MSC01,mem,0.915
129,MSC07,MSC02,mixed,0.7599999999999999
130,MSC07,MSC02,motor,0.5999999999999999
131,MSC07,MSC02,mem,0.78
132,MSC07,MSC03,mixed,0.635
133,MSC07,MSC03,motor,0.645
134,MSC07,MSC03,mem,0.79
135,MSC07,MSC04,mixed,0.6350000000000001
136,MSC07,MSC04,motor,0.7400000000000001
137,MSC07,MSC04,mem,0.925
138,MSC07,MSC05,mixed,0.5199999999999999
139,MSC07,MSC05,motor,0.795
140,MSC07,MSC05,mem,0.9850000000000001
141,MSC07,MSC06,mixed,0.5449999999999999
142,MSC07,MSC06,motor,0.745
143,MSC07,MSC06,mem,0.9949999999999999
144,MSC07,MSC10,mixed,0.595
145,MSC07,MSC10,motor,0.8
146,MSC07,MSC10,mem,0.9349999999999999
147,MSC10,MSC01,mixed,0.5
148,MSC10,MSC01,motor,0.9349999999999999
149,MSC10,MSC01,mem,0.905
150,MSC10,MSC02,mixed,0.675
151,MSC10,MSC02,motor,0.905
152,MSC10,MSC02,mem,0.7849999999999999
153,MSC10,MSC03,mixed,0.58
154,MSC10,MSC03,motor,0.905
155,MSC10,MSC03,mem,0.845
156,MSC10,MSC04,mixed,0.8499999999999999
157,MSC10,MSC04,motor,0.9450000000000001
158,MSC10,MSC04,mem,0.9000000000000001
159,MSC10,MSC05,mixed,0.7300000000000001
160,MSC10,MSC05,motor,0.8399999999999999
161,MSC10,MSC05,mem,0.925
162,MSC10,MSC06,mixed,0.8049999999999999
163,MSC10,MSC06,motor,0.6950000000000001
164,MSC10,MSC06,mem,0.975
165,MSC10,MSC07,mixed,0.655
166,MSC10,MSC07,motor,0.925
167,MSC10,MSC07,mem,0.7849999999999999
