train,test,task,acc
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.75
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
MSC01,MSC02,Motor,0.95
