train_task,test_task,acc
pres1,pres2,0.845
pres1,pres3,0.735
pres2,pres1,0.9949999999999999
pres2,pres3,0.865
pres3,pres1,0.9299999999999999
pres3,pres2,0.86
pres1,pres2,0.7849999999999999
pres1,pres3,0.5399999999999999
pres2,pres1,0.78
pres2,pres3,0.585
pres3,pres1,0.6900000000000001
pres3,pres2,0.875
pres1,pres2,0.703125
pres1,pres3,0.625
pres2,pres1,0.8125
pres2,pres3,0.7421875
pres3,pres1,0.84375
pres3,pres2,0.796875
pres1,pres2,0.89
pres1,pres3,0.7999999999999999
pres2,pres1,0.945
pres2,pres3,0.865
pres3,pres1,0.8649999999999999
pres3,pres2,0.9049999999999999
pres1,pres2,0.9949999999999999
pres1,pres3,0.9000000000000001
pres2,pres1,0.95
pres2,pres3,0.9400000000000001
pres3,pres1,0.7000000000000001
pres3,pres2,0.845
pres1,pres2,0.89
pres1,pres3,0.8299999999999998
pres2,pres1,0.9
pres2,pres3,0.9299999999999999
pres3,pres1,0.7550000000000001
pres3,pres2,0.915
pres1,pres2,0.78
pres1,pres3,0.6900000000000001
pres2,pres1,0.9850000000000001
pres2,pres3,0.705
pres3,pres1,0.9049999999999999
pres3,pres2,0.77
pres1,pres2,0.845
pres1,pres3,0.7899999999999999
pres2,pres1,0.95
pres2,pres3,0.67
pres3,pres1,0.9050000000000002
pres3,pres2,0.77
