MSC04,train,test
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.95,mixed,motor
0.9,mem,mixed
0.95,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.9,mem,mixed
0.95,mem,mixed
0.95,mem,mixed
0.95,mem,motor
0.9,mem,motor
0.9,mem,motor
0.9,mem,motor
0.9,mem,motor
0.9,mem,motor
0.85,mem,motor
0.85,mem,motor
0.9,mem,motor
0.95,mem,motor
0.6,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.55,motor,mixed
0.6,motor,mixed
0.6,motor,mixed
0.75,motor,mem
0.6,motor,mem
0.7,motor,mem
0.65,motor,mem
0.65,motor,mem
0.6,motor,mem
0.7,motor,mem
0.5,motor,mem
0.6,motor,mem
0.8,motor,mem
