MSC07,train,test,MSC10
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,1.0
0.85,mixed,mem,1.0
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.85,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
1.0,mixed,mem,1.0
1.0,mixed,mem,0.95
1.0,mixed,mem,1.0
1.0,mixed,mem,1.0
1.0,mixed,mem,0.95
1.0,mixed,mem,0.95
1.0,mixed,mem,0.95
1.0,mixed,mem,0.95
1.0,mixed,mem,0.95
1.0,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,1.0
0.9,mixed,mem,1.0
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.9,mixed,mem,0.95
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.85
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.85
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.85
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.85
0.75,mixed,motor,0.95
0.75,mixed,motor,0.9
0.75,mixed,motor,0.95
0.75,mixed,motor,0.9
0.75,mixed,motor,0.9
0.75,mixed,motor,0.85
0.75,mixed,motor,0.9
0.75,mixed,motor,0.9
0.75,mixed,motor,0.95
0.75,mixed,motor,0.85
0.9,mixed,motor,0.95
0.9,mixed,motor,0.9
0.9,mixed,motor,0.95
0.9,mixed,motor,0.9
0.9,mixed,motor,0.9
0.9,mixed,motor,0.85
0.9,mixed,motor,0.9
0.9,mixed,motor,0.9
0.9,mixed,motor,0.95
0.9,mixed,motor,0.85
0.85,mixed,motor,0.95
0.85,mixed,motor,0.9
0.85,mixed,motor,0.95
0.85,mixed,motor,0.9
0.85,mixed,motor,0.9
0.85,mixed,motor,0.85
0.85,mixed,motor,0.9
0.85,mixed,motor,0.9
0.85,mixed,motor,0.95
0.85,mixed,motor,0.85
0.85,mixed,motor,0.95
0.85,mixed,motor,0.9
0.85,mixed,motor,0.95
0.85,mixed,motor,0.9
0.85,mixed,motor,0.9
0.85,mixed,motor,0.85
0.85,mixed,motor,0.9
0.85,mixed,motor,0.9
0.85,mixed,motor,0.95
0.85,mixed,motor,0.85
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.85
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.85
0.9,mixed,motor,0.95
0.9,mixed,motor,0.9
0.9,mixed,motor,0.95
0.9,mixed,motor,0.9
0.9,mixed,motor,0.9
0.9,mixed,motor,0.85
0.9,mixed,motor,0.9
0.9,mixed,motor,0.9
0.9,mixed,motor,0.95
0.9,mixed,motor,0.85
0.85,mixed,motor,0.95
0.85,mixed,motor,0.9
0.85,mixed,motor,0.95
0.85,mixed,motor,0.9
0.85,mixed,motor,0.9
0.85,mixed,motor,0.85
0.85,mixed,motor,0.9
0.85,mixed,motor,0.9
0.85,mixed,motor,0.95
0.85,mixed,motor,0.85
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.85
0.8,mixed,motor,0.9
0.8,mixed,motor,0.9
0.8,mixed,motor,0.95
0.8,mixed,motor,0.85
0.95,mem,mixed,0.85
0.95,mem,mixed,0.85
0.95,mem,mixed,0.9
0.95,mem,mixed,0.8
0.95,mem,mixed,0.75
0.95,mem,mixed,0.8
0.95,mem,mixed,0.8
0.95,mem,mixed,0.8
0.95,mem,mixed,0.8
0.95,mem,mixed,0.8
0.9,mem,mixed,0.85
0.9,mem,mixed,0.85
0.9,mem,mixed,0.9
0.9,mem,mixed,0.8
0.9,mem,mixed,0.75
0.9,mem,mixed,0.8
0.9,mem,mixed,0.8
