train_task,test_task,diff
mem,mixed,-0.009107142857142859
mem,motor,-0.02428571428571429
mixed,mem,0.008035714285714276
mixed,motor,0.0012500000000000011
motor,mem,0.0022321428571428653
motor,mixed,-0.010982142857142841
mem,mixed,0.005267857142857151
mem,motor,0.011696428571428578
mixed,mem,0.036785714285714304
mixed,motor,0.026607142857142867
motor,mem,0.014732142857142845
motor,mixed,0.013035714285714277
mem,mixed,0.03446428571428571
mem,motor,0.025178571428571415
mixed,mem,0.011696428571428571
mixed,motor,-0.01607142857142857
motor,mem,0.010982142857142854
motor,mixed,0.008303571428571433
mem,mixed,0.009910714285714302
mem,motor,-0.00446428571428571
mixed,mem,-0.002410714285714281
mixed,motor,-0.0055357142857142905
motor,mem,0.0025892857142857085
motor,mixed,-0.03303571428571427
mem,mixed,-0.01955357142857143
mem,motor,-0.010803571428571409
mixed,mem,0.004642857142857138
mixed,motor,0.010892857142857152
motor,mem,0.02375
motor,mixed,0.016428571428571424
mem,mixed,-0.003392857142857129
mem,motor,-0.004732142857142849
mixed,mem,0.035535714285714295
mixed,motor,0.07232142857142855
motor,mem,0.0018750000000000027
motor,mixed,0.0013392857142857076
mem,mixed,-0.022946428571428597
mem,motor,0.01008928571428569
mixed,mem,0.002500000000000003
mixed,motor,0.006428571428571439
motor,mem,-0.004821428571428552
motor,mixed,0.0007142857142857169
mem,mixed,0.02892857142857142
mem,motor,0.019553571428571438
mixed,mem,0.012232142857142858
mixed,motor,0.01767857142857143
motor,mem,-0.003482142857142855
motor,mixed,0.013214285714285718
mem,mixed,-0.03660714285714286
mem,motor,-0.005982142857142855
mixed,mem,0.02312499999999999
mixed,motor,0.006785714285714292
motor,mem,0.0014285714285714268
motor,mixed,-0.005178571428571435
mem,mixed,0.01116071428571427
mem,motor,0.007321428571428572
mixed,mem,0.014553571428571407
mixed,motor,-0.02767857142857144
motor,mem,0.00848214285714285
motor,mixed,0.0016964285714285837
mem,mixed,-0.00580357142857141
mem,motor,-0.033749999999999995
mixed,mem,0.0025892857142857206
mixed,motor,-0.021875000000000006
motor,mem,-0.0020535714285714354
motor,mixed,-0.009553571428571425
mem,mixed,-0.012678571428571402
mem,motor,-0.020982142857142835
mixed,mem,0.012410714285714271
mixed,motor,0.02821428571428573
motor,mem,0.0003571428571428594
motor,mixed,0.015982142857142858
mem,mixed,-0.010982142857142869
mem,motor,-0.02723214285714287
mixed,mem,0.003660714285714287
mixed,motor,0.017767857142857144
motor,mem,-0.00767857142857141
motor,mixed,0.02107142857142858
mem,mixed,-0.02401785714285714
mem,motor,-0.0006250000000000055
mixed,mem,0.013928571428571427
mixed,motor,-0.0011607142857142827
motor,mem,-0.02517857142857144
motor,mixed,-0.005803571428571422
mem,mixed,-0.018482142857142853
mem,motor,-0.027500000000000007
mixed,mem,-0.02642857142857143
mixed,motor,-0.027232142857142844
motor,mem,-0.012767857142857133
motor,mixed,-0.023214285714285736
mem,mixed,0.018392857142857134
mem,motor,-0.013482142857142854
mixed,mem,-0.007857142857142858
mixed,motor,0.0007142857142856931
motor,mem,0.026249999999999996
motor,mixed,0.02223214285714286
mem,mixed,0.0047321428571428445
mem,motor,0.009642857142857144
mixed,mem,-0.005982142857142866
mixed,motor,0.006249999999999982
motor,mem,-0.00830357142857142
motor,mixed,0.00267857142857143
mem,mixed,0.008392857142857145
mem,motor,0.024553571428571397
mixed,mem,0.01044642857142859
mixed,motor,0.006964285714285719
motor,mem,-0.014732142857142869
motor,mixed,0.00875
mem,mixed,0.03964285714285716
mem,motor,0.06919642857142859
mixed,mem,-0.0011607142857142938
mixed,motor,-0.001964285714285715
motor,mem,0.017589285714285707
motor,mixed,0.008928571428571444
mem,mixed,0.03624999999999999
mem,motor,0.014999999999999994
mixed,mem,-0.02651785714285715
mixed,motor,0.01232142857142857
motor,mem,0.025535714285714328
motor,mixed,0.014732142857142852
mem,mixed,-0.03258928571428571
mem,motor,-0.0170535714285714
mixed,mem,-0.010446428571428567
mixed,motor,-0.004196428571428565
motor,mem,-0.023482142857142858
motor,mixed,0.006696428571428577
mem,mixed,0.021607142857142856
mem,motor,0.020714285714285723
mixed,mem,-0.049374999999999995
mixed,motor,-0.015982142857142854
motor,mem,0.021071428571428578
motor,mixed,-0.011071428571428574
mem,mixed,-0.004196428571428558
mem,motor,0.012053571428571438
mixed,mem,0.005089285714285727
mixed,motor,-0.013482142857142863
motor,mem,0.008124999999999997
motor,mixed,0.03035714285714286
mem,mixed,-0.022946428571428572
mem,motor,-0.016339285714285723
mixed,mem,0.034553571428571454
mixed,motor,-0.0035714285714285718
motor,mem,-0.006428571428571432
motor,mixed,0.003571428571428565
mem,mixed,-0.0017857142857142913
mem,motor,0.011428571428571446
mixed,mem,0.03999999999999999
mixed,motor,0.031874999999999994
motor,mem,-0.012142857142857141
motor,mixed,-0.004374999999999999
mem,mixed,-0.013482142857142863
mem,motor,-0.026249999999999985
mixed,mem,0.012857142857142853
mixed,motor,-0.005178571428571436
motor,mem,0.00803571428571428
motor,mixed,-0.01794642857142858
mem,mixed,-0.016607142857142876
mem,motor,-0.02464285714285715
mixed,mem,-0.004642857142857141
mixed,motor,0.012857142857142853
motor,mem,-0.01767857142857142
motor,mixed,-0.04107142857142855
mem,mixed,0.004553571428571426
mem,motor,-8.928571428571139e-05
mixed,mem,0.023392857142857135
mixed,motor,0.018482142857142853
motor,mem,-0.02964285714285712
motor,mixed,0.0033035714285714265
mem,mixed,-0.0025892857142857067
mem,motor,0.01526785714285715
mixed,mem,-0.01133928571428571
mixed,motor,-0.0048214285714285685
motor,mem,-0.0010714285714285804
motor,mixed,-0.010803571428571431
mem,mixed,0.004285714285714296
mem,motor,0.0008035714285714313
