sub,acc,train_task,test_task,iteration
MSC01,0.505,mixed,mem,0
MSC02,0.5264285714285714,mixed,mem,0
MSC03,0.51,mixed,mem,0
MSC04,0.505,mixed,mem,0
MSC05,0.5135714285714287,mixed,mem,0
MSC06,0.5185714285714286,mixed,mem,0
MSC07,0.5128571428571429,mixed,mem,0
MSC10,0.5257142857142857,mixed,mem,0
MSC01,0.47571428571428565,mixed,motor,0
MSC02,0.4978571428571429,mixed,motor,0
MSC03,0.4864285714285714,mixed,motor,0
MSC04,0.4564285714285714,mixed,motor,0
MSC05,0.4964285714285715,mixed,motor,0
MSC06,0.4864285714285714,mixed,motor,0
MSC07,0.4921428571428571,mixed,motor,0
MSC10,0.5114285714285713,mixed,motor,0
MSC01,0.5057142857142857,mem,mixed,0
MSC02,0.505,mem,mixed,0
MSC03,0.49785714285714283,mem,mixed,0
MSC04,0.4835714285714286,mem,mixed,0
MSC05,0.5028571428571429,mem,mixed,0
MSC06,0.5014285714285714,mem,mixed,0
MSC07,0.5050000000000001,mem,mixed,0
MSC10,0.475,mem,mixed,0
MSC01,0.5314285714285715,mem,motor,0
MSC02,0.5,mem,motor,0
MSC03,0.4978571428571429,mem,motor,0
MSC04,0.4978571428571429,mem,motor,0
MSC05,0.5064285714285715,mem,motor,0
MSC06,0.5064285714285715,mem,motor,0
MSC07,0.49142857142857144,mem,motor,0
MSC10,0.48285714285714293,mem,motor,0
MSC01,0.4721428571428571,motor,mixed,0
MSC02,0.4985714285714286,motor,mixed,0
MSC03,0.5135714285714286,motor,mixed,0
MSC04,0.4828571428571428,motor,mixed,0
MSC05,0.5028571428571429,motor,mixed,0
MSC06,0.505,motor,mixed,0
MSC07,0.5064285714285715,motor,mixed,0
MSC10,0.5171428571428571,motor,mixed,0
MSC01,0.5192857142857142,motor,mem,0
MSC02,0.5057142857142857,motor,mem,0
MSC03,0.4828571428571428,motor,mem,0
MSC04,0.5214285714285715,motor,mem,0
MSC05,0.4957142857142856,motor,mem,0
MSC06,0.5028571428571429,motor,mem,0
MSC07,0.48928571428571427,motor,mem,0
MSC10,0.4921428571428571,motor,mem,0
MSC01,0.5071428571428572,mixed,mem,1
MSC02,0.4985714285714286,mixed,mem,1
MSC03,0.4907142857142857,mixed,mem,1
MSC04,0.5064285714285713,mixed,mem,1
MSC05,0.48928571428571427,mixed,mem,1
MSC06,0.4971428571428572,mixed,mem,1
MSC07,0.48714285714285716,mixed,mem,1
MSC10,0.5207142857142857,mixed,mem,1
MSC01,0.4992857142857143,mixed,motor,1
MSC02,0.48928571428571427,mixed,motor,1
MSC03,0.5064285714285715,mixed,motor,1
MSC04,0.5042857142857142,mixed,motor,1
MSC05,0.5014285714285714,mixed,motor,1
MSC06,0.47714285714285715,mixed,motor,1
MSC07,0.5242857142857142,mixed,motor,1
MSC10,0.46928571428571436,mixed,motor,1
MSC01,0.4942857142857143,mem,mixed,1
MSC02,0.5478571428571429,mem,mixed,1
MSC03,0.5014285714285714,mem,mixed,1
MSC04,0.5014285714285716,mem,mixed,1
MSC05,0.5092857142857142,mem,mixed,1
MSC06,0.5085714285714286,mem,mixed,1
MSC07,0.5292857142857142,mem,mixed,1
MSC10,0.5185714285714286,mem,mixed,1
MSC01,0.46142857142857135,mem,motor,1
MSC02,0.4935714285714286,mem,motor,1
MSC03,0.5014285714285714,mem,motor,1
MSC04,0.4964285714285715,mem,motor,1
MSC05,0.49714285714285716,mem,motor,1
MSC06,0.4928571428571429,mem,motor,1
MSC07,0.5228571428571429,mem,motor,1
MSC10,0.4571428571428572,mem,motor,1
MSC01,0.5221428571428571,motor,mixed,1
MSC02,0.4928571428571429,motor,mixed,1
MSC03,0.49571428571428566,motor,mixed,1
MSC04,0.5321428571428571,motor,mixed,1
MSC05,0.5071428571428572,motor,mixed,1
MSC06,0.4964285714285715,motor,mixed,1
MSC07,0.4992857142857143,motor,mixed,1
MSC10,0.49214285714285716,motor,mixed,1
MSC01,0.5071428571428572,motor,mem,1
MSC02,0.5064285714285713,motor,mem,1
MSC03,0.5199999999999999,motor,mem,1
MSC04,0.4914285714285715,motor,mem,1
MSC05,0.505,motor,mem,1
MSC06,0.5092857142857142,motor,mem,1
MSC07,0.5035714285714287,motor,mem,1
MSC10,0.5035714285714284,motor,mem,1
MSC01,0.49714285714285705,mixed,mem,2
MSC02,0.4864285714285715,mixed,mem,2
MSC03,0.5271428571428572,mixed,mem,2
MSC04,0.5021428571428571,mixed,mem,2
MSC05,0.4842857142857144,mixed,mem,2
MSC06,0.4864285714285714,mixed,mem,2
MSC07,0.5107142857142858,mixed,mem,2
MSC10,0.4764285714285714,mixed,mem,2
MSC01,0.4992857142857143,mixed,motor,2
MSC02,0.5042857142857143,mixed,motor,2
MSC03,0.4892857142857143,mixed,motor,2
MSC04,0.5292857142857142,mixed,motor,2
MSC05,0.5057142857142857,mixed,motor,2
MSC06,0.49714285714285705,mixed,motor,2
MSC07,0.48999999999999994,mixed,motor,2
MSC10,0.48785714285714293,mixed,motor,2
MSC01,0.4799999999999999,mem,mixed,2
MSC02,0.5042857142857143,mem,mixed,2
MSC03,0.4907142857142857,mem,mixed,2
MSC04,0.5071428571428571,mem,mixed,2
MSC05,0.46714285714285714,mem,mixed,2
MSC06,0.4842857142857144,mem,mixed,2
MSC07,0.4935714285714286,mem,mixed,2
MSC10,0.49285714285714277,mem,mixed,2
MSC01,0.5164285714285715,mem,motor,2
MSC02,0.4492857142857143,mem,motor,2
MSC03,0.4871428571428572,mem,motor,2
MSC04,0.5071428571428572,mem,motor,2
MSC05,0.4992857142857144,mem,motor,2
MSC06,0.49499999999999994,mem,motor,2
MSC07,0.4971428571428572,mem,motor,2
MSC10,0.4957142857142857,mem,motor,2
MSC01,0.512857142857143,motor,mixed,2
MSC02,0.5028571428571429,motor,mixed,2
MSC03,0.5014285714285714,motor,mixed,2
MSC04,0.49500000000000005,motor,mixed,2
MSC05,0.5,motor,mixed,2
