train_sub,train_task,acc,frames,analysis
MSC01,mixed,0.8,5,CV
MSC02,mixed,0.55,5,CV
MSC03,mixed,0.6,5,CV
MSC04,mixed,0.7,5,CV
MSC05,mixed,0.7,5,CV
MSC06,mixed,0.75,5,CV
MSC07,mixed,0.8,5,CV
MSC10,mixed,0.65,5,CV
MSC01,motor,0.95,5,CV
MSC02,motor,0.75,5,CV
MSC03,motor,0.75,5,CV
MSC04,motor,0.95,5,CV
MSC05,motor,0.65,5,CV
MSC06,motor,0.7407407407407407,5,CV
MSC07,motor,0.6851851851851851,5,CV
MSC10,motor,0.7,5,CV
MSC01,mem,0.6,5,CV
MSC02,mem,0.75,5,CV
MSC03,mem,0.5625,5,CV
MSC04,mem,0.7,5,CV
MSC05,mem,0.85,5,CV
MSC06,mem,0.65,5,CV
MSC07,mem,0.65,5,CV
MSC10,mem,0.75,5,CV
MSC01,mixed,0.8,10,CV
MSC02,mixed,0.7,10,CV
MSC03,mixed,0.9,10,CV
MSC04,mixed,0.55,10,CV
MSC05,mixed,0.85,10,CV
MSC06,mixed,0.8,10,CV
MSC07,mixed,0.75,10,CV
MSC10,mixed,0.65,10,CV
MSC01,motor,1.0,10,CV
MSC02,motor,0.85,10,CV
MSC03,motor,1.0,10,CV
MSC04,motor,0.85,10,CV
MSC05,motor,0.95,10,CV
MSC06,motor,0.9074074074074073,10,CV
MSC07,motor,0.8888888888888888,10,CV
MSC10,motor,1.0,10,CV
MSC01,mem,0.95,10,CV
MSC02,mem,0.8,10,CV
MSC03,mem,0.625,10,CV
MSC04,mem,0.95,10,CV
MSC05,mem,0.9,10,CV
MSC06,mem,0.75,10,CV
MSC07,mem,0.9,10,CV
MSC10,mem,0.75,10,CV
MSC01,mixed,0.9,25,CV
MSC02,mixed,0.9,25,CV
MSC03,mixed,0.85,25,CV
MSC04,mixed,0.9,25,CV
MSC05,mixed,1.0,25,CV
MSC06,mixed,0.85,25,CV
MSC07,mixed,0.95,25,CV
MSC10,mixed,0.9,25,CV
MSC01,motor,1.0,25,CV
MSC02,motor,0.95,25,CV
MSC03,motor,1.0,25,CV
MSC04,motor,1.0,25,CV
MSC05,motor,1.0,25,CV
MSC06,motor,0.8888888888888888,25,CV
MSC07,motor,0.9444444444444444,25,CV
MSC10,motor,1.0,25,CV
MSC01,mem,0.95,25,CV
MSC02,mem,0.9,25,CV
MSC03,mem,0.8125,25,CV
MSC04,mem,1.0,25,CV
MSC05,mem,1.0,25,CV
MSC06,mem,1.0,25,CV
MSC07,mem,0.95,25,CV
MSC10,mem,0.95,25,CV
MSC01,mixed,0.95,50,CV
MSC02,mixed,0.8,50,CV
MSC03,mixed,0.9,50,CV
MSC04,mixed,0.95,50,CV
MSC05,mixed,1.0,50,CV
MSC06,mixed,0.95,50,CV
MSC07,mixed,1.0,50,CV
MSC10,mixed,0.9,50,CV
MSC01,motor,1.0,50,CV
MSC02,motor,0.95,50,CV
MSC03,motor,1.0,50,CV
MSC04,motor,1.0,50,CV
MSC05,motor,0.95,50,CV
MSC06,motor,1.0,50,CV
MSC07,motor,1.0,50,CV
MSC10,motor,1.0,50,CV
MSC01,mem,1.0,50,CV
MSC02,mem,0.95,50,CV
MSC03,mem,1.0,50,CV
MSC04,mem,1.0,50,CV
MSC05,mem,1.0,50,CV
MSC06,mem,1.0,50,CV
MSC07,mem,0.9,50,CV
MSC10,mem,0.95,50,CV
MSC01,mixed,0.9629629629629629,100,CV
MSC02,mixed,0.9,100,CV
MSC03,mixed,1.0,100,CV
MSC04,mixed,0.95,100,CV
MSC05,mixed,1.0,100,CV
MSC06,mixed,1.0,100,CV
MSC07,mixed,1.0,100,CV
MSC10,mixed,0.95,100,CV
MSC01,motor,1.0,100,CV
MSC02,motor,0.95,100,CV
MSC03,motor,1.0,100,CV
MSC04,motor,1.0,100,CV
MSC05,motor,1.0,100,CV
MSC06,motor,1.0,100,CV
MSC07,motor,0.9444444444444443,100,CV
MSC10,motor,0.95,100,CV
MSC01,mem,1.0,100,CV
MSC02,mem,1.0,100,CV
MSC03,mem,1.0,100,CV
MSC04,mem,1.0,100,CV
MSC05,mem,1.0,100,CV
MSC06,mem,1.0,100,CV
MSC07,mem,0.9,100,CV
MSC10,mem,0.9444444444444444,100,CV
MSC01,mixed,0.9629629629629629,150,CV
MSC02,mixed,0.9,150,CV
MSC03,mixed,1.0,150,CV
MSC04,mixed,1.0,150,CV
MSC05,mixed,1.0,150,CV
MSC06,mixed,0.9444444444444444,150,CV
MSC07,mixed,0.95,150,CV
MSC10,mixed,0.9444444444444444,150,CV
MSC01,motor,0.9375,150,CV
MSC02,motor,0.9,150,CV
MSC03,motor,0.85,150,CV
MSC04,motor,1.0,150,CV
MSC05,motor,1.0,150,CV
MSC06,motor,1.0,150,CV
MSC07,motor,0.8333333333333334,150,CV
MSC10,motor,0.8666666666666666,150,CV
MSC01,mem,1.0,150,CV
MSC02,mem,0.95,150,CV
MSC03,mem,1.0,150,CV
MSC04,mem,1.0,150,CV
MSC05,mem,1.0,150,CV
MSC06,mem,1.0,150,CV
MSC07,mem,0.9,150,CV
MSC10,mem,0.875,150,CV
MSC01,mixed,0.9629629629629629,175,CV
MSC02,mixed,0.9,175,CV
MSC03,mixed,1.0,175,CV
MSC04,mixed,1.0,175,CV
MSC05,mixed,1.0,175,CV
MSC06,mixed,0.8888888888888888,175,CV
MSC07,mixed,0.95,175,CV
MSC10,mixed,0.8888888888888888,175,CV
MSC02,motor,0.9444444444444444,175,CV
MSC03,motor,0.8333333333333334,175,CV
MSC04,motor,0.9333333333333332,175,CV
MSC05,motor,0.8333333333333334,175,CV
MSC06,motor,0.8666666666666666,175,CV
MSC10,motor,0.8333333333333334,175,CV
MSC01,mem,1.0,175,CV
MSC02,mem,1.0,175,CV
MSC03,mem,1.0,175,CV
MSC04,mem,1.0,175,CV
MSC05,mem,1.0,175,CV
MSC06,mem,1.0,175,CV
MSC07,mem,0.95,175,CV
MSC10,mem,0.8809523809523808,175,CV
MSC01,mixed,0.9629629629629629,200,CV
