sub,acc,task
MSC01,0.8807142857142859,mem
MSC02,0.9349999999999999,mem
MSC03,0.7928571428571428,mem
MSC04,0.925,mem
MSC05,0.8964285714285716,mem
MSC06,0.9471428571428572,mem
MSC07,0.9035714285714287,mem
MSC10,0.8742857142857143,mem
MSC01,0.7321428571428571,mixed
MSC02,0.6778571428571428,mixed
MSC03,0.5864285714285714,mixed
MSC04,0.8228571428571427,mixed
MSC05,0.7985714285714284,mixed
MSC06,0.6685714285714285,mixed
MSC07,0.6557142857142857,mixed
MSC10,0.6849999999999999,mixed
MSC01,0.92,motor
MSC02,0.5657142857142857,motor
MSC03,0.8342857142857144,motor
MSC04,0.9657142857142855,motor
MSC05,0.7514285714285714,motor
MSC06,0.6950000000000002,motor
MSC07,0.6964285714285714,motor
MSC10,0.8785714285714284,motor
