sub,acc,task,iteration
MSC01,0.5064285714285715,mixed,0
MSC02,0.5035714285714287,mixed,0
MSC03,0.5200000000000001,mixed,0
MSC04,0.5021428571428571,mixed,0
MSC05,0.5142857142857143,mixed,0
MSC06,0.4771428571428572,mixed,0
MSC07,0.5207142857142857,mixed,0
MSC10,0.5071428571428572,mixed,0
MSC01,0.5007142857142857,mem,0
MSC02,0.5078571428571429,mem,0
MSC03,0.5164285714285715,mem,0
MSC04,0.49214285714285716,mem,0
MSC05,0.48928571428571427,mem,0
MSC06,0.4821428571428571,mem,0
MSC07,0.4921428571428571,mem,0
MSC10,0.5135714285714286,mem,0
MSC01,0.4907142857142857,motor,0
MSC02,0.5242857142857144,motor,0
MSC03,0.48571428571428577,motor,0
MSC04,0.5164285714285713,motor,0
MSC05,0.5071428571428572,motor,0
MSC06,0.4714285714285714,motor,0
MSC07,0.5214285714285715,motor,0
MSC10,0.5135714285714286,motor,0
MSC01,0.5149999999999999,mixed,1
MSC02,0.48428571428571426,mixed,1
MSC03,0.5107142857142857,mixed,1
MSC04,0.46428571428571436,mixed,1
MSC05,0.5207142857142858,mixed,1
MSC06,0.4928571428571428,mixed,1
MSC07,0.4878571428571429,mixed,1
MSC10,0.4935714285714286,mixed,1
MSC01,0.505,mem,1
MSC02,0.4728571428571428,mem,1
MSC03,0.5221428571428571,mem,1
MSC04,0.4985714285714286,mem,1
MSC05,0.5085714285714286,mem,1
MSC06,0.5199999999999999,mem,1
MSC07,0.5228571428571429,mem,1
MSC10,0.5207142857142858,mem,1
MSC01,0.5099999999999999,motor,1
MSC02,0.48500000000000004,motor,1
MSC03,0.47428571428571425,motor,1
MSC04,0.4921428571428571,motor,1
MSC05,0.5064285714285715,motor,1
MSC06,0.5085714285714287,motor,1
MSC07,0.47428571428571425,motor,1
MSC10,0.5164285714285713,motor,1
MSC01,0.5042857142857143,mixed,2
MSC02,0.5135714285714286,mixed,2
MSC03,0.5235714285714286,mixed,2
MSC04,0.5071428571428572,mixed,2
MSC05,0.5121428571428571,mixed,2
MSC06,0.5107142857142858,mixed,2
MSC07,0.48000000000000004,mixed,2
MSC10,0.49714285714285705,mixed,2
MSC01,0.48999999999999994,mem,2
MSC02,0.5214285714285715,mem,2
MSC03,0.5071428571428571,mem,2
MSC04,0.48571428571428565,mem,2
MSC05,0.4992857142857142,mem,2
MSC06,0.48928571428571427,mem,2
MSC07,0.5128571428571429,mem,2
MSC10,0.49500000000000005,mem,2
MSC01,0.4864285714285715,motor,2
MSC02,0.4928571428571429,motor,2
MSC03,0.5021428571428571,motor,2
MSC04,0.515,motor,2
MSC05,0.4435714285714285,motor,2
MSC06,0.48357142857142865,motor,2
MSC07,0.5078571428571428,motor,2
MSC10,0.48928571428571427,motor,2
MSC01,0.505,mixed,3
MSC02,0.515,mixed,3
MSC03,0.5021428571428571,mixed,3
MSC04,0.48000000000000004,mixed,3
MSC05,0.5178571428571429,mixed,3
MSC06,0.5035714285714287,mixed,3
MSC07,0.5,mixed,3
MSC10,0.51,mixed,3
MSC01,0.5207142857142857,mem,3
MSC02,0.5021428571428571,mem,3
MSC03,0.47428571428571425,mem,3
MSC04,0.4757142857142857,mem,3
MSC05,0.5264285714285715,mem,3
MSC06,0.5135714285714287,mem,3
MSC07,0.5035714285714286,mem,3
MSC10,0.475,mem,3
MSC01,0.5135714285714286,motor,3
MSC02,0.49142857142857144,motor,3
MSC03,0.5092857142857142,motor,3
MSC04,0.5078571428571428,motor,3
MSC05,0.49642857142857144,motor,3
MSC06,0.5014285714285714,motor,3
MSC07,0.4900000000000001,motor,3
MSC10,0.5271428571428571,motor,3
MSC01,0.5028571428571429,mixed,4
MSC02,0.5142857142857143,mixed,4
MSC03,0.49785714285714283,mixed,4
MSC04,0.5021428571428571,mixed,4
MSC05,0.4828571428571428,mixed,4
MSC06,0.5071428571428572,mixed,4
MSC07,0.49857142857142855,mixed,4
MSC10,0.4821428571428572,mixed,4
MSC01,0.5085714285714287,mem,4
MSC02,0.505,mem,4
MSC03,0.5042857142857143,mem,4
MSC04,0.5092857142857143,mem,4
MSC05,0.47428571428571425,mem,4
