sub,train_task,test_task,pval
MSC01,motor,mem,0.8051948051948052
MSC02,motor,mem,0.5054945054945055
MSC03,motor,mem,0.46853146853146854
MSC04,motor,mem,0.7392607392607392
MSC05,motor,mem,0.000999000999000999
MSC06,motor,mem,0.20279720279720279
MSC07,motor,mem,0.994005994005994
MSC10,motor,mem,0.4175824175824176
MSC01,motor,mixed,0.1068931068931069
MSC02,motor,mixed,0.4835164835164835
MSC03,motor,mixed,0.30569430569430567
MSC04,motor,mixed,0.7572427572427572
MSC05,motor,mixed,0.34065934065934067
MSC06,motor,mixed,0.6913086913086913
MSC07,motor,mixed,0.8591408591408591
MSC10,motor,mixed,0.6603396603396603
MSC01,mem,motor,0.013986013986013986
MSC02,mem,motor,1.0
MSC03,mem,motor,0.11388611388611389
MSC04,mem,motor,0.17082917082917082
MSC05,mem,motor,0.11888111888111888
MSC06,mem,motor,0.1028971028971029
MSC07,mem,motor,0.4005994005994006
MSC10,mem,motor,0.17082917082917082
MSC01,mem,mixed,0.03296703296703297
MSC02,mem,mixed,0.974025974025974
MSC03,mem,mixed,0.8241758241758241
MSC04,mem,mixed,0.056943056943056944
MSC05,mem,mixed,0.4085914085914086
MSC06,mem,mixed,0.6823176823176823
MSC07,mem,mixed,0.06493506493506493
MSC10,mem,mixed,0.16183816183816183
MSC01,mixed,motor,0.001998001998001998
MSC02,mixed,motor,0.11388611388611389
MSC03,mixed,motor,0.000999000999000999
MSC04,mixed,motor,0.07192807192807193
MSC05,mixed,motor,0.0919080919080919
MSC06,mixed,motor,0.008991008991008992
MSC07,mixed,motor,0.01098901098901099
MSC10,mixed,motor,0.002997002997002997
MSC01,mixed,mem,0.02197802197802198
MSC02,mixed,mem,0.000999000999000999
MSC03,mixed,mem,0.003996003996003996
MSC04,mixed,mem,0.08791208791208792
MSC05,mixed,mem,0.027972027972027972
MSC06,mixed,mem,0.001998001998001998
MSC07,mixed,mem,0.006993006993006993
MSC10,mixed,mem,0.012987012987012988
