train_task,test_task,diff
mem,mixed,0.034999999999999976
mem,motor,-0.03124999999999998
mixed,mem,-0.012499999999999994
mixed,motor,-0.06124999999999999
motor,mem,0.025000000000000046
motor,mixed,0.007500000000000017
mem,mixed,-0.053124999999999964
mem,motor,0.024375000000000008
mixed,mem,-0.013124999999999984
mixed,motor,-0.012499999999999983
motor,mem,-0.05125000000000004
motor,mixed,-0.0018749999999999878
mem,mixed,0.03937499999999999
mem,motor,0.014999999999999986
mixed,mem,0.03937499999999997
mixed,motor,0.006875000000000034
motor,mem,-0.08062499999999999
motor,mixed,0.005000000000000008
mem,mixed,-0.01437500000000002
mem,motor,0.009374999999999974
mixed,mem,0.009999999999999995
mixed,motor,-0.005625000000000033
motor,mem,-0.0025000000000000022
motor,mixed,0.03374999999999999
mem,mixed,-0.026874999999999982
mem,motor,-0.031874999999999994
mixed,mem,-0.054375000000000034
mixed,motor,-0.026250000000000002
motor,mem,-0.065
motor,mixed,0.054375
mem,mixed,0.013124999999999994
mem,motor,-0.016249999999999987
mixed,mem,0.060000000000000005
mixed,motor,-0.05250000000000003
motor,mem,0.09187499999999998
motor,mixed,-0.0125
mem,mixed,0.005625000000000005
mem,motor,0.027499999999999962
mixed,mem,-0.04749999999999999
mixed,motor,-0.024375
motor,mem,0.008124999999999973
motor,mixed,-0.041250000000000044
mem,mixed,0.031249999999999986
mem,motor,-0.095625
mixed,mem,0.021875000000000006
mixed,motor,0.07375
motor,mem,-0.07624999999999998
motor,mixed,-0.05812500000000001
mem,mixed,-0.001250000000000008
mem,motor,0.024374999999999994
mixed,mem,-0.031874999999999994
mixed,motor,0.11499999999999996
motor,mem,-0.11749999999999998
motor,mixed,-0.0018750000000000155
mem,mixed,0.025000000000000057
mem,motor,0.010625000000000006
mixed,mem,-0.016875
mixed,motor,0.060625000000000005
motor,mem,0.1
motor,mixed,-0.08312500000000002
mem,mixed,0.003124999999999996
mem,motor,0.010000000000000016
mixed,mem,0.025000000000000036
mixed,motor,-0.09750000000000007
motor,mem,-0.028124999999999976
motor,mixed,-0.05312500000000004
mem,mixed,0.01812500000000001
mem,motor,0.04625000000000001
mixed,mem,0.016874999999999998
mixed,motor,0.03875000000000002
motor,mem,0.012500000000000004
motor,mixed,0.018125000000000044
mem,mixed,0.060000000000000046
mem,motor,0.014375000000000013
mixed,mem,-0.075
mixed,motor,0.011249999999999954
motor,mem,-0.09625
motor,mixed,0.023749999999999993
mem,mixed,-0.011875000000000004
mem,motor,-0.012499999999999983
mixed,mem,0.01562500000000001
mixed,motor,0.015625000000000014
motor,mem,-0.12187499999999998
motor,mixed,0.003124999999999996
mem,mixed,-0.029374999999999964
mem,motor,0.03125000000000001
mixed,mem,-0.03875000000000001
mixed,motor,0.03187499999999999
motor,mem,0.035625000000000025
motor,mixed,0.011875000000000007
mem,mixed,-0.04750000000000002
mem,motor,0.07437500000000001
mixed,mem,-0.06125000000000002
mixed,motor,-0.005624999999999984
motor,mem,-0.07999999999999999
motor,mixed,-0.07750000000000001
mem,mixed,0.014374999999999999
mem,motor,0.04249999999999999
mixed,mem,0.02750000000000003
