task,diff
glass,0.002867063492063487
mem,0.011607142857142863
motor,0.0075
semantic,-0.019732142857142847
glass,0.033402777777777774
mem,0.011785714285714288
motor,0.019642857142857153
semantic,0.04098214285714286
glass,0.021617063492063486
mem,-0.047589285714285716
motor,-0.02098214285714287
semantic,-0.039375
glass,-0.018373015873015867
mem,-0.003482142857142856
motor,0.012946428571428567
semantic,0.010089285714285717
glass,0.049593253968253995
mem,0.003660714285714301
motor,-0.018035714285714283
semantic,0.003392857142857148
glass,-0.0017063492063492114
mem,0.006874999999999998
motor,0.02428571428571431
semantic,0.011071428571428583
glass,-0.025079365079365087
mem,0.028035714285714292
motor,0.027232142857142854
semantic,-0.008392857142857124
glass,-0.009781746031746034
mem,-0.014017857142857141
motor,-0.012053571428571426
semantic,0.04794642857142857
glass,-0.0054265873015873056
mem,0.03821428571428572
motor,0.000267857142857156
semantic,-0.04151785714285713
glass,-0.003581349206349202
mem,0.024553571428571445
motor,-0.010535714285714289
semantic,0.03151785714285714
glass,0.0018452380952380953
mem,0.047053571428571396
motor,0.017857142857142856
semantic,-0.017142857142857144
glass,0.005029761904761909
mem,0.02857142857142857
motor,-0.02723214285714286
semantic,-0.023928571428571417
glass,-0.011666666666666681
mem,-0.025357142857142845
motor,0.023392857142857142
semantic,0.013839285714285698
glass,-0.00024801587301586617
mem,0.013928571428571448
motor,-0.005446428571428579
semantic,0.004821428571428573
glass,0.0008035714285714392
mem,0.01794642857142858
motor,-0.0008928571428571461
semantic,0.03669642857142857
glass,0.0016071428571428636
mem,0.010446428571428563
motor,-0.016071428571428552
semantic,-0.039642857142857146
glass,0.0001884920634920652
mem,0.02196428571428572
motor,0.01116071428571429
semantic,-0.013482142857142837
glass,0.020307539682539677
mem,0.02267857142857143
motor,0.006964285714285727
semantic,0.005178571428571428
glass,0.0026091269841269807
mem,0.0012499999999999961
motor,0.02339285714285716
semantic,-0.01723214285714285
glass,0.03199404761904762
mem,0.004910714285714284
motor,-0.005803571428571431
semantic,-0.022410714285714263
glass,0.018402777777777785
mem,-0.005982142857142855
motor,0.01258928571428572
semantic,0.01357142857142857
glass,-0.03699404761904763
mem,0.012767857142857147
motor,-0.01107142857142856
semantic,-0.002767857142857149
glass,-0.006964285714285715
mem,-0.016428571428571414
motor,0.026607142857142854
semantic,-0.01285714285714286
glass,-0.02599206349206348
mem,-0.008035714285714273
motor,-0.0016071428571428595
semantic,0.004910714285714292
glass,-0.025079365079365066
mem,0.011071428571428574
motor,-0.003928571428571435
semantic,-0.02473214285714287
glass,0.016815476190476197
mem,0.02321428571428572
motor,-0.024732142857142866
semantic,-0.0012499999999999972
glass,0.03742063492063491
mem,0.028125000000000008
motor,0.014553571428571443
semantic,0.030714285714285725
glass,0.014136904761904757
mem,-0.020803571428571414
motor,-0.03223214285714285
semantic,0.003571428571428576
glass,0.031557539682539694
mem,0.030535714285714284
motor,0.0004464285714285758
semantic,0.022678571428571416
glass,-0.03981150793650796
mem,-0.018035714285714287
motor,0.022053571428571422
semantic,0.01419642857142857
glass,0.04353174603174601
mem,0.028214285714285716
motor,-0.06196428571428569
semantic,0.009285714285714283
glass,0.03566468253968253
mem,0.025535714285714266
motor,-0.015535714285714297
semantic,-0.0057142857142857065
glass,-0.021964285714285735
mem,0.023749999999999993
motor,-0.031607142857142834
semantic,0.044464285714285685
glass,0.03518849206349207
mem,-0.003750000000000004
motor,0.015625000000000003
semantic,-0.014375000000000008
glass,0.005833333333333336
mem,-0.015535714285714286
motor,0.04919642857142858
semantic,0.05758928571428572
glass,-0.015753968253968246
mem,0.008125000000000009
motor,-0.030089285714285728
semantic,-0.004910714285714288
glass,0.027559523809523805
mem,-0.0074999999999999884
motor,-0.033571428571428565
semantic,0.039017857142857125
glass,0.010297619047619038
mem,0.030357142857142843
motor,-0.03178571428571428
semantic,0.006428571428571441
glass,0.004573412698412688
mem,0.011428571428571423
motor,0.018482142857142874
semantic,0.01794642857142858
glass,-0.023373015873015886
mem,0.009910714285714287
motor,0.015089285714285706
semantic,0.020267857142857143
glass,-0.03232142857142857
mem,0.03232142857142857
motor,-0.03642857142857143
semantic,-0.007053571428571436
glass,0.03839285714285716
mem,0.012767857142857136
motor,-0.03285714285714285
semantic,-0.02
glass,-0.026101190476190497
mem,0.01705357142857143
motor,0.01883928571428572
semantic,0.011517857142857132
glass,-0.05148809523809524
mem,0.012857142857142859
motor,-0.005357142857142851
semantic,0.013571428571428562
glass,-0.008740079365079357
mem,-0.032500000000000015
motor,0.005624999999999999
semantic,-0.030803571428571448
glass,0.0027480158730158735
mem,-0.0004464285714285758
