train_task,test_task,diff
glass,mem,0.0450297619047619
glass,motor,0.112202380952381
glass,semantic,0.08203373015873008
mem,glass,0.04531746031746032
mem,motor,-0.16973214285714286
mem,semantic,0.05589285714285715
motor,glass,-0.011855158730158712
motor,mem,0.012678571428571438
motor,semantic,0.03598214285714287
semantic,glass,0.05259920634920629
semantic,mem,0.08839285714285716
semantic,motor,-0.0661607142857143
glass,mem,-0.03540674603174604
glass,motor,-0.03718253968253973
glass,semantic,-0.048283730158730165
mem,glass,0.056051587301587276
mem,motor,-0.11241071428571438
mem,semantic,0.013214285714285703
motor,glass,0.002539682539682523
motor,mem,-0.005982142857142875
motor,semantic,-0.015357142857142847
semantic,glass,0.043432539682539635
semantic,mem,0.0050892857142857
semantic,motor,-0.08785714285714286
glass,mem,0.1032440476190476
glass,motor,-0.031329365079365075
glass,semantic,0.03831349206349201
mem,glass,-0.030456349206349174
mem,motor,-0.04026785714285712
mem,semantic,-0.07883928571428571
motor,glass,0.010942460317460352
motor,mem,-0.04883928571428574
motor,semantic,0.05053571428571435
semantic,glass,-0.04244047619047619
semantic,mem,0.03937500000000003
semantic,motor,-0.026250000000000027
glass,mem,-0.02035714285714287
glass,motor,-0.10356150793650797
glass,semantic,-0.0518849206349206
mem,glass,0.07650793650793652
mem,motor,-0.024196428571428594
mem,semantic,0.05133928571428572
motor,glass,-0.0656150793650794
motor,mem,-0.052500000000000005
motor,semantic,-0.07901785714285721
semantic,glass,-0.06167658730158733
semantic,mem,-0.023035714285714274
semantic,motor,-0.03276785714285714
glass,mem,-0.02474206349206351
glass,motor,0.1408630952380953
glass,semantic,-0.10244047619047612
mem,glass,0.03308531746031741
mem,motor,-0.04651785714285711
mem,semantic,-0.10910714285714286
motor,glass,-0.03939484126984127
motor,mem,0.09080357142857143
motor,semantic,0.012946428571428548
semantic,glass,-0.06032738095238097
semantic,mem,-0.04321428571428574
semantic,motor,-0.030089285714285697
glass,mem,0.07655753968253969
glass,motor,-0.13593253968253968
glass,semantic,0.04285714285714288
mem,glass,0.05641865079365078
mem,motor,0.057946428571428565
mem,semantic,0.0992857142857143
motor,glass,0.04141865079365079
motor,mem,0.03151785714285717
motor,semantic,-0.013125000000000024
semantic,glass,-0.011894841269841269
semantic,mem,-0.1303571428571428
semantic,motor,-0.020446428571428588
glass,mem,0.09315476190476189
glass,motor,0.06990079365079363
glass,semantic,0.03015873015873017
mem,glass,0.00901785714285713
mem,motor,-0.039464285714285716
mem,semantic,0.10955357142857146
