task,acc
mixed,0.8299999999999998
motor,0.925
mem,0.8949999999999999
mixed,0.5599999999999999
motor,0.925
mem,0.76875
mixed,0.835
motor,0.9949999999999999
mem,0.89
mixed,0.7750000000000001
motor,0.8850000000000001
mem,0.9800000000000001
mixed,0.72
motor,0.7388888888888888
mem,0.96
mixed,0.625
motor,0.9666666666666668
mem,0.7300000000000001
mixed,0.78
motor,0.985
mem,0.9400000000000001
mixed,0.675
motor,0.5
mem,0.975
mixed,0.7649999999999999
motor,0.725
mem,0.775
mixed,0.615
motor,0.5799999999999998
mem,0.9850000000000001
mixed,0.675
motor,0.575
mem,0.96
mixed,0.6500000000000001
motor,0.5555555555555555
mem,0.9650000000000001
mixed,0.7899999999999998
motor,0.5
mem,0.9
mixed,0.575
motor,0.53
mem,0.975
mixed,0.5149999999999999
motor,0.7050000000000001
mem,0.6437499999999999
mixed,0.685
motor,0.9799999999999999
mem,0.8875000000000001
mixed,0.53
motor,0.9349999999999999
mem,0.84375
mixed,0.82
motor,0.9000000000000001
mem,0.9187500000000001
mixed,0.5
motor,0.8388888888888888
mem,0.6875000000000001
mixed,0.55
motor,0.8055555555555556
mem,0.5437500000000001
mixed,0.505
motor,0.74
mem,0.78125
mixed,0.825
motor,1.0
mem,0.96
mixed,0.835
motor,0.9850000000000001
mem,0.95
mixed,0.75
motor,0.9549999999999998
mem,0.75625
mixed,0.9399999999999998
motor,0.9600000000000002
mem,0.9550000000000001
mixed,0.95
motor,0.9166666666666666
mem,1.0
mixed,0.605
motor,0.9944444444444445
mem,0.8800000000000001
mixed,0.8549999999999999
motor,0.97
mem,0.9550000000000001
mixed,0.8099999999999999
motor,0.635
mem,0.9949999999999999
mixed,0.55
motor,0.9200000000000002
mem,0.7250000000000001
mixed,0.835
motor,0.845
mem,0.9375
mixed,0.8349999999999997
motor,0.7150000000000001
mem,0.835
mixed,0.9
motor,0.7833333333333333
mem,0.9949999999999999
mixed,0.8699999999999999
motor,0.7055555555555556
mem,0.8950000000000001
mixed,0.7899999999999999
motor,0.7050000000000001
mem,0.9000000000000001
mixed,0.6100000000000001
motor,0.7
mem,0.9600000000000002
mixed,0.615
motor,0.5944444444444446
mem,0.9399999999999998
mixed,0.575
motor,0.8111111111111112
mem,0.9125
mixed,0.6950000000000001
motor,0.9611111111111111
mem,0.9850000000000001
mixed,0.5850000000000002
motor,0.7388888888888888
mem,0.9800000000000001
mixed,0.82
motor,0.9444444444444442
mem,0.885
mixed,0.78
motor,0.8277777777777778
mem,0.9550000000000001
mixed,0.9
motor,0.9111111111111112
mem,0.915
mixed,0.7599999999999999
motor,0.8611111111111112
mem,0.78
mixed,0.635
motor,0.8888888888888888
mem,0.75
mixed,0.6350000000000001
motor,0.8888888888888888
mem,0.925
mixed,0.5199999999999999
motor,0.838888888888889
mem,0.9850000000000001
mixed,0.5449999999999999
motor,0.8209876543209875
mem,0.9949999999999999
mixed,0.595
motor,0.9222222222222223
mem,0.9349999999999999
mixed,0.5
motor,0.9349999999999999
mem,0.905
mixed,0.675
motor,0.905
mem,0.7849999999999999
mixed,0.58
motor,0.905
mem,0.84375
mixed,0.8499999999999999
motor,0.9450000000000001
mem,0.9000000000000001
mixed,0.7300000000000001
motor,0.8399999999999999
mem,0.925
mixed,0.8049999999999999
motor,0.6611111111111111
mem,0.975
mixed,0.655
motor,0.9166666666666667
mem,0.7849999999999999
