MSC10,train,test
1.0,mixed,mem
0.95,mixed,mem
1.0,mixed,mem
1.0,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,mem
0.95,mixed,motor
0.9,mixed,motor
0.95,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.85,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.95,mixed,motor
0.85,mixed,motor
0.85,mem,mixed
0.85,mem,mixed
0.9,mem,mixed
0.8,mem,mixed
0.75,mem,mixed
0.8,mem,mixed
0.8,mem,mixed
0.8,mem,mixed
0.8,mem,mixed
0.8,mem,mixed
0.95,mem,motor
0.9,mem,motor
0.9,mem,motor
0.9,mem,motor
0.85,mem,motor
0.95,mem,motor
0.9,mem,motor
0.95,mem,motor
0.9,mem,motor
0.9,mem,motor
0.5,motor,mixed
0.5,motor,mixed
0.55,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.6,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.65,motor,mem
0.6,motor,mem
0.6,motor,mem
