train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.5799999999999998
mixed,mem,MSC01,MSC02,0.645
motor,mixed,MSC01,MSC02,0.735
motor,mem,MSC01,MSC02,0.745
mem,mixed,MSC01,MSC02,0.7749999999999999
mem,motor,MSC01,MSC02,0.8400000000000001
mixed,motor,MSC01,MSC03,0.575
mixed,mem,MSC01,MSC03,0.58125
motor,mixed,MSC01,MSC03,0.905
motor,mem,MSC01,MSC03,0.825
mem,mixed,MSC01,MSC03,0.7899999999999999
mem,motor,MSC01,MSC03,0.7949999999999999
mixed,motor,MSC01,MSC04,0.755
mixed,mem,MSC01,MSC04,0.75
motor,mixed,MSC01,MSC04,0.8649999999999999
motor,mem,MSC01,MSC04,0.82
mem,mixed,MSC01,MSC04,0.8549999999999999
mem,motor,MSC01,MSC04,0.9100000000000001
mixed,motor,MSC01,MSC05,0.715
mixed,mem,MSC01,MSC05,0.72
motor,mixed,MSC01,MSC05,0.765
motor,mem,MSC01,MSC05,0.8650000000000002
mem,mixed,MSC01,MSC05,0.8149999999999998
mem,motor,MSC01,MSC05,0.8499999999999999
mixed,motor,MSC01,MSC06,0.8722222222222223
mixed,mem,MSC01,MSC06,0.9
motor,mixed,MSC01,MSC06,0.5199999999999999
motor,mem,MSC01,MSC06,0.565
mem,mixed,MSC01,MSC06,0.6350000000000001
mem,motor,MSC01,MSC06,0.7222222222222222
mixed,motor,MSC01,MSC07,0.5611111111111111
mixed,mem,MSC01,MSC07,0.5700000000000001
motor,mixed,MSC01,MSC07,0.9400000000000001
motor,mem,MSC01,MSC07,0.7649999999999999
mem,mixed,MSC01,MSC07,0.7749999999999999
mem,motor,MSC01,MSC07,0.75
mixed,motor,MSC01,MSC10,0.7649999999999999
mixed,mem,MSC01,MSC10,0.7349999999999999
motor,mixed,MSC01,MSC10,0.7
motor,mem,MSC01,MSC10,0.905
mem,mixed,MSC01,MSC10,0.825
mem,motor,MSC01,MSC10,0.8399999999999999
mixed,motor,MSC02,MSC01,0.7
mixed,mem,MSC02,MSC01,0.615
motor,mixed,MSC02,MSC01,0.5
motor,mem,MSC02,MSC01,0.5
mem,mixed,MSC02,MSC01,0.6799999999999999
mem,motor,MSC02,MSC01,0.6849999999999999
