train_sub,test_sub,task,acc
MSC01,MSC02,mixed,0.7849999999999999
MSC01,MSC02,motor,0.9299999999999999
MSC01,MSC02,mem,0.875
MSC01,MSC03,mixed,0.5549999999999999
MSC01,MSC03,motor,0.925
MSC01,MSC03,mem,0.8125
MSC01,MSC04,mixed,0.8549999999999999
MSC01,MSC04,motor,0.9949999999999999
MSC01,MSC04,mem,0.875
MSC01,MSC05,mixed,0.6900000000000001
MSC01,MSC05,motor,0.8950000000000001
MSC01,MSC05,mem,0.95
MSC01,MSC06,mixed,0.735
MSC01,MSC06,motor,0.8444444444444444
MSC01,MSC06,mem,0.9800000000000001
MSC01,MSC07,mixed,0.545
MSC01,MSC07,motor,0.9166666666666667
MSC01,MSC07,mem,0.6599999999999999
MSC01,MSC10,mixed,0.6849999999999999
MSC01,MSC10,motor,0.975
MSC01,MSC10,mem,0.9400000000000001
MSC02,MSC01,mixed,0.6699999999999999
MSC02,MSC01,motor,0.5
MSC02,MSC01,mem,0.9650000000000001
MSC02,MSC03,mixed,0.7699999999999999
MSC02,MSC03,motor,0.725
MSC02,MSC03,mem,0.75
MSC02,MSC04,mixed,0.6250000000000001
MSC02,MSC04,motor,0.575
MSC02,MSC04,mem,0.9850000000000001
MSC02,MSC05,mixed,0.6799999999999999
MSC02,MSC05,motor,0.605
MSC02,MSC05,mem,0.99
MSC02,MSC06,mixed,0.6600000000000001
MSC02,MSC06,motor,0.5888888888888888
MSC02,MSC06,mem,0.96
MSC02,MSC07,mixed,0.7849999999999999
MSC02,MSC07,motor,0.5
MSC02,MSC07,mem,0.845
MSC02,MSC10,mixed,0.575
MSC02,MSC10,motor,0.5650000000000001
MSC02,MSC10,mem,0.97
MSC03,MSC01,mixed,0.5149999999999999
MSC03,MSC01,motor,0.7999999999999999
MSC03,MSC01,mem,0.675
MSC03,MSC02,mixed,0.6900000000000001
MSC03,MSC02,motor,0.9799999999999999
MSC03,MSC02,mem,0.9187500000000001
MSC03,MSC04,mixed,0.53
MSC03,MSC04,motor,0.925
MSC03,MSC04,mem,0.80625
MSC03,MSC05,mixed,0.8099999999999999
MSC03,MSC05,motor,0.9000000000000001
MSC03,MSC05,mem,0.8875000000000001
MSC03,MSC06,mixed,0.5
MSC03,MSC06,motor,0.8666666666666668
MSC03,MSC06,mem,0.70625
MSC03,MSC07,mixed,0.555
MSC03,MSC07,motor,0.8944444444444445
MSC03,MSC07,mem,0.56875
MSC03,MSC10,mixed,0.505
MSC03,MSC10,motor,0.7849999999999999
MSC03,MSC10,mem,0.7375
MSC04,MSC01,mixed,0.775
MSC04,MSC01,motor,1.0
MSC04,MSC01,mem,0.97
MSC04,MSC02,mixed,0.7999999999999999
MSC04,MSC02,motor,1.0
MSC04,MSC02,mem,0.9650000000000001
MSC04,MSC03,mixed,0.73
MSC04,MSC03,motor,0.95
MSC04,MSC03,mem,0.75
MSC04,MSC05,mixed,0.9399999999999998
MSC04,MSC05,motor,0.9850000000000001
MSC04,MSC05,mem,0.975
MSC04,MSC06,mixed,0.95
MSC04,MSC06,motor,0.95
MSC04,MSC06,mem,1.0
MSC04,MSC07,mixed,0.5399999999999999
MSC04,MSC07,motor,0.9888888888888889
MSC04,MSC07,mem,0.8700000000000001
MSC04,MSC10,mixed,0.8549999999999999
MSC04,MSC10,motor,0.985
MSC04,MSC10,mem,0.975
MSC05,MSC01,mixed,0.78
MSC05,MSC01,motor,0.67
MSC05,MSC01,mem,0.985
MSC05,MSC02,mixed,0.525
MSC05,MSC02,motor,0.9350000000000002
MSC05,MSC02,mem,0.7250000000000001
MSC05,MSC03,mixed,0.8099999999999999
MSC05,MSC03,motor,0.8399999999999999
MSC05,MSC03,mem,0.925
MSC05,MSC04,mixed,0.8299999999999998
MSC05,MSC04,motor,0.7849999999999999
MSC05,MSC04,mem,0.85
MSC05,MSC06,mixed,0.9099999999999999
MSC05,MSC06,motor,0.8277777777777777
MSC05,MSC06,mem,1.0
MSC05,MSC07,mixed,0.8550000000000001
MSC05,MSC07,motor,0.7277777777777777
MSC05,MSC07,mem,0.905
MSC05,MSC10,mixed,0.7699999999999999
MSC05,MSC10,motor,0.7000000000000001
MSC05,MSC10,mem,0.8950000000000001
MSC06,MSC01,mixed,0.5850000000000001
MSC06,MSC01,motor,0.7166666666666667
MSC06,MSC01,mem,0.9600000000000002
MSC06,MSC02,mixed,0.635
MSC06,MSC02,motor,0.6
MSC06,MSC02,mem,0.9349999999999999
MSC06,MSC03,mixed,0.565
MSC06,MSC03,motor,0.8277777777777778
MSC06,MSC03,mem,0.95625
MSC06,MSC04,mixed,0.69
MSC06,MSC04,motor,0.9666666666666666
MSC06,MSC04,mem,0.9850000000000001
MSC06,MSC05,mixed,0.5399999999999999
MSC06,MSC05,motor,0.7444444444444445
MSC06,MSC05,mem,0.9550000000000001
MSC06,MSC07,mixed,0.78
MSC06,MSC07,motor,0.9753086419753088
MSC06,MSC07,mem,0.875
MSC06,MSC10,mixed,0.7299999999999999
MSC06,MSC10,motor,0.8333333333333334
MSC06,MSC10,mem,0.9600000000000002
MSC07,MSC01,mixed,0.89
MSC07,MSC01,motor,0.8944444444444444
MSC07,MSC01,mem,0.9099999999999999
MSC07,MSC02,mixed,0.7449999999999999
MSC07,MSC02,motor,0.8500000000000001
MSC07,MSC02,mem,0.675
MSC07,MSC03,mixed,0.6249999999999999
MSC07,MSC03,motor,0.8833333333333333
MSC07,MSC03,mem,0.775
MSC07,MSC04,mixed,0.6500000000000001
MSC07,MSC04,motor,0.9222222222222223
MSC07,MSC04,mem,0.925
MSC07,MSC05,mixed,0.5
MSC07,MSC05,motor,0.8222222222222223
MSC07,MSC05,mem,0.9800000000000001
MSC07,MSC06,mixed,0.5349999999999999
MSC07,MSC06,motor,0.7592592592592593
MSC07,MSC06,mem,0.9949999999999999
MSC07,MSC10,mixed,0.5549999999999999
MSC07,MSC10,motor,0.9055555555555556
MSC07,MSC10,mem,0.9349999999999999
MSC10,MSC01,mixed,0.5
MSC10,MSC01,motor,0.9550000000000001
MSC10,MSC01,mem,0.75
MSC10,MSC02,mixed,0.6599999999999999
MSC10,MSC02,motor,0.865
MSC10,MSC02,mem,0.7200000000000001
MSC10,MSC03,mixed,0.565
MSC10,MSC03,motor,0.9400000000000001
MSC10,MSC03,mem,0.80625
MSC10,MSC04,mixed,0.865
MSC10,MSC04,motor,0.9899999999999999
MSC10,MSC04,mem,0.9000000000000001
MSC10,MSC05,mixed,0.725
MSC10,MSC05,motor,0.8300000000000001
MSC10,MSC05,mem,0.9049999999999999
MSC10,MSC06,mixed,0.8150000000000001
MSC10,MSC06,motor,0.6611111111111111
MSC10,MSC06,mem,0.9499999999999998
MSC10,MSC07,mixed,0.6900000000000001
MSC10,MSC07,motor,0.9055555555555557
MSC10,MSC07,mem,0.7799999999999999
