train_task,test_task,sub,acc
mixed,motor,MSC01,0.52
mixed,mem,MSC01,0.5349999999999999
motor,mixed,MSC01,0.74
motor,mem,MSC01,0.7350000000000001
mem,mixed,MSC01,0.78
mem,motor,MSC01,0.75
mixed,motor,MSC02,0.68
mixed,mem,MSC02,0.6950000000000001
motor,mixed,MSC02,0.65
motor,mem,MSC02,0.585
mem,mixed,MSC02,0.7499999999999998
mem,motor,MSC02,0.6100000000000001
mixed,motor,MSC03,0.7900000000000001
mixed,mem,MSC03,0.7125
motor,mixed,MSC03,0.6849999999999999
motor,mem,MSC03,0.7125
mem,mixed,MSC03,0.5562499999999999
mem,motor,MSC03,0.60625
mixed,motor,MSC04,0.6500000000000001
mixed,mem,MSC04,0.8550000000000001
motor,mixed,MSC04,0.6749999999999999
motor,mem,MSC04,0.6799999999999999
mem,mixed,MSC04,0.945
mem,motor,MSC04,0.72
mixed,motor,MSC05,0.64
mixed,mem,MSC05,0.885
motor,mixed,MSC05,0.575
motor,mem,MSC05,0.8
mem,mixed,MSC05,0.6950000000000001
mem,motor,MSC05,0.73
mixed,motor,MSC06,0.6444444444444445
mixed,mem,MSC06,0.7
motor,mixed,MSC06,0.5277777777777779
motor,mem,MSC06,0.4833333333333334
mem,mixed,MSC06,0.6700000000000002
mem,motor,MSC06,0.5222222222222223
mixed,motor,MSC07,0.47777777777777775
mixed,mem,MSC07,0.4699999999999999
motor,mixed,MSC07,0.30000000000000004
motor,mem,MSC07,0.29444444444444445
mem,mixed,MSC07,0.425
mem,motor,MSC07,0.4444444444444445
mixed,motor,MSC10,0.76
mixed,mem,MSC10,0.8249999999999998
motor,mixed,MSC10,0.7199999999999999
motor,mem,MSC10,0.7049999999999998
mem,mixed,MSC10,0.78
mem,motor,MSC10,0.7650000000000001
