,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.5
1,MSC01,MSC02,motor,0.5
2,MSC01,MSC02,mem,0.5
3,MSC01,MSC03,mixed,0.5
4,MSC01,MSC03,motor,0.5
5,MSC01,MSC03,mem,0.5
6,MSC01,MSC04,mixed,0.5
7,MSC01,MSC04,motor,0.5
8,MSC01,MSC04,mem,0.5
9,MSC01,MSC05,mixed,0.5
10,MSC01,MSC05,motor,0.515
11,MSC01,MSC05,mem,0.5349999999999999
12,MSC01,MSC06,mixed,0.5
13,MSC01,MSC06,motor,0.5111111111111111
14,MSC01,MSC06,mem,0.505
15,MSC01,MSC07,mixed,0.5
16,MSC01,MSC07,motor,0.75
17,MSC01,MSC07,mem,0.5
18,MSC01,MSC10,mixed,0.5
19,MSC01,MSC10,motor,0.45500000000000007
20,MSC01,MSC10,mem,0.515
21,MSC02,MSC01,mixed,0.5599999999999998
22,MSC02,MSC01,motor,0.5
23,MSC02,MSC01,mem,0.8499999999999999
24,MSC02,MSC03,mixed,0.5549999999999999
25,MSC02,MSC03,motor,0.5
26,MSC02,MSC03,mem,0.875
27,MSC02,MSC04,mixed,0.5549999999999999
28,MSC02,MSC04,motor,0.5
29,MSC02,MSC04,mem,0.875
30,MSC02,MSC05,mixed,0.6399999999999999
31,MSC02,MSC05,motor,0.5
32,MSC02,MSC05,mem,0.975
33,MSC02,MSC06,mixed,0.6400000000000001
34,MSC02,MSC06,motor,0.5
35,MSC02,MSC06,mem,0.82
36,MSC02,MSC07,mixed,0.8400000000000001
37,MSC02,MSC07,motor,0.5
38,MSC02,MSC07,mem,0.9550000000000001
39,MSC02,MSC10,mixed,0.565
40,MSC02,MSC10,motor,0.5
41,MSC02,MSC10,mem,0.875
42,MSC03,MSC01,mixed,0.565
43,MSC03,MSC01,motor,0.9
44,MSC03,MSC01,mem,0.6124999999999999
45,MSC03,MSC02,mixed,0.705
46,MSC03,MSC02,motor,0.6049999999999999
47,MSC03,MSC02,mem,0.6375
48,MSC03,MSC04,mixed,0.8499999999999999
49,MSC03,MSC04,motor,0.9400000000000001
50,MSC03,MSC04,mem,0.7499999999999999
51,MSC03,MSC05,mixed,0.845
52,MSC03,MSC05,motor,0.905
53,MSC03,MSC05,mem,0.8937500000000002
54,MSC03,MSC06,mixed,0.53
55,MSC03,MSC06,motor,0.8222222222222222
56,MSC03,MSC06,mem,0.625
57,MSC03,MSC07,mixed,0.7550000000000001
58,MSC03,MSC07,motor,0.8333333333333333
59,MSC03,MSC07,mem,0.64375
60,MSC03,MSC10,mixed,0.5599999999999999
61,MSC03,MSC10,motor,0.8549999999999999
62,MSC03,MSC10,mem,0.70625
63,MSC04,MSC01,mixed,0.525
64,MSC04,MSC01,motor,0.6950000000000001
65,MSC04,MSC01,mem,0.505
66,MSC04,MSC02,mixed,0.575
67,MSC04,MSC02,motor,0.7999999999999999
68,MSC04,MSC02,mem,0.8700000000000001
69,MSC04,MSC03,mixed,0.8099999999999998
70,MSC04,MSC03,motor,0.9200000000000002
71,MSC04,MSC03,mem,0.81875
72,MSC04,MSC05,mixed,0.8299999999999998
73,MSC04,MSC05,motor,0.8499999999999999
74,MSC04,MSC05,mem,0.9600000000000002
75,MSC04,MSC06,mixed,0.825
76,MSC04,MSC06,motor,0.7666666666666666
77,MSC04,MSC06,mem,0.875
78,MSC04,MSC07,mixed,0.745
79,MSC04,MSC07,motor,0.9388888888888889
80,MSC04,MSC07,mem,0.76
81,MSC04,MSC10,mixed,0.905
82,MSC04,MSC10,motor,0.95
83,MSC04,MSC10,mem,0.915
84,MSC05,MSC01,mixed,0.495
85,MSC05,MSC01,motor,0.8149999999999998
86,MSC05,MSC01,mem,0.6549999999999999
87,MSC05,MSC02,mixed,0.505
88,MSC05,MSC02,motor,0.685
89,MSC05,MSC02,mem,0.53
90,MSC05,MSC03,mixed,0.7899999999999998
91,MSC05,MSC03,motor,0.9349999999999999
92,MSC05,MSC03,mem,0.79375
93,MSC05,MSC04,mixed,0.6450000000000001
94,MSC05,MSC04,motor,0.925
95,MSC05,MSC04,mem,0.7250000000000001
96,MSC05,MSC06,mixed,0.74
97,MSC05,MSC06,motor,0.6777777777777778
98,MSC05,MSC06,mem,0.8350000000000002
99,MSC05,MSC07,mixed,0.625
100,MSC05,MSC07,motor,0.85
101,MSC05,MSC07,mem,0.74
102,MSC05,MSC10,mixed,0.72
103,MSC05,MSC10,motor,0.745
104,MSC05,MSC10,mem,0.8150000000000001
105,MSC06,MSC01,mixed,0.6549999999999999
106,MSC06,MSC01,motor,0.55
107,MSC06,MSC01,mem,0.72
108,MSC06,MSC02,mixed,0.5199999999999999
109,MSC06,MSC02,motor,0.5
110,MSC06,MSC02,mem,0.66
111,MSC06,MSC03,mixed,0.505
112,MSC06,MSC03,motor,0.5944444444444444
113,MSC06,MSC03,mem,0.71875
114,MSC06,MSC04,mixed,0.7899999999999999
115,MSC06,MSC04,motor,0.7777777777777778
116,MSC06,MSC04,mem,0.79
117,MSC06,MSC05,mixed,0.635
118,MSC06,MSC05,motor,0.6055555555555555
119,MSC06,MSC05,mem,0.8800000000000001
120,MSC06,MSC07,mixed,0.8
121,MSC06,MSC07,motor,0.9320987654320988
122,MSC06,MSC07,mem,0.7849999999999999
123,MSC06,MSC10,mixed,0.65
124,MSC06,MSC10,motor,0.7055555555555556
125,MSC06,MSC10,mem,0.885
126,MSC07,MSC01,mixed,0.975
127,MSC07,MSC01,motor,0.8166666666666667
128,MSC07,MSC01,mem,0.655
129,MSC07,MSC02,mixed,0.9899999999999999
130,MSC07,MSC02,motor,0.8444444444444443
131,MSC07,MSC02,mem,0.5999999999999999
132,MSC07,MSC03,mixed,0.64
133,MSC07,MSC03,motor,0.8611111111111112
134,MSC07,MSC03,mem,0.66875
135,MSC07,MSC04,mixed,0.9800000000000001
136,MSC07,MSC04,motor,0.9444444444444444
137,MSC07,MSC04,mem,0.8950000000000001
138,MSC07,MSC05,mixed,0.7350000000000001
139,MSC07,MSC05,motor,0.8777777777777778
140,MSC07,MSC05,mem,0.505
141,MSC07,MSC06,mixed,0.8550000000000001
142,MSC07,MSC06,motor,0.7901234567901234
143,MSC07,MSC06,mem,0.79
144,MSC07,MSC10,mixed,0.8800000000000002
145,MSC07,MSC10,motor,0.8944444444444445
146,MSC07,MSC10,mem,0.6749999999999999
147,MSC10,MSC01,mixed,0.575
148,MSC10,MSC01,motor,0.6950000000000001
149,MSC10,MSC01,mem,0.72
150,MSC10,MSC02,mixed,0.665
151,MSC10,MSC02,motor,0.5650000000000001
152,MSC10,MSC02,mem,0.825
153,MSC10,MSC03,mixed,0.5
154,MSC10,MSC03,motor,0.72
155,MSC10,MSC03,mem,0.65625
156,MSC10,MSC04,mixed,0.7999999999999999
157,MSC10,MSC04,motor,0.925
158,MSC10,MSC04,mem,0.8499999999999999
159,MSC10,MSC05,mixed,0.62
160,MSC10,MSC05,motor,0.805
161,MSC10,MSC05,mem,0.795
162,MSC10,MSC06,mixed,0.5
163,MSC10,MSC06,motor,0.6833333333333333
164,MSC10,MSC06,mem,0.655
165,MSC10,MSC07,mixed,0.67
166,MSC10,MSC07,motor,0.8555555555555555
167,MSC10,MSC07,mem,0.9149999999999998
