,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.5299999999999999
1,MSC01,MSC02,motor,0.5499999999999999
2,MSC01,MSC02,mem,0.305
3,MSC01,MSC03,mixed,0.64
4,MSC01,MSC03,motor,0.54
5,MSC01,MSC03,mem,0.29375
6,MSC01,MSC04,mixed,0.7100000000000001
7,MSC01,MSC04,motor,0.5700000000000001
8,MSC01,MSC04,mem,0.5499999999999999
9,MSC01,MSC05,mixed,0.5449999999999999
10,MSC01,MSC05,motor,0.5
11,MSC01,MSC05,mem,0.5
12,MSC01,MSC06,mixed,0.7150000000000001
13,MSC01,MSC06,motor,0.7222222222222222
14,MSC01,MSC06,mem,0.5349999999999999
15,MSC01,MSC07,mixed,0.5599999999999999
16,MSC01,MSC07,motor,0.711111111111111
17,MSC01,MSC07,mem,0.425
18,MSC01,MSC10,mixed,0.6500000000000001
19,MSC01,MSC10,motor,0.565
20,MSC01,MSC10,mem,0.595
21,MSC02,MSC01,mixed,0.78
22,MSC02,MSC01,motor,0.6900000000000002
23,MSC02,MSC01,mem,0.37499999999999994
24,MSC02,MSC03,mixed,0.5
25,MSC02,MSC03,motor,0.53
26,MSC02,MSC03,mem,0.675
27,MSC02,MSC04,mixed,0.735
28,MSC02,MSC04,motor,0.49499999999999994
29,MSC02,MSC04,mem,0.49000000000000005
30,MSC02,MSC05,mixed,0.5799999999999998
31,MSC02,MSC05,motor,0.585
32,MSC02,MSC05,mem,0.5
33,MSC02,MSC06,mixed,0.5900000000000001
34,MSC02,MSC06,motor,0.5111111111111112
35,MSC02,MSC06,mem,0.45500000000000007
36,MSC02,MSC07,mixed,0.535
37,MSC02,MSC07,motor,0.5666666666666667
38,MSC02,MSC07,mem,0.495
39,MSC02,MSC10,mixed,0.53
40,MSC02,MSC10,motor,0.505
41,MSC02,MSC10,mem,0.45000000000000007
42,MSC03,MSC01,mixed,0.7350000000000001
43,MSC03,MSC01,motor,0.68
44,MSC03,MSC01,mem,0.29375
45,MSC03,MSC02,mixed,0.655
46,MSC03,MSC02,motor,0.33999999999999997
47,MSC03,MSC02,mem,0.5875
48,MSC03,MSC04,mixed,0.55
49,MSC03,MSC04,motor,0.52
50,MSC03,MSC04,mem,0.45625000000000004
51,MSC03,MSC05,mixed,0.5
52,MSC03,MSC05,motor,0.515
53,MSC03,MSC05,mem,0.46875000000000006
54,MSC03,MSC06,mixed,0.5
55,MSC03,MSC06,motor,0.5666666666666667
56,MSC03,MSC06,mem,0.4375
57,MSC03,MSC07,mixed,0.5199999999999999
58,MSC03,MSC07,motor,0.6277777777777779
59,MSC03,MSC07,mem,0.48125
60,MSC03,MSC10,mixed,0.5449999999999999
