,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.905
1,mixed,mem,MSC01,0.755
2,motor,mixed,MSC01,0.9400000000000001
3,motor,mem,MSC01,0.6900000000000002
4,mem,mixed,MSC01,0.8550000000000001
5,mem,motor,MSC01,0.8350000000000002
6,mixed,motor,MSC02,0.6599999999999999
7,mixed,mem,MSC02,0.6599999999999999
8,motor,mixed,MSC02,0.9000000000000001
9,motor,mem,MSC02,0.7549999999999998
10,mem,mixed,MSC02,0.8
11,mem,motor,MSC02,0.72
12,mixed,motor,MSC03,0.7249999999999999
13,mixed,mem,MSC03,0.5
14,motor,mixed,MSC03,0.77
15,motor,mem,MSC03,0.6125
16,mem,mixed,MSC03,0.48124999999999996
17,mem,motor,MSC03,0.6000000000000001
18,mixed,motor,MSC04,0.7649999999999999
19,mixed,mem,MSC04,0.5499999999999999
20,motor,mixed,MSC04,0.95
21,motor,mem,MSC04,0.6400000000000001
22,mem,mixed,MSC04,0.8400000000000001
23,mem,motor,MSC04,0.7950000000000002
24,mixed,motor,MSC05,0.575
25,mixed,mem,MSC05,0.53
26,motor,mixed,MSC05,0.6300000000000001
27,motor,mem,MSC05,0.515
28,mem,mixed,MSC05,0.575
29,mem,motor,MSC05,0.585
30,mixed,motor,MSC06,0.8388888888888889
31,mixed,mem,MSC06,0.55
32,motor,mixed,MSC06,0.6833333333333332
33,motor,mem,MSC06,0.5944444444444446
34,mem,mixed,MSC06,0.7299999999999999
35,mem,motor,MSC06,0.8333333333333334
36,mixed,motor,MSC07,0.8444444444444444
37,mixed,mem,MSC07,0.45499999999999996
38,motor,mixed,MSC07,0.6222222222222222
39,motor,mem,MSC07,0.46111111111111114
40,mem,mixed,MSC07,0.385
41,mem,motor,MSC07,0.42777777777777776
42,mixed,motor,MSC10,0.5400000000000001
43,mixed,mem,MSC10,0.67
44,motor,mixed,MSC10,0.57
45,motor,mem,MSC10,0.605
46,mem,mixed,MSC10,0.635
47,mem,motor,MSC10,0.495
