,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.5
1,mixed,mem,MSC01,MSC02,0.4
2,motor,mixed,MSC01,MSC02,0.53
3,motor,mem,MSC01,MSC02,0.49000000000000005
4,mem,mixed,MSC01,MSC02,0.6050000000000001
5,mem,motor,MSC01,MSC02,0.5249999999999999
6,mixed,motor,MSC01,MSC03,0.475
7,mixed,mem,MSC01,MSC03,0.44375
8,motor,mixed,MSC01,MSC03,0.74
9,motor,mem,MSC01,MSC03,0.71875
10,mem,mixed,MSC01,MSC03,0.5549999999999999
11,mem,motor,MSC01,MSC03,0.485
12,mixed,motor,MSC01,MSC04,0.5199999999999999
13,mixed,mem,MSC01,MSC04,0.6300000000000001
14,motor,mixed,MSC01,MSC04,0.4699999999999999
15,motor,mem,MSC01,MSC04,0.5950000000000001
16,mem,mixed,MSC01,MSC04,0.5249999999999999
17,mem,motor,MSC01,MSC04,0.6050000000000001
18,mixed,motor,MSC01,MSC05,0.505
19,mixed,mem,MSC01,MSC05,0.665
20,motor,mixed,MSC01,MSC05,0.53
21,motor,mem,MSC01,MSC05,0.505
22,mem,mixed,MSC01,MSC05,0.675
23,mem,motor,MSC01,MSC05,0.49000000000000005
24,mixed,motor,MSC01,MSC06,0.42777777777777776
25,mixed,mem,MSC01,MSC06,0.7
26,motor,mixed,MSC01,MSC06,0.57
27,motor,mem,MSC01,MSC06,0.51
28,mem,mixed,MSC01,MSC06,0.45
29,mem,motor,MSC01,MSC06,0.4833333333333333
30,mixed,motor,MSC01,MSC07,0.55
31,mixed,mem,MSC01,MSC07,0.42000000000000004
32,motor,mixed,MSC01,MSC07,0.615
33,motor,mem,MSC01,MSC07,0.41500000000000004
34,mem,mixed,MSC01,MSC07,0.565
35,mem,motor,MSC01,MSC07,0.5388888888888889
36,mixed,motor,MSC01,MSC10,0.585
37,mixed,mem,MSC01,MSC10,0.55
38,motor,mixed,MSC01,MSC10,0.575
39,motor,mem,MSC01,MSC10,0.5499999999999999
40,mem,mixed,MSC01,MSC10,0.48
41,mem,motor,MSC01,MSC10,0.54
42,mixed,motor,MSC02,MSC01,0.5399999999999999
43,mixed,mem,MSC02,MSC01,0.5549999999999999
44,motor,mixed,MSC02,MSC01,0.51
45,motor,mem,MSC02,MSC01,0.43
46,mem,mixed,MSC02,MSC01,0.48
47,mem,motor,MSC02,MSC01,0.51
