,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.43000000000000005
1,mixed,mem,MSC01,MSC02,0.5599999999999998
2,motor,mixed,MSC01,MSC02,0.65
3,motor,mem,MSC01,MSC02,0.645
4,mem,mixed,MSC01,MSC02,0.5449999999999999
5,mem,motor,MSC01,MSC02,0.34500000000000003
6,mixed,motor,MSC01,MSC03,0.5
7,mixed,mem,MSC01,MSC03,0.5
8,motor,mixed,MSC01,MSC03,0.545
9,motor,mem,MSC01,MSC03,0.34375
10,mem,mixed,MSC01,MSC03,0.4
11,mem,motor,MSC01,MSC03,0.22500000000000003
12,mixed,motor,MSC01,MSC04,0.5
13,mixed,mem,MSC01,MSC04,0.55
14,motor,mixed,MSC01,MSC04,0.6850000000000002
15,motor,mem,MSC01,MSC04,0.6950000000000001
16,mem,mixed,MSC01,MSC04,0.6950000000000001
17,mem,motor,MSC01,MSC04,0.45000000000000007
18,mixed,motor,MSC01,MSC05,0.4450000000000001
19,mixed,mem,MSC01,MSC05,0.8149999999999998
20,motor,mixed,MSC01,MSC05,0.615
21,motor,mem,MSC01,MSC05,0.635
22,mem,mixed,MSC01,MSC05,0.5850000000000001
23,mem,motor,MSC01,MSC05,0.30000000000000004
24,mixed,motor,MSC01,MSC06,0.5055555555555555
25,mixed,mem,MSC01,MSC06,0.725
26,motor,mixed,MSC01,MSC06,0.635
27,motor,mem,MSC01,MSC06,0.725
28,mem,mixed,MSC01,MSC06,0.6699999999999999
29,mem,motor,MSC01,MSC06,0.5833333333333333
30,mixed,motor,MSC01,MSC07,0.41666666666666663
31,mixed,mem,MSC01,MSC07,0.6249999999999999
32,motor,mixed,MSC01,MSC07,0.5
33,motor,mem,MSC01,MSC07,0.5
34,mem,mixed,MSC01,MSC07,0.5
35,mem,motor,MSC01,MSC07,0.20555555555555555
36,mixed,motor,MSC01,MSC10,0.5199999999999999
37,mixed,mem,MSC01,MSC10,0.8549999999999999
38,motor,mixed,MSC01,MSC10,0.39999999999999997
39,motor,mem,MSC01,MSC10,0.5399999999999999
40,mem,mixed,MSC01,MSC10,0.44000000000000006
41,mem,motor,MSC01,MSC10,0.1
42,mixed,motor,MSC02,MSC01,0.5899999999999999
43,mixed,mem,MSC02,MSC01,0.625
44,motor,mixed,MSC02,MSC01,0.5
45,motor,mem,MSC02,MSC01,0.5
46,mem,mixed,MSC02,MSC01,0.525
47,mem,motor,MSC02,MSC01,0.715
48,mixed,motor,MSC02,MSC03,0.495
49,mixed,mem,MSC02,MSC03,0.51875
50,motor,mixed,MSC02,MSC03,0.5
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.515
53,mem,motor,MSC02,MSC03,0.5549999999999999
54,mixed,motor,MSC02,MSC04,0.55
55,mixed,mem,MSC02,MSC04,0.505
56,motor,mixed,MSC02,MSC04,0.5
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.565
59,mem,motor,MSC02,MSC04,0.64
60,mixed,motor,MSC02,MSC05,0.7900000000000001
61,mixed,mem,MSC02,MSC05,0.53
62,motor,mixed,MSC02,MSC05,0.5
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.625
65,mem,motor,MSC02,MSC05,0.7300000000000001
66,mixed,motor,MSC02,MSC06,0.5833333333333334
67,mixed,mem,MSC02,MSC06,0.55
68,motor,mixed,MSC02,MSC06,0.5
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.5
71,mem,motor,MSC02,MSC06,0.5833333333333334
72,mixed,motor,MSC02,MSC07,0.5777777777777778
73,mixed,mem,MSC02,MSC07,0.61
74,motor,mixed,MSC02,MSC07,0.5
75,motor,mem,MSC02,MSC07,0.5
76,mem,mixed,MSC02,MSC07,0.565
77,mem,motor,MSC02,MSC07,0.6444444444444445
78,mixed,motor,MSC02,MSC10,0.49000000000000005
79,mixed,mem,MSC02,MSC10,0.5349999999999999
80,motor,mixed,MSC02,MSC10,0.5199999999999999
81,motor,mem,MSC02,MSC10,0.495
82,mem,mixed,MSC02,MSC10,0.725
83,mem,motor,MSC02,MSC10,0.705
84,mixed,motor,MSC03,MSC01,0.39999999999999997
85,mixed,mem,MSC03,MSC01,0.36
86,motor,mixed,MSC03,MSC01,0.355
87,motor,mem,MSC03,MSC01,0.215
88,mem,mixed,MSC03,MSC01,0.36875
89,mem,motor,MSC03,MSC01,0.375
90,mixed,motor,MSC03,MSC02,0.875
91,mixed,mem,MSC03,MSC02,0.6399999999999999
92,motor,mixed,MSC03,MSC02,0.425
93,motor,mem,MSC03,MSC02,0.46499999999999997
94,mem,mixed,MSC03,MSC02,0.525
95,mem,motor,MSC03,MSC02,0.6625
96,mixed,motor,MSC03,MSC04,0.6599999999999999
97,mixed,mem,MSC03,MSC04,0.6950000000000001
98,motor,mixed,MSC03,MSC04,0.45000000000000007
99,motor,mem,MSC03,MSC04,0.495
100,mem,mixed,MSC03,MSC04,0.34375
101,mem,motor,MSC03,MSC04,0.44375
102,mixed,motor,MSC03,MSC05,0.925
103,mixed,mem,MSC03,MSC05,0.9149999999999998
104,motor,mixed,MSC03,MSC05,0.58
105,motor,mem,MSC03,MSC05,0.71
106,mem,mixed,MSC03,MSC05,0.5499999999999999
107,mem,motor,MSC03,MSC05,0.83125
108,mixed,motor,MSC03,MSC06,0.6222222222222221
109,mixed,mem,MSC03,MSC06,0.7050000000000001
110,motor,mixed,MSC03,MSC06,0.49000000000000005
111,motor,mem,MSC03,MSC06,0.5
112,mem,mixed,MSC03,MSC06,0.47500000000000003
113,mem,motor,MSC03,MSC06,0.7361111111111112
114,mixed,motor,MSC03,MSC07,0.8111111111111111
115,mixed,mem,MSC03,MSC07,0.5
116,motor,mixed,MSC03,MSC07,0.5
117,motor,mem,MSC03,MSC07,0.5
118,mem,mixed,MSC03,MSC07,0.5
119,mem,motor,MSC03,MSC07,0.7430555555555556
120,mixed,motor,MSC03,MSC10,0.6950000000000001
121,mixed,mem,MSC03,MSC10,0.675
122,motor,mixed,MSC03,MSC10,0.7000000000000001
123,motor,mem,MSC03,MSC10,0.6300000000000001
124,mem,mixed,MSC03,MSC10,0.6125
125,mem,motor,MSC03,MSC10,0.74375
126,mixed,motor,MSC04,MSC01,0.655
127,mixed,mem,MSC04,MSC01,0.6449999999999998
128,motor,mixed,MSC04,MSC01,0.495
129,motor,mem,MSC04,MSC01,0.47000000000000003
130,mem,mixed,MSC04,MSC01,0.7350000000000001
131,mem,motor,MSC04,MSC01,0.565
132,mixed,motor,MSC04,MSC02,0.505
133,mixed,mem,MSC04,MSC02,0.73
134,motor,mixed,MSC04,MSC02,0.5
135,motor,mem,MSC04,MSC02,0.5599999999999999
136,mem,mixed,MSC04,MSC02,0.615
137,mem,motor,MSC04,MSC02,0.495
138,mixed,motor,MSC04,MSC03,0.43
139,mixed,mem,MSC04,MSC03,0.15625
140,motor,mixed,MSC04,MSC03,0.5
141,motor,mem,MSC04,MSC03,0.55
142,mem,mixed,MSC04,MSC03,0.65
143,mem,motor,MSC04,MSC03,0.5850000000000001
144,mixed,motor,MSC04,MSC05,0.63
145,mixed,mem,MSC04,MSC05,0.635
146,motor,mixed,MSC04,MSC05,0.5
147,motor,mem,MSC04,MSC05,0.505
148,mem,mixed,MSC04,MSC05,0.8
149,mem,motor,MSC04,MSC05,0.6499999999999999
150,mixed,motor,MSC04,MSC06,0.7277777777777779
151,mixed,mem,MSC04,MSC06,0.735
152,motor,mixed,MSC04,MSC06,0.5549999999999999
153,motor,mem,MSC04,MSC06,0.505
154,mem,mixed,MSC04,MSC06,0.76
155,mem,motor,MSC04,MSC06,0.7277777777777779
156,mixed,motor,MSC04,MSC07,0.21666666666666665
157,mixed,mem,MSC04,MSC07,0.545
158,motor,mixed,MSC04,MSC07,0.5
159,motor,mem,MSC04,MSC07,0.5
160,mem,mixed,MSC04,MSC07,0.515
161,mem,motor,MSC04,MSC07,0.5
162,mixed,motor,MSC04,MSC10,0.32
163,mixed,mem,MSC04,MSC10,0.655
164,motor,mixed,MSC04,MSC10,0.625
165,motor,mem,MSC04,MSC10,0.635
166,mem,mixed,MSC04,MSC10,0.8149999999999998
167,mem,motor,MSC04,MSC10,0.685
168,mixed,motor,MSC05,MSC01,0.45000000000000007
169,mixed,mem,MSC05,MSC01,0.5
170,motor,mixed,MSC05,MSC01,0.41500000000000004
171,motor,mem,MSC05,MSC01,0.385
172,mem,mixed,MSC05,MSC01,0.505
173,mem,motor,MSC05,MSC01,0.4400000000000001
174,mixed,motor,MSC05,MSC02,0.5499999999999999
175,mixed,mem,MSC05,MSC02,0.5499999999999999
176,motor,mixed,MSC05,MSC02,0.6449999999999999
177,motor,mem,MSC05,MSC02,0.6049999999999999
178,mem,mixed,MSC05,MSC02,0.445
179,mem,motor,MSC05,MSC02,0.42000000000000004
180,mixed,motor,MSC05,MSC03,0.805
181,mixed,mem,MSC05,MSC03,0.6
