,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.655
1,MSC01,MSC02,motor,0.655
2,MSC01,MSC02,mem,0.5449999999999999
3,MSC01,MSC03,mixed,0.5199999999999999
4,MSC01,MSC03,motor,0.555
5,MSC01,MSC03,mem,0.275
6,MSC01,MSC04,mixed,0.5299999999999999
7,MSC01,MSC04,motor,0.6950000000000001
8,MSC01,MSC04,mem,0.5700000000000001
9,MSC01,MSC05,mixed,0.755
10,MSC01,MSC05,motor,0.5649999999999998
11,MSC01,MSC05,mem,0.64
12,MSC01,MSC06,mixed,0.61
13,MSC01,MSC06,motor,0.75
14,MSC01,MSC06,mem,0.6799999999999999
15,MSC01,MSC07,mixed,0.6799999999999999
16,MSC01,MSC07,motor,0.4722222222222222
17,MSC01,MSC07,mem,0.5
18,MSC01,MSC10,mixed,0.6049999999999999
19,MSC01,MSC10,motor,0.5149999999999999
20,MSC01,MSC10,mem,0.4800000000000001
21,MSC02,MSC01,mixed,0.585
22,MSC02,MSC01,motor,0.75
23,MSC02,MSC01,mem,0.575
24,MSC02,MSC03,mixed,0.5449999999999999
25,MSC02,MSC03,motor,0.7999999999999999
26,MSC02,MSC03,mem,0.6625
27,MSC02,MSC04,mixed,0.525
28,MSC02,MSC04,motor,0.915
29,MSC02,MSC04,mem,0.6000000000000001
30,MSC02,MSC05,mixed,0.5249999999999999
31,MSC02,MSC05,motor,0.975
32,MSC02,MSC05,mem,0.6850000000000002
33,MSC02,MSC06,mixed,0.5549999999999999
34,MSC02,MSC06,motor,0.6944444444444445
35,MSC02,MSC06,mem,0.675
36,MSC02,MSC07,mixed,0.5399999999999999
37,MSC02,MSC07,motor,0.75
38,MSC02,MSC07,mem,0.5499999999999999
39,MSC02,MSC10,mixed,0.57
40,MSC02,MSC10,motor,0.75
41,MSC02,MSC10,mem,0.73
42,MSC03,MSC01,mixed,0.41
43,MSC03,MSC01,motor,0.445
44,MSC03,MSC01,mem,0.37500000000000006
45,MSC03,MSC02,mixed,0.595
46,MSC03,MSC02,motor,0.89
47,MSC03,MSC02,mem,0.6875
48,MSC03,MSC04,mixed,0.4950000000000001
49,MSC03,MSC04,motor,0.7899999999999999
50,MSC03,MSC04,mem,0.48750000000000004
51,MSC03,MSC05,mixed,0.865
52,MSC03,MSC05,motor,0.9549999999999998
53,MSC03,MSC05,mem,0.7749999999999999
54,MSC03,MSC06,mixed,0.6399999999999999
55,MSC03,MSC06,motor,0.7111111111111111
56,MSC03,MSC06,mem,0.6125
57,MSC03,MSC07,mixed,0.5
58,MSC03,MSC07,motor,0.7777777777777778
59,MSC03,MSC07,mem,0.5
60,MSC03,MSC10,mixed,0.685
61,MSC03,MSC10,motor,0.8800000000000001
62,MSC03,MSC10,mem,0.5937499999999999
63,MSC04,MSC01,mixed,0.68
