,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.75
1,mixed,mem,MSC01,MSC02,0.745
2,motor,mixed,MSC01,MSC02,0.695
3,motor,mem,MSC01,MSC02,0.74
4,mem,mixed,MSC01,MSC02,0.44000000000000006
5,mem,motor,MSC01,MSC02,0.585
6,mixed,motor,MSC01,MSC03,0.565
7,mixed,mem,MSC01,MSC03,0.425
8,motor,mixed,MSC01,MSC03,0.6950000000000001
9,motor,mem,MSC01,MSC03,0.6875
10,mem,mixed,MSC01,MSC03,0.7150000000000001
11,mem,motor,MSC01,MSC03,0.7899999999999999
12,mixed,motor,MSC01,MSC04,0.835
13,mixed,mem,MSC01,MSC04,0.7300000000000001
14,motor,mixed,MSC01,MSC04,0.77
15,motor,mem,MSC01,MSC04,0.61
16,mem,mixed,MSC01,MSC04,0.8049999999999999
17,mem,motor,MSC01,MSC04,0.7899999999999999
18,mixed,motor,MSC01,MSC05,0.825
19,mixed,mem,MSC01,MSC05,0.7100000000000001
20,motor,mixed,MSC01,MSC05,0.575
21,motor,mem,MSC01,MSC05,0.6200000000000001
22,mem,mixed,MSC01,MSC05,0.835
23,mem,motor,MSC01,MSC05,0.86
24,mixed,motor,MSC01,MSC06,0.8111111111111109
25,mixed,mem,MSC01,MSC06,0.6300000000000001
26,motor,mixed,MSC01,MSC06,0.5499999999999999
27,motor,mem,MSC01,MSC06,0.67
28,mem,mixed,MSC01,MSC06,0.685
29,mem,motor,MSC01,MSC06,0.9
30,mixed,motor,MSC01,MSC07,0.561111111111111
31,mixed,mem,MSC01,MSC07,0.5599999999999999
32,motor,mixed,MSC01,MSC07,0.665
33,motor,mem,MSC01,MSC07,0.575
34,mem,mixed,MSC01,MSC07,0.605
35,mem,motor,MSC01,MSC07,0.6444444444444445
36,mixed,motor,MSC01,MSC10,0.655
37,mixed,mem,MSC01,MSC10,0.6049999999999999
38,motor,mixed,MSC01,MSC10,0.5849999999999999
39,motor,mem,MSC01,MSC10,0.61
40,mem,mixed,MSC01,MSC10,0.85
41,mem,motor,MSC01,MSC10,0.845
42,mixed,motor,MSC02,MSC01,0.6700000000000002
43,mixed,mem,MSC02,MSC01,0.555
44,motor,mixed,MSC02,MSC01,0.6399999999999999
45,motor,mem,MSC02,MSC01,0.5949999999999999
46,mem,mixed,MSC02,MSC01,0.8149999999999998
47,mem,motor,MSC02,MSC01,0.9100000000000001
48,mixed,motor,MSC02,MSC03,0.5549999999999999
49,mixed,mem,MSC02,MSC03,0.5
50,motor,mixed,MSC02,MSC03,0.5399999999999999
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.5349999999999999
53,mem,motor,MSC02,MSC03,0.7550000000000001
54,mixed,motor,MSC02,MSC04,0.535
55,mixed,mem,MSC02,MSC04,0.485
56,motor,mixed,MSC02,MSC04,0.5449999999999999
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.8400000000000001
59,mem,motor,MSC02,MSC04,0.8149999999999998
60,mixed,motor,MSC02,MSC05,0.495
61,mixed,mem,MSC02,MSC05,0.48
62,motor,mixed,MSC02,MSC05,0.5499999999999999
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.7499999999999999
65,mem,motor,MSC02,MSC05,0.845
66,mixed,motor,MSC02,MSC06,0.5
67,mixed,mem,MSC02,MSC06,0.5
68,motor,mixed,MSC02,MSC06,0.5
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.5449999999999999
71,mem,motor,MSC02,MSC06,0.6777777777777778
72,mixed,motor,MSC02,MSC07,0.3666666666666667
73,mixed,mem,MSC02,MSC07,0.46499999999999997
74,motor,mixed,MSC02,MSC07,0.505
75,motor,mem,MSC02,MSC07,0.5
76,mem,mixed,MSC02,MSC07,0.58
77,mem,motor,MSC02,MSC07,0.6777777777777778
78,mixed,motor,MSC02,MSC10,0.465
79,mixed,mem,MSC02,MSC10,0.41000000000000003
80,motor,mixed,MSC02,MSC10,0.5
81,motor,mem,MSC02,MSC10,0.5
82,mem,mixed,MSC02,MSC10,0.575
83,mem,motor,MSC02,MSC10,0.72
84,mixed,motor,MSC03,MSC01,0.5
85,mixed,mem,MSC03,MSC01,0.5
86,motor,mixed,MSC03,MSC01,0.5
87,motor,mem,MSC03,MSC01,0.5
88,mem,mixed,MSC03,MSC01,0.5
89,mem,motor,MSC03,MSC01,0.525
90,mixed,motor,MSC03,MSC02,0.5199999999999999
91,mixed,mem,MSC03,MSC02,0.5
92,motor,mixed,MSC03,MSC02,0.51
93,motor,mem,MSC03,MSC02,0.51
94,mem,mixed,MSC03,MSC02,0.44375
95,mem,motor,MSC03,MSC02,0.6
96,mixed,motor,MSC03,MSC04,0.61
97,mixed,mem,MSC03,MSC04,0.505
98,motor,mixed,MSC03,MSC04,0.565
99,motor,mem,MSC03,MSC04,0.51
100,mem,mixed,MSC03,MSC04,0.5
101,mem,motor,MSC03,MSC04,0.59375
102,mixed,motor,MSC03,MSC05,0.6450000000000001
103,mixed,mem,MSC03,MSC05,0.51
104,motor,mixed,MSC03,MSC05,0.5
105,motor,mem,MSC03,MSC05,0.54
106,mem,mixed,MSC03,MSC05,0.5562500000000001
107,mem,motor,MSC03,MSC05,0.6062500000000001
108,mixed,motor,MSC03,MSC06,0.5
109,mixed,mem,MSC03,MSC06,0.5
110,motor,mixed,MSC03,MSC06,0.5
111,motor,mem,MSC03,MSC06,0.5
112,mem,mixed,MSC03,MSC06,0.5499999999999999
113,mem,motor,MSC03,MSC06,0.5694444444444444
114,mixed,motor,MSC03,MSC07,0.5222222222222221
115,mixed,mem,MSC03,MSC07,0.505
116,motor,mixed,MSC03,MSC07,0.5
117,motor,mem,MSC03,MSC07,0.505
118,mem,mixed,MSC03,MSC07,0.49375
119,mem,motor,MSC03,MSC07,0.7430555555555556
120,mixed,motor,MSC03,MSC10,0.5700000000000001
121,mixed,mem,MSC03,MSC10,0.5149999999999999
122,motor,mixed,MSC03,MSC10,0.5
123,motor,mem,MSC03,MSC10,0.505
124,mem,mixed,MSC03,MSC10,0.5125
125,mem,motor,MSC03,MSC10,0.49375
126,mixed,motor,MSC04,MSC01,0.6900000000000001
127,mixed,mem,MSC04,MSC01,0.74
128,motor,mixed,MSC04,MSC01,0.7849999999999999
129,motor,mem,MSC04,MSC01,0.8299999999999998
130,mem,mixed,MSC04,MSC01,0.445
131,mem,motor,MSC04,MSC01,0.565
132,mixed,motor,MSC04,MSC02,0.5399999999999999
133,mixed,mem,MSC04,MSC02,0.5399999999999999
134,motor,mixed,MSC04,MSC02,0.655
135,motor,mem,MSC04,MSC02,0.86
136,mem,mixed,MSC04,MSC02,0.21500000000000002
137,mem,motor,MSC04,MSC02,0.425
138,mixed,motor,MSC04,MSC03,0.655
139,mixed,mem,MSC04,MSC03,0.63125
140,motor,mixed,MSC04,MSC03,0.595
141,motor,mem,MSC04,MSC03,0.80625
142,mem,mixed,MSC04,MSC03,0.585
143,mem,motor,MSC04,MSC03,0.7899999999999999
144,mixed,motor,MSC04,MSC05,0.8699999999999999
145,mixed,mem,MSC04,MSC05,0.96
146,motor,mixed,MSC04,MSC05,0.8700000000000001
147,motor,mem,MSC04,MSC05,0.875
148,mem,mixed,MSC04,MSC05,0.735
149,mem,motor,MSC04,MSC05,0.86
150,mixed,motor,MSC04,MSC06,0.7277777777777779
151,mixed,mem,MSC04,MSC06,0.755
152,motor,mixed,MSC04,MSC06,0.635
153,motor,mem,MSC04,MSC06,0.8249999999999998
154,mem,mixed,MSC04,MSC06,0.72
155,mem,motor,MSC04,MSC06,0.7833333333333333
156,mixed,motor,MSC04,MSC07,0.5277777777777778
157,mixed,mem,MSC04,MSC07,0.525
158,motor,mixed,MSC04,MSC07,0.6650000000000001
159,motor,mem,MSC04,MSC07,0.65
160,mem,mixed,MSC04,MSC07,0.5549999999999999
161,mem,motor,MSC04,MSC07,0.6888888888888889
162,mixed,motor,MSC04,MSC10,0.585
163,mixed,mem,MSC04,MSC10,0.585
164,motor,mixed,MSC04,MSC10,0.605
165,motor,mem,MSC04,MSC10,0.845
166,mem,mixed,MSC04,MSC10,0.7849999999999999
167,mem,motor,MSC04,MSC10,0.8549999999999999
168,mixed,motor,MSC05,MSC01,0.68
169,mixed,mem,MSC05,MSC01,0.68
170,motor,mixed,MSC05,MSC01,0.5
171,motor,mem,MSC05,MSC01,0.5
172,mem,mixed,MSC05,MSC01,0.865
173,mem,motor,MSC05,MSC01,0.9350000000000002
174,mixed,motor,MSC05,MSC02,0.67
175,mixed,mem,MSC05,MSC02,0.67
176,motor,mixed,MSC05,MSC02,0.5349999999999999
177,motor,mem,MSC05,MSC02,0.515
178,mem,mixed,MSC05,MSC02,0.505
179,mem,motor,MSC05,MSC02,0.505
180,mixed,motor,MSC05,MSC03,0.655
181,mixed,mem,MSC05,MSC03,0.6625
182,motor,mixed,MSC05,MSC03,0.655
183,motor,mem,MSC05,MSC03,0.5
184,mem,mixed,MSC05,MSC03,0.8149999999999998
185,mem,motor,MSC05,MSC03,0.8499999999999999
186,mixed,motor,MSC05,MSC04,0.8399999999999999
187,mixed,mem,MSC05,MSC04,0.8249999999999998
