,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.9649999999999999
1,mixed,mem,MSC01,0.76
2,motor,mixed,MSC01,0.89
3,motor,mem,MSC01,0.6450000000000001
4,mem,mixed,MSC01,0.845
5,mem,motor,MSC01,0.8699999999999999
6,mixed,motor,MSC02,0.7150000000000001
7,mixed,mem,MSC02,0.5499999999999999
8,motor,mixed,MSC02,0.505
9,motor,mem,MSC02,0.505
10,mem,mixed,MSC02,0.5249999999999999
11,mem,motor,MSC02,0.7799999999999999
12,mixed,motor,MSC03,0.9000000000000001
13,mixed,mem,MSC03,0.86875
14,motor,mixed,MSC03,0.5999999999999999
15,motor,mem,MSC03,0.65
16,mem,mixed,MSC03,0.5499999999999999
17,mem,motor,MSC03,0.5812499999999999
18,mixed,motor,MSC04,0.9549999999999998
19,mixed,mem,MSC04,0.9800000000000001
20,motor,mixed,MSC04,0.6249999999999999
21,motor,mem,MSC04,0.82
22,mem,mixed,MSC04,0.755
23,mem,motor,MSC04,0.8549999999999999
24,mixed,motor,MSC05,0.925
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.51
27,motor,mem,MSC05,0.6450000000000001
28,mem,mixed,MSC05,0.7200000000000001
29,mem,motor,MSC05,0.8900000000000002
30,mixed,motor,MSC06,0.9222222222222223
31,mixed,mem,MSC06,0.99
32,motor,mixed,MSC06,0.5555555555555555
33,motor,mem,MSC06,0.5944444444444444
34,mem,mixed,MSC06,0.595
35,mem,motor,MSC06,0.8444444444444444
36,mixed,motor,MSC07,0.7999999999999999
37,mixed,mem,MSC07,0.8099999999999999
38,motor,mixed,MSC07,0.5
39,motor,mem,MSC07,0.5
40,mem,mixed,MSC07,0.6100000000000001
41,mem,motor,MSC07,0.5555555555555556
42,mixed,motor,MSC10,0.7949999999999999
43,mixed,mem,MSC10,0.93
44,motor,mixed,MSC10,0.5
45,motor,mem,MSC10,0.6500000000000001
46,mem,mixed,MSC10,0.51
47,mem,motor,MSC10,0.7699999999999999
