,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.985
1,mixed,mem,MSC01,0.905
2,motor,mixed,MSC01,0.95
3,motor,mem,MSC01,0.755
4,mem,mixed,MSC01,0.95
5,mem,motor,MSC01,0.875
6,mixed,motor,MSC02,0.5800000000000002
7,mixed,mem,MSC02,0.745
8,motor,mixed,MSC02,0.5349999999999999
9,motor,mem,MSC02,0.5799999999999998
10,mem,mixed,MSC02,0.575
11,mem,motor,MSC02,0.5
12,mixed,motor,MSC03,0.8400000000000001
13,mixed,mem,MSC03,0.7875
14,motor,mixed,MSC03,0.71
15,motor,mem,MSC03,0.59375
16,mem,mixed,MSC03,0.60625
17,mem,motor,MSC03,0.65625
18,mixed,motor,MSC04,0.7
19,mixed,mem,MSC04,0.665
20,motor,mixed,MSC04,0.7499999999999999
21,motor,mem,MSC04,0.7499999999999999
22,mem,mixed,MSC04,0.67
23,mem,motor,MSC04,0.6500000000000001
24,mixed,motor,MSC05,0.8049999999999999
25,mixed,mem,MSC05,0.9
26,motor,mixed,MSC05,0.595
27,motor,mem,MSC05,0.8450000000000001
28,mem,mixed,MSC05,0.79
29,mem,motor,MSC05,0.7300000000000001
30,mixed,motor,MSC06,0.6888888888888889
31,mixed,mem,MSC06,0.7549999999999999
32,motor,mixed,MSC06,0.7111111111111111
33,motor,mem,MSC06,0.7555555555555555
34,mem,mixed,MSC06,0.655
35,mem,motor,MSC06,0.611111111111111
36,mixed,motor,MSC07,0.8166666666666667
37,mixed,mem,MSC07,0.8150000000000001
38,motor,mixed,MSC07,0.6722222222222223
39,motor,mem,MSC07,0.6555555555555556
40,mem,mixed,MSC07,0.6500000000000001
41,mem,motor,MSC07,0.6166666666666666
42,mixed,motor,MSC10,0.7600000000000001
43,mixed,mem,MSC10,0.74
44,motor,mixed,MSC10,0.7000000000000001
45,motor,mem,MSC10,0.74
46,mem,mixed,MSC10,0.715
47,mem,motor,MSC10,0.865
