MSC10,train,test
0.4,mixed,mem
0.9,mixed,mem
0.4,mixed,mem
0.4,mixed,mem
0.9,mixed,mem
0.9,mixed,mem
0.85,mixed,mem
0.9,mixed,mem
0.85,mixed,mem
0.9,mixed,mem
0.4,mixed,motor
0.9,mixed,motor
0.45,mixed,motor
0.45,mixed,motor
0.95,mixed,motor
0.9,mixed,motor
0.85,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.9,mixed,motor
0.85,mem,mixed
0.7,mem,mixed
0.85,mem,mixed
0.3,mem,mixed
0.7,mem,mixed
0.65,mem,mixed
0.75,mem,mixed
0.75,mem,mixed
0.8,mem,mixed
0.8,mem,mixed
0.95,mem,motor
0.9,mem,motor
0.95,mem,motor
0.4,mem,motor
0.9,mem,motor
0.85,mem,motor
0.9,mem,motor
0.9,mem,motor
0.95,mem,motor
0.95,mem,motor
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.7,motor,mixed
0.8,motor,mem
0.8,motor,mem
0.75,motor,mem
0.7,motor,mem
0.8,motor,mem
0.7,motor,mem
0.7,motor,mem
0.75,motor,mem
0.7,motor,mem
0.7,motor,mem
