,test_task,train_task,Mean,Std
0,glass,mem,0.7159821428571428,0.12858846872141874
1,glass,motor,0.6022321428571429,0.10142743786725969
2,glass,semantic,0.5539781746031747,0.08594008932869429
3,mem,glass,0.5759027777777777,0.11166254892151546
4,mem,motor,0.6187499999999998,0.11559431410993126
5,mem,semantic,0.565625,0.09907326260720582
6,motor,glass,0.5903670634920636,0.10019326312256883
7,motor,mem,0.7672321428571428,0.12043828915052925
8,motor,semantic,0.5491964285714286,0.08720288144589908
9,semantic,glass,0.590138888888889,0.09529758753922823
10,semantic,mem,0.7494642857142858,0.1072239736228821
11,semantic,motor,0.6129464285714288,0.11693734447330133
