train_task,test_task,train_sub,test_sub,acc
glass,semantic,MSC01,MSC02,0.675
glass,motor,MSC01,MSC02,0.5549999999999999
glass,mem,MSC01,MSC02,0.7849999999999999
semantic,glass,MSC01,MSC02,0.74
semantic,motor,MSC01,MSC02,0.465
semantic,mem,MSC01,MSC02,0.655
motor,glass,MSC01,MSC02,0.8150000000000001
motor,semantic,MSC01,MSC02,0.825
motor,mem,MSC01,MSC02,0.77
mem,glass,MSC01,MSC02,0.74
mem,semantic,MSC01,MSC02,0.72
mem,motor,MSC01,MSC02,0.655
glass,semantic,MSC01,MSC03,0.5149999999999999
glass,motor,MSC01,MSC03,0.5
glass,mem,MSC01,MSC03,0.6450000000000001
semantic,glass,MSC01,MSC03,0.505
semantic,motor,MSC01,MSC03,0.5
semantic,mem,MSC01,MSC03,0.6199999999999999
motor,glass,MSC01,MSC03,0.49000000000000005
motor,semantic,MSC01,MSC03,0.5349999999999999
motor,mem,MSC01,MSC03,0.6700000000000002
mem,glass,MSC01,MSC03,0.5050000000000001
mem,semantic,MSC01,MSC03,0.59
mem,motor,MSC01,MSC03,0.58
glass,semantic,MSC01,MSC04,0.545
glass,motor,MSC01,MSC04,0.7050000000000001
glass,mem,MSC01,MSC04,0.5449999999999999
semantic,glass,MSC01,MSC04,0.5449999999999999
semantic,motor,MSC01,MSC04,0.575
semantic,mem,MSC01,MSC04,0.5299999999999999
motor,glass,MSC01,MSC04,0.735
motor,semantic,MSC01,MSC04,0.6300000000000001
motor,mem,MSC01,MSC04,0.62
mem,glass,MSC01,MSC04,0.6400000000000001
mem,semantic,MSC01,MSC04,0.645
mem,motor,MSC01,MSC04,0.6599999999999999
glass,semantic,MSC01,MSC05,0.505
glass,motor,MSC01,MSC05,0.58
glass,mem,MSC01,MSC05,0.54
semantic,glass,MSC01,MSC05,0.575
semantic,motor,MSC01,MSC05,0.565
semantic,mem,MSC01,MSC05,0.5650000000000001
motor,glass,MSC01,MSC05,0.645
motor,semantic,MSC01,MSC05,0.5849999999999999
motor,mem,MSC01,MSC05,0.655
mem,glass,MSC01,MSC05,0.5349999999999999
mem,semantic,MSC01,MSC05,0.7049999999999998
mem,motor,MSC01,MSC05,0.645
glass,semantic,MSC01,MSC06,0.51
glass,motor,MSC01,MSC06,0.625
glass,mem,MSC01,MSC06,0.59
semantic,glass,MSC01,MSC06,0.5444444444444445
semantic,motor,MSC01,MSC06,0.665
semantic,mem,MSC01,MSC06,0.7
motor,glass,MSC01,MSC06,0.6777777777777778
motor,semantic,MSC01,MSC06,0.735
motor,mem,MSC01,MSC06,0.835
mem,glass,MSC01,MSC06,0.5499999999999999
mem,semantic,MSC01,MSC06,0.505
mem,motor,MSC01,MSC06,0.6049999999999999
glass,semantic,MSC01,MSC07,0.73
glass,motor,MSC01,MSC07,0.7150000000000001
glass,mem,MSC01,MSC07,0.6100000000000001
semantic,glass,MSC01,MSC07,0.8200000000000001
semantic,motor,MSC01,MSC07,0.75
semantic,mem,MSC01,MSC07,0.9100000000000001
motor,glass,MSC01,MSC07,0.85
motor,semantic,MSC01,MSC07,0.8399999999999999
motor,mem,MSC01,MSC07,0.82
mem,glass,MSC01,MSC07,0.7699999999999999
mem,semantic,MSC01,MSC07,0.8450000000000001
mem,motor,MSC01,MSC07,0.795
glass,semantic,MSC01,MSC10,0.7999999999999998
glass,motor,MSC01,MSC10,0.7749999999999999
glass,mem,MSC01,MSC10,0.73
semantic,glass,MSC01,MSC10,0.7
semantic,motor,MSC01,MSC10,0.6500000000000001
semantic,mem,MSC01,MSC10,0.78
motor,glass,MSC01,MSC10,0.6249999999999999
motor,semantic,MSC01,MSC10,0.49499999999999994
motor,mem,MSC01,MSC10,0.625
mem,glass,MSC01,MSC10,0.5999999999999999
mem,semantic,MSC01,MSC10,0.7100000000000001
mem,motor,MSC01,MSC10,0.7899999999999999
glass,semantic,MSC02,MSC01,0.505
glass,motor,MSC02,MSC01,0.5
glass,mem,MSC02,MSC01,0.5
semantic,glass,MSC02,MSC01,0.5
semantic,motor,MSC02,MSC01,0.5
semantic,mem,MSC02,MSC01,0.5
motor,glass,MSC02,MSC01,0.5
motor,semantic,MSC02,MSC01,0.5
motor,mem,MSC02,MSC01,0.5
mem,glass,MSC02,MSC01,0.7000000000000001
mem,semantic,MSC02,MSC01,0.7150000000000001
mem,motor,MSC02,MSC01,0.575
glass,semantic,MSC02,MSC03,0.51
glass,motor,MSC02,MSC03,0.5
glass,mem,MSC02,MSC03,0.5399999999999999
semantic,glass,MSC02,MSC03,0.5
semantic,motor,MSC02,MSC03,0.5
semantic,mem,MSC02,MSC03,0.5
motor,glass,MSC02,MSC03,0.6100000000000001
motor,semantic,MSC02,MSC03,0.5849999999999999
motor,mem,MSC02,MSC03,0.55
mem,glass,MSC02,MSC03,0.5
mem,semantic,MSC02,MSC03,0.75
mem,motor,MSC02,MSC03,0.6950000000000001
glass,semantic,MSC02,MSC04,0.51
glass,motor,MSC02,MSC04,0.5
glass,mem,MSC02,MSC04,0.5
semantic,glass,MSC02,MSC04,0.505
semantic,motor,MSC02,MSC04,0.5
semantic,mem,MSC02,MSC04,0.5
motor,glass,MSC02,MSC04,0.6100000000000001
motor,semantic,MSC02,MSC04,0.5
motor,mem,MSC02,MSC04,0.5
mem,glass,MSC02,MSC04,0.57
mem,semantic,MSC02,MSC04,0.7050000000000001
mem,motor,MSC02,MSC04,0.7
glass,semantic,MSC02,MSC05,0.525
glass,motor,MSC02,MSC05,0.5
glass,mem,MSC02,MSC05,0.5
semantic,glass,MSC02,MSC05,0.5549999999999999
semantic,motor,MSC02,MSC05,0.6300000000000001
semantic,mem,MSC02,MSC05,0.505
motor,glass,MSC02,MSC05,0.5499999999999999
motor,semantic,MSC02,MSC05,0.5449999999999999
motor,mem,MSC02,MSC05,0.5
mem,glass,MSC02,MSC05,0.8950000000000001
mem,semantic,MSC02,MSC05,0.885
mem,motor,MSC02,MSC05,0.7749999999999999
glass,semantic,MSC02,MSC06,0.5
glass,motor,MSC02,MSC06,0.5
glass,mem,MSC02,MSC06,0.5
semantic,glass,MSC02,MSC06,0.5222222222222221
semantic,motor,MSC02,MSC06,0.5
semantic,mem,MSC02,MSC06,0.5
motor,glass,MSC02,MSC06,0.6444444444444445
motor,semantic,MSC02,MSC06,0.5949999999999999
motor,mem,MSC02,MSC06,0.505
mem,glass,MSC02,MSC06,0.5888888888888889
mem,semantic,MSC02,MSC06,0.7499999999999999
mem,motor,MSC02,MSC06,0.6699999999999999
glass,semantic,MSC02,MSC07,0.5499999999999999
glass,motor,MSC02,MSC07,0.515
glass,mem,MSC02,MSC07,0.5
semantic,glass,MSC02,MSC07,0.5349999999999999
semantic,motor,MSC02,MSC07,0.51
semantic,mem,MSC02,MSC07,0.51
motor,glass,MSC02,MSC07,0.5499999999999999
motor,semantic,MSC02,MSC07,0.5349999999999999
motor,mem,MSC02,MSC07,0.5
mem,glass,MSC02,MSC07,0.8800000000000001
mem,semantic,MSC02,MSC07,0.7999999999999999
mem,motor,MSC02,MSC07,0.8550000000000001
glass,semantic,MSC02,MSC10,0.51
glass,motor,MSC02,MSC10,0.5
glass,mem,MSC02,MSC10,0.5
semantic,glass,MSC02,MSC10,0.5
semantic,motor,MSC02,MSC10,0.5199999999999999
semantic,mem,MSC02,MSC10,0.5
motor,glass,MSC02,MSC10,0.5199999999999999
motor,semantic,MSC02,MSC10,0.5299999999999999
motor,mem,MSC02,MSC10,0.5
mem,glass,MSC02,MSC10,0.605
mem,semantic,MSC02,MSC10,0.665
mem,motor,MSC02,MSC10,0.685
glass,semantic,MSC03,MSC01,0.5
glass,motor,MSC03,MSC01,0.5
glass,mem,MSC03,MSC01,0.5
semantic,glass,MSC03,MSC01,0.505
semantic,motor,MSC03,MSC01,0.5
semantic,mem,MSC03,MSC01,0.5
motor,glass,MSC03,MSC01,0.5849999999999999
motor,semantic,MSC03,MSC01,0.575
motor,mem,MSC03,MSC01,0.5349999999999999
mem,glass,MSC03,MSC01,0.5050000000000001
mem,semantic,MSC03,MSC01,0.5449999999999999
mem,motor,MSC03,MSC01,0.55
glass,semantic,MSC03,MSC02,0.5
glass,motor,MSC03,MSC02,0.5199999999999999
glass,mem,MSC03,MSC02,0.5
semantic,glass,MSC03,MSC02,0.5
semantic,motor,MSC03,MSC02,0.5
semantic,mem,MSC03,MSC02,0.5
motor,glass,MSC03,MSC02,0.5999999999999999
motor,semantic,MSC03,MSC02,0.605
motor,mem,MSC03,MSC02,0.635
mem,glass,MSC03,MSC02,0.5599999999999999
mem,semantic,MSC03,MSC02,0.52
mem,motor,MSC03,MSC02,0.605
glass,semantic,MSC03,MSC04,0.5
glass,motor,MSC03,MSC04,0.5
glass,mem,MSC03,MSC04,0.5
semantic,glass,MSC03,MSC04,0.5
semantic,motor,MSC03,MSC04,0.5
semantic,mem,MSC03,MSC04,0.5
motor,glass,MSC03,MSC04,0.5499999999999999
motor,semantic,MSC03,MSC04,0.52
motor,mem,MSC03,MSC04,0.5
mem,glass,MSC03,MSC04,0.77
mem,semantic,MSC03,MSC04,0.76
mem,motor,MSC03,MSC04,0.8399999999999999
glass,semantic,MSC03,MSC05,0.5
glass,motor,MSC03,MSC05,0.51
glass,mem,MSC03,MSC05,0.5
semantic,glass,MSC03,MSC05,0.5599999999999999
semantic,motor,MSC03,MSC05,0.5
semantic,mem,MSC03,MSC05,0.505
motor,glass,MSC03,MSC05,0.6950000000000001
motor,semantic,MSC03,MSC05,0.615
motor,mem,MSC03,MSC05,0.5199999999999999
mem,glass,MSC03,MSC05,0.575
mem,semantic,MSC03,MSC05,0.635
mem,motor,MSC03,MSC05,0.6249999999999999
glass,semantic,MSC03,MSC06,0.5
glass,motor,MSC03,MSC06,0.5
glass,mem,MSC03,MSC06,0.5
semantic,glass,MSC03,MSC06,0.5
semantic,motor,MSC03,MSC06,0.5
semantic,mem,MSC03,MSC06,0.5
motor,glass,MSC03,MSC06,0.6
motor,semantic,MSC03,MSC06,0.5349999999999999
motor,mem,MSC03,MSC06,0.575
mem,glass,MSC03,MSC06,0.6611111111111111
mem,semantic,MSC03,MSC06,0.6199999999999999
mem,motor,MSC03,MSC06,0.735
glass,semantic,MSC03,MSC07,0.5
