Network,Acc,Features,z_score
unassign,0.8550347222222222,14808,-0.4959989570824547
default,0.9432291666666666,10824,0.3964868346801594
visual,0.932349537037037,8736,0.2863901622055072
fp,0.9385416666666666,4620,0.3490515662203358
dan,0.9463541666666666,5264,0.42811034698670913
van,0.8991319444444444,3151,-0.0497560612011471
salience,0.8616319444444445,484,-0.42923820887973907
co,0.9180555555555556,4060,0.14174187443295802
sm,0.8980902777777777,2375,-0.06029723196999741
sm-lat,0.8083912037037037,316,-0.9680091592876175
auditory,0.8229166666666667,564,-0.8210183891219888
pmn,0.7844907407407407,45,-1.2098704663728934
pon,0.7256944444444444,21,-1.8048609942146363
