train_sub,test_sub,task,acc
MSC01,MSC02,glass,0.5399999999999999
MSC01,MSC02,semantic,0.875
MSC01,MSC02,motor,0.5700000000000001
MSC01,MSC02,mem,0.6900000000000002
MSC01,MSC03,glass,0.755
MSC01,MSC03,semantic,0.68
MSC01,MSC03,motor,0.5899999999999999
MSC01,MSC03,mem,0.6800000000000002
MSC01,MSC04,glass,0.52
MSC01,MSC04,semantic,0.68
MSC01,MSC04,motor,0.5999999999999999
MSC01,MSC04,mem,0.82
MSC01,MSC05,glass,0.53
MSC01,MSC05,semantic,0.6100000000000001
MSC01,MSC05,motor,0.6900000000000002
MSC01,MSC05,mem,0.825
MSC01,MSC06,glass,0.5277777777777777
MSC01,MSC06,semantic,0.6
MSC01,MSC06,motor,0.7
MSC01,MSC06,mem,0.675
MSC01,MSC07,glass,0.5249999999999999
MSC01,MSC07,semantic,0.9200000000000002
MSC01,MSC07,motor,0.57
MSC01,MSC07,mem,0.8699999999999999
MSC01,MSC10,glass,0.525
MSC01,MSC10,semantic,0.64
MSC01,MSC10,motor,0.6650000000000001
MSC01,MSC10,mem,0.67
MSC02,MSC01,glass,0.615
MSC02,MSC01,semantic,0.68
MSC02,MSC01,motor,0.5499999999999999
MSC02,MSC01,mem,0.675
MSC02,MSC03,glass,0.7249999999999999
MSC02,MSC03,semantic,0.665
MSC02,MSC03,motor,0.665
MSC02,MSC03,mem,0.56
MSC02,MSC04,glass,0.74
MSC02,MSC04,semantic,0.5349999999999999
MSC02,MSC04,motor,0.8300000000000001
MSC02,MSC04,mem,0.825
MSC02,MSC05,glass,0.525
MSC02,MSC05,semantic,0.615
MSC02,MSC05,motor,0.6900000000000001
MSC02,MSC05,mem,0.7250000000000001
MSC02,MSC06,glass,0.6277777777777778
MSC02,MSC06,semantic,0.6199999999999999
MSC02,MSC06,motor,0.5900000000000001
MSC02,MSC06,mem,0.78
MSC02,MSC07,glass,0.38000000000000006
MSC02,MSC07,semantic,0.6200000000000001
MSC02,MSC07,motor,0.615
MSC02,MSC07,mem,0.4750000000000001
MSC02,MSC10,glass,0.65
MSC02,MSC10,semantic,0.5399999999999999
MSC02,MSC10,motor,0.505
MSC02,MSC10,mem,0.7749999999999999
MSC03,MSC01,glass,0.5
MSC03,MSC01,semantic,0.5849999999999999
MSC03,MSC01,motor,0.5
MSC03,MSC01,mem,0.945
MSC03,MSC02,glass,0.53
MSC03,MSC02,semantic,0.5399999999999999
MSC03,MSC02,motor,0.545
MSC03,MSC02,mem,0.5549999999999999
MSC03,MSC04,glass,0.5549999999999999
MSC03,MSC04,semantic,0.63
MSC03,MSC04,motor,0.7150000000000001
MSC03,MSC04,mem,0.8299999999999998
MSC03,MSC05,glass,0.5
MSC03,MSC05,semantic,0.7999999999999999
MSC03,MSC05,motor,0.615
MSC03,MSC05,mem,0.6350000000000001
MSC03,MSC06,glass,0.5
MSC03,MSC06,semantic,0.6900000000000001
MSC03,MSC06,motor,0.5199999999999999
MSC03,MSC06,mem,0.6500000000000001
MSC03,MSC07,glass,0.5449999999999999
MSC03,MSC07,semantic,0.5
MSC03,MSC07,motor,0.5999999999999999
MSC03,MSC07,mem,0.5
MSC03,MSC10,glass,0.5349999999999999
MSC03,MSC10,semantic,0.53
MSC03,MSC10,motor,0.7150000000000001
MSC03,MSC10,mem,0.7
MSC04,MSC01,glass,0.605
MSC04,MSC01,semantic,0.7799999999999999
MSC04,MSC01,motor,0.8549999999999999
MSC04,MSC01,mem,0.86
MSC04,MSC02,glass,0.62
MSC04,MSC02,semantic,0.655
MSC04,MSC02,motor,0.8399999999999999
MSC04,MSC02,mem,0.7999999999999999
MSC04,MSC03,glass,0.805
MSC04,MSC03,semantic,0.6400000000000001
MSC04,MSC03,motor,0.7100000000000002
MSC04,MSC03,mem,0.7949999999999999
MSC04,MSC05,glass,0.6049999999999999
MSC04,MSC05,semantic,0.7000000000000001
MSC04,MSC05,motor,0.8800000000000001
MSC04,MSC05,mem,0.8299999999999998
MSC04,MSC06,glass,0.9444444444444444
MSC04,MSC06,semantic,0.9
MSC04,MSC06,motor,0.8600000000000001
MSC04,MSC06,mem,0.73
MSC04,MSC07,glass,0.66
MSC04,MSC07,semantic,0.74
MSC04,MSC07,motor,0.6599999999999999
MSC04,MSC07,mem,0.6050000000000001
MSC04,MSC10,glass,0.64
MSC04,MSC10,semantic,0.76
MSC04,MSC10,motor,0.8299999999999998
MSC04,MSC10,mem,0.635
MSC05,MSC01,glass,0.585
MSC05,MSC01,semantic,0.7699999999999999
MSC05,MSC01,motor,0.5599999999999999
MSC05,MSC01,mem,0.7150000000000001
MSC05,MSC02,glass,0.635
MSC05,MSC02,semantic,0.65
MSC05,MSC02,motor,0.635
MSC05,MSC02,mem,0.5549999999999999
MSC05,MSC03,glass,0.6650000000000001
MSC05,MSC03,semantic,0.835
MSC05,MSC03,motor,0.675
MSC05,MSC03,mem,0.7150000000000001
MSC05,MSC04,glass,0.66
MSC05,MSC04,semantic,0.73
MSC05,MSC04,motor,0.55
MSC05,MSC04,mem,0.63
MSC05,MSC06,glass,0.3666666666666667
MSC05,MSC06,semantic,0.82
MSC05,MSC06,motor,0.7250000000000001
MSC05,MSC06,mem,0.76
MSC05,MSC07,glass,0.40499999999999997
MSC05,MSC07,semantic,0.62
MSC05,MSC07,motor,0.7500000000000001
MSC05,MSC07,mem,0.485
MSC05,MSC10,glass,0.5700000000000001
MSC05,MSC10,semantic,0.59
MSC05,MSC10,motor,0.745
MSC05,MSC10,mem,0.53
MSC06,MSC01,glass,0.5111111111111111
MSC06,MSC01,semantic,0.5349999999999999
MSC06,MSC01,motor,0.705
MSC06,MSC01,mem,0.805
MSC06,MSC02,glass,0.5444444444444444
MSC06,MSC02,semantic,0.8600000000000001
MSC06,MSC02,motor,0.5450000000000002
MSC06,MSC02,mem,0.6849999999999999
MSC06,MSC03,glass,0.6277777777777778
MSC06,MSC03,semantic,0.635
MSC06,MSC03,motor,0.585
MSC06,MSC03,mem,0.5799999999999998
MSC06,MSC04,glass,0.8055555555555556
MSC06,MSC04,semantic,0.8300000000000001
MSC06,MSC04,motor,0.8099999999999999
MSC06,MSC04,mem,0.865
MSC06,MSC05,glass,0.5888888888888889
MSC06,MSC05,semantic,0.76
MSC06,MSC05,motor,0.7849999999999999
MSC06,MSC05,mem,0.7899999999999999
MSC06,MSC07,glass,0.688888888888889
MSC06,MSC07,semantic,0.585
MSC06,MSC07,motor,0.5149999999999999
MSC06,MSC07,mem,0.5
MSC06,MSC10,glass,0.5833333333333334
MSC06,MSC10,semantic,0.7649999999999999
MSC06,MSC10,motor,0.6300000000000001
MSC06,MSC10,mem,0.685
MSC07,MSC01,glass,0.5
MSC07,MSC01,semantic,0.7749999999999999
MSC07,MSC01,motor,0.54
MSC07,MSC01,mem,0.755
MSC07,MSC02,glass,0.5
MSC07,MSC02,semantic,0.6099999999999999
MSC07,MSC02,motor,0.54
MSC07,MSC02,mem,0.5249999999999999
MSC07,MSC03,glass,0.55
MSC07,MSC03,semantic,0.505
MSC07,MSC03,motor,0.715
MSC07,MSC03,mem,0.6
MSC07,MSC04,glass,0.595
MSC07,MSC04,semantic,0.865
MSC07,MSC04,motor,0.62
MSC07,MSC04,mem,0.54
MSC07,MSC05,glass,0.5
MSC07,MSC05,semantic,0.5
MSC07,MSC05,motor,0.62
MSC07,MSC05,mem,0.585
MSC07,MSC06,glass,0.5
MSC07,MSC06,semantic,0.565
MSC07,MSC06,motor,0.7100000000000001
MSC07,MSC06,mem,0.5850000000000001
MSC07,MSC10,glass,0.5
MSC07,MSC10,semantic,0.595
MSC07,MSC10,motor,0.6400000000000001
MSC07,MSC10,mem,0.835
MSC10,MSC01,glass,0.54
MSC10,MSC01,semantic,0.6499999999999999
MSC10,MSC01,motor,0.73
MSC10,MSC01,mem,0.75
MSC10,MSC02,glass,0.64
MSC10,MSC02,semantic,0.59
MSC10,MSC02,motor,0.5
MSC10,MSC02,mem,0.675
MSC10,MSC03,glass,0.4600000000000001
MSC10,MSC03,semantic,0.6900000000000001
MSC10,MSC03,motor,0.5349999999999999
MSC10,MSC03,mem,0.7000000000000001
MSC10,MSC04,glass,0.62
MSC10,MSC04,semantic,0.6249999999999999
MSC10,MSC04,motor,0.6099999999999999
MSC10,MSC04,mem,0.7350000000000001
MSC10,MSC05,glass,0.6049999999999999
MSC10,MSC05,semantic,0.6399999999999999
MSC10,MSC05,motor,0.595
MSC10,MSC05,mem,0.7050000000000001
MSC10,MSC06,glass,0.638888888888889
MSC10,MSC06,semantic,0.665
MSC10,MSC06,motor,0.6900000000000001
MSC10,MSC06,mem,0.595
MSC10,MSC07,glass,0.505
MSC10,MSC07,semantic,0.575
MSC10,MSC07,motor,0.7050000000000001
MSC10,MSC07,mem,0.7799999999999999
