,train_sub,test_sub,task,acc,Features
0,MSC01,MSC02,glass,0.41,10
1,MSC01,MSC02,semantic,0.7350000000000001,10
2,MSC01,MSC02,motor,0.48,10
3,MSC01,MSC02,mem,0.585,10
4,MSC01,MSC03,glass,0.29999999999999993,10
5,MSC01,MSC03,semantic,0.635,10
6,MSC01,MSC03,motor,0.5399999999999999,10
7,MSC01,MSC03,mem,0.6099999999999999,10
8,MSC01,MSC04,glass,0.5,10
9,MSC01,MSC04,semantic,0.575,10
10,MSC01,MSC04,motor,0.51,10
11,MSC01,MSC04,mem,0.5,10
12,MSC01,MSC05,glass,0.4,10
13,MSC01,MSC05,semantic,0.65,10
14,MSC01,MSC05,motor,0.47,10
15,MSC01,MSC05,mem,0.4600000000000001,10
16,MSC01,MSC06,glass,0.5444444444444445,10
17,MSC01,MSC06,semantic,0.5349999999999999,10
18,MSC01,MSC06,motor,0.5549999999999999,10
19,MSC01,MSC06,mem,0.5349999999999999,10
20,MSC01,MSC07,glass,0.63,10
21,MSC01,MSC07,semantic,0.675,10
22,MSC01,MSC07,motor,0.6500000000000001,10
23,MSC01,MSC07,mem,0.5,10
24,MSC01,MSC10,glass,0.43,10
25,MSC01,MSC10,semantic,0.5,10
26,MSC01,MSC10,motor,0.4550000000000001,10
27,MSC01,MSC10,mem,0.5,10
28,MSC02,MSC01,glass,0.44,10
29,MSC02,MSC01,semantic,0.5499999999999999,10
30,MSC02,MSC01,motor,0.34,10
31,MSC02,MSC01,mem,0.5850000000000001,10
32,MSC02,MSC03,glass,0.5000000000000001,10
33,MSC02,MSC03,semantic,0.5799999999999998,10
34,MSC02,MSC03,motor,0.5599999999999999,10
35,MSC02,MSC03,mem,0.4900000000000001,10
36,MSC02,MSC04,glass,0.58,10
37,MSC02,MSC04,semantic,0.5399999999999999,10
38,MSC02,MSC04,motor,0.4500000000000001,10
39,MSC02,MSC04,mem,0.6649999999999998,10
40,MSC02,MSC05,glass,0.5399999999999999,10
41,MSC02,MSC05,semantic,0.505,10
42,MSC02,MSC05,motor,0.645,10
43,MSC02,MSC05,mem,0.525,10
44,MSC02,MSC06,glass,0.6333333333333334,10
45,MSC02,MSC06,semantic,0.5149999999999999,10
46,MSC02,MSC06,motor,0.4500000000000001,10
47,MSC02,MSC06,mem,0.5,10
48,MSC02,MSC07,glass,0.5,10
49,MSC02,MSC07,semantic,0.5899999999999999,10
50,MSC02,MSC07,motor,0.34,10
51,MSC02,MSC07,mem,0.5399999999999999,10
52,MSC02,MSC10,glass,0.525,10
53,MSC02,MSC10,semantic,0.495,10
54,MSC02,MSC10,motor,0.565,10
55,MSC02,MSC10,mem,0.5,10
