train_task,test_task,sub,acc
glass,semantic,MSC01,0.95
glass,motor,MSC01,0.915
glass,mem,MSC01,0.7699999999999999
semantic,glass,MSC01,0.8550000000000001
semantic,motor,MSC01,0.735
semantic,mem,MSC01,0.6450000000000001
motor,glass,MSC01,0.75
motor,semantic,MSC01,0.845
motor,mem,MSC01,0.6400000000000001
mem,glass,MSC01,0.9000000000000001
mem,semantic,MSC01,1.0
mem,motor,MSC01,0.9949999999999999
glass,semantic,MSC02,0.8749999999999998
glass,motor,MSC02,0.57
glass,mem,MSC02,0.5549999999999999
semantic,glass,MSC02,0.64
semantic,motor,MSC02,0.5
semantic,mem,MSC02,0.505
motor,glass,MSC02,0.5
motor,semantic,MSC02,0.5
motor,mem,MSC02,0.5
mem,glass,MSC02,0.7100000000000001
mem,semantic,MSC02,0.865
mem,motor,MSC02,0.6049999999999999
glass,semantic,MSC03,0.7749999999999999
glass,motor,MSC03,0.89
glass,mem,MSC03,0.595
semantic,glass,MSC03,0.7050000000000001
semantic,motor,MSC03,0.725
semantic,mem,MSC03,0.6850000000000002
motor,glass,MSC03,0.74
motor,semantic,MSC03,0.5599999999999999
motor,mem,MSC03,0.6300000000000001
mem,glass,MSC03,0.575
mem,semantic,MSC03,0.7899999999999999
mem,motor,MSC03,0.8950000000000001
glass,semantic,MSC04,0.9600000000000002
glass,motor,MSC04,0.8850000000000001
glass,mem,MSC04,0.885
semantic,glass,MSC04,0.8649999999999999
semantic,motor,MSC04,0.56
semantic,mem,MSC04,0.75
motor,glass,MSC04,0.9400000000000001
motor,semantic,MSC04,0.62
motor,mem,MSC04,0.7250000000000001
mem,glass,MSC04,0.9949999999999999
mem,semantic,MSC04,0.95
mem,motor,MSC04,0.875
glass,semantic,MSC05,0.885
glass,motor,MSC05,0.89
glass,mem,MSC05,0.8649999999999999
semantic,glass,MSC05,0.845
semantic,motor,MSC05,0.76
semantic,mem,MSC05,0.78
motor,glass,MSC05,0.735
motor,semantic,MSC05,0.675
motor,mem,MSC05,0.8149999999999998
mem,glass,MSC05,0.8799999999999999
mem,semantic,MSC05,0.8249999999999998
mem,motor,MSC05,0.9949999999999999
glass,semantic,MSC06,0.8833333333333334
glass,motor,MSC06,0.6888888888888888
glass,mem,MSC06,0.9111111111111112
semantic,glass,MSC06,0.7888888888888889
semantic,motor,MSC06,0.62
semantic,mem,MSC06,0.7899999999999999
motor,glass,MSC06,0.5611111111111111
motor,semantic,MSC06,0.725
motor,mem,MSC06,0.7150000000000001
mem,glass,MSC06,0.8444444444444444
mem,semantic,MSC06,0.82
mem,motor,MSC06,0.8700000000000001
glass,semantic,MSC07,1.0
glass,motor,MSC07,0.6300000000000001
glass,mem,MSC07,0.7749999999999999
semantic,glass,MSC07,0.945
semantic,motor,MSC07,0.5499999999999999
semantic,mem,MSC07,0.6300000000000001
motor,glass,MSC07,0.505
motor,semantic,MSC07,0.5449999999999999
motor,mem,MSC07,0.505
mem,glass,MSC07,0.99
mem,semantic,MSC07,0.9049999999999999
mem,motor,MSC07,0.7999999999999999
glass,semantic,MSC10,0.9299999999999999
glass,motor,MSC10,0.86
glass,mem,MSC10,0.8049999999999999
semantic,glass,MSC10,0.865
semantic,motor,MSC10,0.655
semantic,mem,MSC10,0.77
motor,glass,MSC10,0.605
motor,semantic,MSC10,0.5999999999999999
motor,mem,MSC10,0.605
mem,glass,MSC10,0.8149999999999998
mem,semantic,MSC10,0.86
mem,motor,MSC10,0.885
