,test_task,train_task,Mean,Std
0,glass,mem,0.8509722222222221,0.13115339310153543
1,glass,motor,0.6809722222222222,0.14594119216199683
2,glass,semantic,0.7951388888888888,0.09846115358572691
3,mem,glass,0.7469444444444446,0.13841825021631116
4,mem,motor,0.615625,0.11085503725909028
5,mem,semantic,0.665,0.11994046142029922
6,motor,glass,0.7779166666666666,0.13628212450764576
7,motor,mem,0.87125,0.12830627420356341
8,motor,semantic,0.6300000000000001,0.10138328969101087
9,semantic,glass,0.9054166666666666,0.0848189013825694
10,semantic,mem,0.899375,0.06494159463922733
11,semantic,motor,0.64625,0.14055375179217786
