,train_task,test_task,sub,acc,Features
0,glass,semantic,MSC01,0.6499999999999999,10
1,glass,motor,MSC01,0.8,10
2,glass,mem,MSC01,0.705,10
3,semantic,glass,MSC01,0.615,10
4,semantic,motor,MSC01,0.705,10
5,semantic,mem,MSC01,0.705,10
6,motor,glass,MSC01,0.625,10
7,motor,semantic,MSC01,0.6849999999999999,10
8,motor,mem,MSC01,0.7399999999999998,10
9,mem,glass,MSC01,0.63,10
10,mem,semantic,MSC01,0.675,10
11,mem,motor,MSC01,0.7249999999999999,10
12,glass,semantic,MSC02,0.435,10
13,glass,motor,MSC02,0.545,10
14,glass,mem,MSC02,0.305,10
15,semantic,glass,MSC02,0.5499999999999999,10
16,semantic,motor,MSC02,0.51,10
17,semantic,mem,MSC02,0.495,10
18,motor,glass,MSC02,0.6900000000000001,10
19,motor,semantic,MSC02,0.6950000000000001,10
20,motor,mem,MSC02,0.5199999999999999,10
21,mem,glass,MSC02,0.45,10
22,mem,semantic,MSC02,0.7049999999999998,10
23,mem,motor,MSC02,0.455,10
24,glass,semantic,MSC03,0.685,10
25,glass,motor,MSC03,0.77,10
26,glass,mem,MSC03,0.5399999999999999,10
27,semantic,glass,MSC03,0.76,10
28,semantic,motor,MSC03,0.7100000000000001,10
29,semantic,mem,MSC03,0.725,10
30,motor,glass,MSC03,0.56,10
31,motor,semantic,MSC03,0.645,10
32,motor,mem,MSC03,0.555,10
33,mem,glass,MSC03,0.495,10
34,mem,semantic,MSC03,0.685,10
35,mem,motor,MSC03,0.6449999999999999,10
36,glass,semantic,MSC04,0.6900000000000001,10
37,glass,motor,MSC04,0.71,10
38,glass,mem,MSC04,0.665,10
39,semantic,glass,MSC04,0.56,10
40,semantic,motor,MSC04,0.61,10
41,semantic,mem,MSC04,0.595,10
42,motor,glass,MSC04,0.5800000000000001,10
43,motor,semantic,MSC04,0.61,10
44,motor,mem,MSC04,0.53,10
45,mem,glass,MSC04,0.5900000000000001,10
46,mem,semantic,MSC04,0.7500000000000002,10
47,mem,motor,MSC04,0.5800000000000001,10
48,glass,semantic,MSC05,0.6849999999999999,10
49,glass,motor,MSC05,0.7949999999999998,10
50,glass,mem,MSC05,0.6500000000000001,10
51,semantic,glass,MSC05,0.6849999999999999,10
52,semantic,motor,MSC05,0.865,10
53,semantic,mem,MSC05,0.755,10
54,motor,glass,MSC05,0.7649999999999999,10
55,motor,semantic,MSC05,0.7899999999999998,10
56,motor,mem,MSC05,0.6050000000000001,10
57,mem,glass,MSC05,0.74,10
58,mem,semantic,MSC05,0.7300000000000001,10
59,mem,motor,MSC05,0.7500000000000002,10
60,glass,semantic,MSC06,0.6000000000000001,10
61,glass,motor,MSC06,0.4888888888888888,10
62,glass,mem,MSC06,0.4944444444444444,10
63,semantic,glass,MSC06,0.6055555555555556,10
64,semantic,motor,MSC06,0.6450000000000001,10
65,semantic,mem,MSC06,0.7,10
66,motor,glass,MSC06,0.4055555555555556,10
67,motor,semantic,MSC06,0.5200000000000001,10
68,motor,mem,MSC06,0.525,10
69,mem,glass,MSC06,0.5499999999999999,10
70,mem,semantic,MSC06,0.665,10
71,mem,motor,MSC06,0.6300000000000001,10
72,glass,semantic,MSC07,0.7,10
73,glass,motor,MSC07,0.5399999999999999,10
74,glass,mem,MSC07,0.7949999999999998,10
75,semantic,glass,MSC07,0.6649999999999999,10
76,semantic,motor,MSC07,0.6799999999999999,10
77,semantic,mem,MSC07,0.5850000000000001,10
78,motor,glass,MSC07,0.5149999999999999,10
79,motor,semantic,MSC07,0.6000000000000001,10
80,motor,mem,MSC07,0.505,10
81,mem,glass,MSC07,0.7599999999999999,10
82,mem,semantic,MSC07,0.6450000000000001,10
83,mem,motor,MSC07,0.52,10
84,glass,semantic,MSC10,0.52,10
85,glass,motor,MSC10,0.385,10
86,glass,mem,MSC10,0.5249999999999999,10
87,semantic,glass,MSC10,0.5149999999999999,10
88,semantic,motor,MSC10,0.545,10
89,semantic,mem,MSC10,0.605,10
90,motor,glass,MSC10,0.4000000000000001,10
91,motor,semantic,MSC10,0.51,10
92,motor,mem,MSC10,0.51,10
93,mem,glass,MSC10,0.55,10
94,mem,semantic,MSC10,0.6100000000000001,10
95,mem,motor,MSC10,0.4900000000000001,10
0,glass,semantic,MSC01,0.6900000000000001,20
1,glass,motor,MSC01,0.6650000000000001,20
2,glass,mem,MSC01,0.7,20
3,semantic,glass,MSC01,0.7699999999999999,20
4,semantic,motor,MSC01,0.72,20
5,semantic,mem,MSC01,0.74,20
6,motor,glass,MSC01,0.73,20
7,motor,semantic,MSC01,0.76,20
8,motor,mem,MSC01,0.74,20
9,mem,glass,MSC01,0.7849999999999999,20
10,mem,semantic,MSC01,0.65,20
11,mem,motor,MSC01,0.7000000000000001,20
12,glass,semantic,MSC02,0.605,20
13,glass,motor,MSC02,0.76,20
14,glass,mem,MSC02,0.5399999999999999,20
15,semantic,glass,MSC02,0.735,20
16,semantic,motor,MSC02,0.74,20
17,semantic,mem,MSC02,0.6500000000000001,20
18,motor,glass,MSC02,0.6950000000000001,20
19,motor,semantic,MSC02,0.64,20
20,motor,mem,MSC02,0.495,20
21,mem,glass,MSC02,0.495,20
22,mem,semantic,MSC02,0.5799999999999998,20
23,mem,motor,MSC02,0.6049999999999999,20
24,glass,semantic,MSC03,0.6950000000000001,20
25,glass,motor,MSC03,0.8100000000000002,20
26,glass,mem,MSC03,0.605,20
27,semantic,glass,MSC03,0.7350000000000001,20
28,semantic,motor,MSC03,0.755,20
29,semantic,mem,MSC03,0.605,20
30,motor,glass,MSC03,0.7649999999999999,20
31,motor,semantic,MSC03,0.6500000000000001,20
32,motor,mem,MSC03,0.5499999999999999,20
33,mem,glass,MSC03,0.705,20
34,mem,semantic,MSC03,0.595,20
35,mem,motor,MSC03,0.7,20
36,glass,semantic,MSC04,0.89,20
37,glass,motor,MSC04,0.7049999999999998,20
38,glass,mem,MSC04,0.7349999999999999,20
39,semantic,glass,MSC04,0.7949999999999999,20
40,semantic,motor,MSC04,0.8699999999999999,20
41,semantic,mem,MSC04,0.7899999999999999,20
42,motor,glass,MSC04,0.7849999999999999,20
43,motor,semantic,MSC04,0.86,20
44,motor,mem,MSC04,0.7000000000000001,20
45,mem,glass,MSC04,0.835,20
46,mem,semantic,MSC04,0.95,20
47,mem,motor,MSC04,0.775,20
48,glass,semantic,MSC05,0.805,20
49,glass,motor,MSC05,0.89,20
50,glass,mem,MSC05,0.805,20
51,semantic,glass,MSC05,0.8799999999999999,20
52,semantic,motor,MSC05,0.8300000000000001,20
53,semantic,mem,MSC05,0.89,20
54,motor,glass,MSC05,0.7949999999999999,20
55,motor,semantic,MSC05,0.655,20
56,motor,mem,MSC05,0.6900000000000001,20
57,mem,glass,MSC05,0.8299999999999998,20
58,mem,semantic,MSC05,0.8399999999999999,20
59,mem,motor,MSC05,0.82,20
60,glass,semantic,MSC06,0.8555555555555556,20
61,glass,motor,MSC06,0.6333333333333333,20
62,glass,mem,MSC06,0.6833333333333333,20
63,semantic,glass,MSC06,0.7666666666666666,20
64,semantic,motor,MSC06,0.68,20
65,semantic,mem,MSC06,0.645,20
66,motor,glass,MSC06,0.7111111111111111,20
67,motor,semantic,MSC06,0.925,20
68,motor,mem,MSC06,0.82,20
69,mem,glass,MSC06,0.7555555555555555,20
70,mem,semantic,MSC06,0.8550000000000002,20
71,mem,motor,MSC06,0.7649999999999999,20
72,glass,semantic,MSC07,0.93,20
73,glass,motor,MSC07,0.5649999999999998,20
74,glass,mem,MSC07,0.6850000000000002,20
75,semantic,glass,MSC07,0.8800000000000001,20
76,semantic,motor,MSC07,0.6,20
77,semantic,mem,MSC07,0.835,20
78,motor,glass,MSC07,0.5900000000000001,20
79,motor,semantic,MSC07,0.6000000000000001,20
80,motor,mem,MSC07,0.7849999999999999,20
81,mem,glass,MSC07,0.85,20
82,mem,semantic,MSC07,0.835,20
83,mem,motor,MSC07,0.74,20
84,glass,semantic,MSC10,0.5000000000000001,20
85,glass,motor,MSC10,0.495,20
86,glass,mem,MSC10,0.36,20
87,semantic,glass,MSC10,0.58,20
88,semantic,motor,MSC10,0.64,20
89,semantic,mem,MSC10,0.595,20
90,motor,glass,MSC10,0.5349999999999999,20
91,motor,semantic,MSC10,0.5900000000000001,20
92,motor,mem,MSC10,0.6799999999999999,20
93,mem,glass,MSC10,0.6350000000000001,20
94,mem,semantic,MSC10,0.67,20
95,mem,motor,MSC10,0.6500000000000001,20
0,glass,semantic,MSC01,0.72,30
1,glass,motor,MSC01,0.8300000000000001,30
2,glass,mem,MSC01,0.86,30
3,semantic,glass,MSC01,0.6500000000000001,30
4,semantic,motor,MSC01,0.9,30
5,semantic,mem,MSC01,0.6550000000000001,30
6,motor,glass,MSC01,0.7849999999999999,30
7,motor,semantic,MSC01,0.8049999999999999,30
8,motor,mem,MSC01,0.82,30
9,mem,glass,MSC01,0.93,30
10,mem,semantic,MSC01,0.745,30
11,mem,motor,MSC01,0.89,30
12,glass,semantic,MSC02,0.6950000000000001,30
13,glass,motor,MSC02,0.6050000000000001,30
14,glass,mem,MSC02,0.645,30
15,semantic,glass,MSC02,0.665,30
16,semantic,motor,MSC02,0.5399999999999999,30
17,semantic,mem,MSC02,0.615,30
18,motor,glass,MSC02,0.64,30
19,motor,semantic,MSC02,0.5999999999999999,30
20,motor,mem,MSC02,0.5999999999999999,30
21,mem,glass,MSC02,0.7,30
22,mem,semantic,MSC02,0.64,30
23,mem,motor,MSC02,0.6200000000000001,30
24,glass,semantic,MSC03,0.52,30
25,glass,motor,MSC03,0.495,30
26,glass,mem,MSC03,0.435,30
27,semantic,glass,MSC03,0.6900000000000001,30
28,semantic,motor,MSC03,0.6700000000000002,30
29,semantic,mem,MSC03,0.6950000000000001,30
30,motor,glass,MSC03,0.545,30
31,motor,semantic,MSC03,0.625,30
32,motor,mem,MSC03,0.665,30
33,mem,glass,MSC03,0.45,30
34,mem,semantic,MSC03,0.7849999999999998,30
35,mem,motor,MSC03,0.6100000000000001,30
36,glass,semantic,MSC04,0.7150000000000001,30
37,glass,motor,MSC04,0.8249999999999998,30
38,glass,mem,MSC04,0.6500000000000001,30
39,semantic,glass,MSC04,0.8049999999999999,30
40,semantic,motor,MSC04,0.67,30
41,semantic,mem,MSC04,0.5750000000000001,30
42,motor,glass,MSC04,0.94,30
43,motor,semantic,MSC04,0.7999999999999999,30
44,motor,mem,MSC04,0.57,30
45,mem,glass,MSC04,0.825,30
46,mem,semantic,MSC04,0.78,30
47,mem,motor,MSC04,0.7849999999999999,30
48,glass,semantic,MSC05,0.9250000000000002,30
49,glass,motor,MSC05,0.94,30
50,glass,mem,MSC05,0.9250000000000002,30
51,semantic,glass,MSC05,0.755,30
52,semantic,motor,MSC05,0.9000000000000001,30
53,semantic,mem,MSC05,0.93,30
54,motor,glass,MSC05,0.7250000000000001,30
55,motor,semantic,MSC05,0.95,30
56,motor,mem,MSC05,0.8299999999999998,30
57,mem,glass,MSC05,0.755,30
58,mem,semantic,MSC05,0.9549999999999998,30
59,mem,motor,MSC05,0.945,30
60,glass,semantic,MSC06,0.8722222222222223,30
61,glass,motor,MSC06,0.6944444444444445,30
62,glass,mem,MSC06,0.8611111111111109,30
63,semantic,glass,MSC06,0.8666666666666668,30
64,semantic,motor,MSC06,0.7949999999999998,30
65,semantic,mem,MSC06,0.8300000000000001,30
66,motor,glass,MSC06,0.7666666666666666,30
67,motor,semantic,MSC06,0.7949999999999999,30
68,motor,mem,MSC06,0.72,30
69,mem,glass,MSC06,0.9277777777777778,30
70,mem,semantic,MSC06,0.79,30
71,mem,motor,MSC06,0.595,30
72,glass,semantic,MSC07,0.95,30
73,glass,motor,MSC07,0.75,30
74,glass,mem,MSC07,0.8400000000000001,30
75,semantic,glass,MSC07,0.965,30
76,semantic,motor,MSC07,0.7899999999999999,30
77,semantic,mem,MSC07,0.8249999999999998,30
78,motor,glass,MSC07,0.6450000000000001,30
79,motor,semantic,MSC07,0.665,30
80,motor,mem,MSC07,0.565,30
81,mem,glass,MSC07,0.935,30
82,mem,semantic,MSC07,0.86,30
83,mem,motor,MSC07,0.76,30
84,glass,semantic,MSC10,0.8549999999999999,30
85,glass,motor,MSC10,0.915,30
86,glass,mem,MSC10,0.97,30
87,semantic,glass,MSC10,0.7799999999999999,30
88,semantic,motor,MSC10,0.7050000000000001,30
89,semantic,mem,MSC10,0.85,30
90,motor,glass,MSC10,0.82,30
91,motor,semantic,MSC10,0.8049999999999999,30
92,motor,mem,MSC10,0.8850000000000001,30
93,mem,glass,MSC10,0.885,30
94,mem,semantic,MSC10,0.8800000000000001,30
95,mem,motor,MSC10,0.875,30
0,glass,semantic,MSC01,0.825,40
1,glass,motor,MSC01,0.635,40
