acc,train,test,frames,analysis
0.51,MSC01,MSC02,15,BS
0.48,MSC01,MSC03,15,BS
0.51,MSC01,MSC04,15,BS
0.525,MSC01,MSC05,15,BS
0.54,MSC01,MSC06,15,BS
0.51,MSC01,MSC07,15,BS
0.535,MSC01,MSC10,15,BS
0.5,MSC02,MSC01,15,BS
0.465,MSC02,MSC03,15,BS
0.5399999999999999,MSC02,MSC04,15,BS
0.45499999999999996,MSC02,MSC05,15,BS
0.4999999999999999,MSC02,MSC06,15,BS
0.505,MSC02,MSC07,15,BS
0.52,MSC02,MSC10,15,BS
0.65,MSC03,MSC01,15,BS
0.5499999999999999,MSC03,MSC02,15,BS
0.6687500000000001,MSC03,MSC04,15,BS
0.55,MSC03,MSC05,15,BS
0.56875,MSC03,MSC06,15,BS
0.54375,MSC03,MSC07,15,BS
0.78125,MSC03,MSC10,15,BS
0.615,MSC04,MSC01,15,BS
0.5149999999999999,MSC04,MSC02,15,BS
0.5449999999999999,MSC04,MSC03,15,BS
0.63,MSC04,MSC05,15,BS
0.715,MSC04,MSC06,15,BS
0.565,MSC04,MSC07,15,BS
0.525,MSC04,MSC10,15,BS
0.5,MSC05,MSC01,15,BS
0.5,MSC05,MSC02,15,BS
0.51,MSC05,MSC03,15,BS
0.5499999999999999,MSC05,MSC04,15,BS
0.5700000000000001,MSC05,MSC06,15,BS
0.5,MSC05,MSC07,15,BS
0.5,MSC05,MSC10,15,BS
0.55,MSC06,MSC01,15,BS
0.5650000000000001,MSC06,MSC02,15,BS
0.525,MSC06,MSC03,15,BS
0.48999999999999994,MSC06,MSC04,15,BS
0.565,MSC06,MSC05,15,BS
0.5,MSC06,MSC07,15,BS
0.495,MSC06,MSC10,15,BS
0.475,MSC07,MSC01,15,BS
0.5,MSC07,MSC02,15,BS
0.52,MSC07,MSC03,15,BS
0.56,MSC07,MSC04,15,BS
0.68,MSC07,MSC05,15,BS
0.495,MSC07,MSC06,15,BS
0.51,MSC07,MSC10,15,BS
0.5,MSC10,MSC01,15,BS
0.34500000000000003,MSC10,MSC02,15,BS
0.43500000000000005,MSC10,MSC03,15,BS
0.655,MSC10,MSC04,15,BS
0.635,MSC10,MSC05,15,BS
0.6699999999999999,MSC10,MSC06,15,BS
0.635,MSC10,MSC07,15,BS
