acc,train,test,frames
0.9099999999999999,MSC01,MSC02,175
0.75,MSC01,MSC03,175
0.9099999999999999,MSC01,MSC04,175
1.0,MSC01,MSC05,175
0.8949999999999999,MSC01,MSC06,175
0.5499999999999999,MSC01,MSC07,175
0.7100000000000002,MSC01,MSC10,175
0.9949999999999999,MSC02,MSC01,175
0.8350000000000002,MSC02,MSC03,175
0.9850000000000001,MSC02,MSC04,175
0.9650000000000001,MSC02,MSC05,175
0.95,MSC02,MSC06,175
0.915,MSC02,MSC07,175
0.925,MSC02,MSC10,175
0.8625,MSC03,MSC01,175
0.6125,MSC03,MSC02,175
0.875,MSC03,MSC04,175
0.7374999999999999,MSC03,MSC05,175
0.9500000000000001,MSC03,MSC06,175
0.7874999999999999,MSC03,MSC07,175
0.9,MSC03,MSC10,175
0.9333333333333333,MSC04,MSC01,175
0.8777777777777778,MSC04,MSC02,175
0.9166666666666666,MSC04,MSC03,175
0.7555555555555555,MSC04,MSC05,175
0.9000000000000001,MSC04,MSC06,175
0.9500000000000001,MSC04,MSC07,175
1.0,MSC04,MSC10,175
0.95,MSC05,MSC01,175
0.605,MSC05,MSC02,175
0.805,MSC05,MSC03,175
0.8349999999999997,MSC05,MSC04,175
0.945,MSC05,MSC06,175
0.78,MSC05,MSC07,175
0.74,MSC05,MSC10,175
0.8299999999999998,MSC06,MSC01,175
0.865,MSC06,MSC02,175
0.755,MSC06,MSC03,175
0.96,MSC06,MSC04,175
0.9600000000000002,MSC06,MSC05,175
0.5449999999999999,MSC06,MSC07,175
0.7699999999999999,MSC06,MSC10,175
0.53,MSC07,MSC01,175
0.5900000000000001,MSC07,MSC02,175
0.62,MSC07,MSC03,175
0.7,MSC07,MSC04,175
0.835,MSC07,MSC05,175
0.9,MSC07,MSC06,175
0.7350000000000001,MSC07,MSC10,175
0.857142857142857,MSC10,MSC01,175
0.8928571428571429,MSC10,MSC02,175
0.8,MSC10,MSC03,175
0.8857142857142858,MSC10,MSC04,175
0.9714285714285714,MSC10,MSC05,175
0.9214285714285715,MSC10,MSC06,175
0.8285714285714284,MSC10,MSC07,175
