acc,train,test,frames,analysis
"(0.55, [0.5, 0.5, 0.65, 0.5, 0.5, 0.55, 0.5, 0.5, 0.5, 0.8])",MSC01,MSC02,25,DS
"(0.52, [0.5, 0.5, 0.55, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.65])",MSC01,MSC03,25,DS
"(0.535, [0.5, 0.5, 0.6, 0.5, 0.5, 0.55, 0.5, 0.5, 0.5, 0.7])",MSC01,MSC04,25,DS
"(0.575, [0.5, 0.5, 0.6, 0.55, 0.55, 0.6, 0.55, 0.55, 0.55, 0.8])",MSC01,MSC05,25,DS
"(0.725, [0.6, 0.65, 0.8, 0.7, 0.7, 0.8, 0.75, 0.7, 0.7, 0.85])",MSC01,MSC06,25,DS
"(0.53, [0.5, 0.5, 0.55, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.75])",MSC01,MSC07,25,DS
"(0.6049999999999999, [0.5, 0.5, 0.7, 0.55, 0.55, 0.6, 0.6, 0.6, 0.6, 0.85])",MSC01,MSC10,25,DS
"(0.675, [0.9, 0.55, 0.7, 0.85, 0.5, 0.95, 0.55, 0.5, 0.55, 0.7])",MSC02,MSC01,25,DS
"(0.6900000000000001, [0.9, 0.55, 0.85, 0.75, 0.5, 0.8, 0.7, 0.5, 0.6, 0.75])",MSC02,MSC03,25,DS
"(0.7849999999999999, [0.85, 0.7, 0.95, 0.9, 0.6, 0.85, 0.75, 0.65, 0.75, 0.85])",MSC02,MSC04,25,DS
"(0.545, [0.55, 0.5, 0.6, 0.55, 0.5, 0.7, 0.5, 0.5, 0.5, 0.55])",MSC02,MSC05,25,DS
"(0.6399999999999999, [0.7, 0.5, 0.85, 0.8, 0.5, 0.9, 0.55, 0.5, 0.5, 0.6])",MSC02,MSC06,25,DS
"(0.6699999999999999, [0.9, 0.55, 0.9, 0.7, 0.5, 0.8, 0.6, 0.5, 0.55, 0.7])",MSC02,MSC07,25,DS
"(0.655, [0.7, 0.55, 0.65, 0.75, 0.55, 0.95, 0.6, 0.6, 0.55, 0.65])",MSC02,MSC10,25,DS
"(0.5875, [0.65, 0.5, 0.5, 0.5, 0.55, 0.55, 0.6, 0.85])",MSC03,MSC01,25,DS
"(0.6687500000000001, [0.85, 0.65, 0.6, 0.5, 0.55, 0.75, 0.65, 0.8])",MSC03,MSC02,25,DS
"(0.65, [0.75, 0.6, 0.55, 0.5, 0.6, 0.7, 0.7, 0.8])",MSC03,MSC04,25,DS
"(0.69375, [0.9, 0.65, 0.5, 0.6, 0.7, 0.65, 0.65, 0.9])",MSC03,MSC05,25,DS
"(0.58125, [0.8, 0.5, 0.5, 0.55, 0.6, 0.6, 0.5, 0.6])",MSC03,MSC06,25,DS
"(0.525, [0.55, 0.5, 0.55, 0.5, 0.5, 0.5, 0.55, 0.55])",MSC03,MSC07,25,DS
"(0.71875, [0.8, 0.7, 0.6, 0.6, 0.65, 0.8, 0.75, 0.85])",MSC03,MSC10,25,DS
"(0.575, [0.55, 0.5, 0.5, 0.7, 0.5, 0.55, 0.55, 0.9, 0.5, 0.5])",MSC04,MSC01,25,DS
"(0.705, [0.7, 0.55, 0.7, 0.85, 0.65, 0.65, 0.8, 0.9, 0.55, 0.7])",MSC04,MSC02,25,DS
"(0.75, [0.7, 0.55, 0.7, 0.9, 0.8, 0.8, 0.8, 0.8, 0.65, 0.8])",MSC04,MSC03,25,DS
"(0.5650000000000001, [0.5, 0.5, 0.5, 0.7, 0.5, 0.5, 0.55, 0.9, 0.5, 0.5])",MSC04,MSC05,25,DS
"(0.78, [0.75, 0.5, 0.85, 1.0, 0.6, 0.75, 0.95, 1.0, 0.7, 0.7])",MSC04,MSC06,25,DS
"(0.635, [0.6, 0.5, 0.6, 0.9, 0.5, 0.6, 0.6, 0.9, 0.5, 0.65])",MSC04,MSC07,25,DS
