acc,train,frames
0.75,MSC01,5
0.675,MSC02,5
0.7062499999999999,MSC03,5
0.65,MSC04,5
0.875,MSC05,5
0.65,MSC06,5
0.35,MSC07,5
0.585,MSC10,5
0.89,MSC01,10
0.5399999999999999,MSC02,10
0.7562500000000001,MSC03,10
0.7250000000000001,MSC04,10
0.48,MSC05,10
0.4900000000000001,MSC06,10
0.4400000000000001,MSC07,10
0.595,MSC10,10
0.85,MSC01,15
0.5349999999999999,MSC02,15
0.40625,MSC03,15
0.835,MSC04,15
0.7150000000000001,MSC05,15
0.8000000000000002,MSC06,15
0.5000000000000001,MSC07,15
0.55,MSC10,15
0.85,MSC01,20
0.465,MSC02,20
0.425,MSC03,20
0.765,MSC04,20
0.85,MSC05,20
0.765,MSC06,20
0.72,MSC07,20
0.5650000000000001,MSC10,20
0.85,MSC01,25
0.41,MSC02,25
0.4812500000000001,MSC03,25
0.8099999999999999,MSC04,25
0.82,MSC05,25
0.6950000000000001,MSC06,25
0.5599999999999999,MSC07,25
0.65,MSC10,25
0.8699999999999999,MSC01,30
0.405,MSC02,30
0.475,MSC03,30
0.825,MSC04,30
0.835,MSC05,30
0.615,MSC06,30
0.605,MSC07,30
0.6349999999999999,MSC10,30
0.86,MSC01,40
0.5,MSC02,40
0.60625,MSC03,40
0.7999999999999999,MSC04,40
0.755,MSC05,40
0.6250000000000001,MSC06,40
0.6449999999999999,MSC07,40
0.7649999999999999,MSC10,40
0.89,MSC01,50
0.54,MSC02,50
0.6562500000000001,MSC03,50
0.7699999999999999,MSC04,50
0.875,MSC05,50
0.6150000000000001,MSC06,50
0.6249999999999999,MSC07,50
0.71,MSC10,50
0.95,MSC01,60
0.475,MSC02,60
0.7374999999999999,MSC03,60
0.775,MSC04,60
0.875,MSC05,60
0.735,MSC06,60
0.63,MSC07,60
0.74,MSC10,60
0.94,MSC01,70
0.4900000000000001,MSC02,70
0.7437499999999999,MSC03,70
0.7949999999999999,MSC04,70
0.92,MSC05,70
0.8049999999999999,MSC06,70
0.6800000000000002,MSC07,70
0.7849999999999999,MSC10,70
0.9350000000000002,MSC01,80
0.5149999999999999,MSC02,80
0.675,MSC03,80
0.8949999999999999,MSC04,80
0.9549999999999998,MSC05,80
0.7649999999999999,MSC06,80
0.68,MSC07,80
0.82,MSC10,80
0.94,MSC01,90
0.59,MSC02,90
0.7499999999999999,MSC03,90
0.925,MSC04,90
0.9549999999999998,MSC05,90
0.8099999999999998,MSC06,90
0.7949999999999999,MSC07,90
0.8599999999999998,MSC10,90
0.95,MSC01,100
0.5900000000000001,MSC02,100
0.7562499999999999,MSC03,100
0.8800000000000001,MSC04,100
0.97,MSC05,100
0.8099999999999998,MSC06,100
0.845,MSC07,100
0.7833333333333332,MSC10,100
0.95,MSC01,125
0.6900000000000002,MSC02,125
0.95,MSC03,125
0.94,MSC04,125
0.915,MSC05,125
0.8049999999999999,MSC06,125
0.845,MSC07,125
0.8888888888888888,MSC10,125
0.95,MSC01,150
0.675,MSC02,150
0.78,MSC03,150
0.9,MSC04,150
0.9,MSC05,150
0.7999999999999998,MSC06,150
0.7899999999999999,MSC07,150
0.8125,MSC10,150
0.95,MSC01,175
0.63,MSC02,175
0.75,MSC03,175
0.8444444444444446,MSC04,175
0.885,MSC05,175
0.7749999999999998,MSC06,175
0.8100000000000002,MSC07,175
0.8571428571428571,MSC10,175
0.95,MSC01,200
0.655,MSC02,200
0.6875,MSC03,200
0.8833333333333333,MSC04,200
0.95,MSC05,200
0.7749999999999999,MSC06,200
0.8149999999999998,MSC07,200
0.8857142857142858,MSC10,200
0.95,MSC01,225
0.6900000000000002,MSC02,225
0.7250000000000001,MSC03,225
0.9055555555555556,MSC04,225
0.92,MSC05,225
0.8300000000000001,MSC06,225
0.82,MSC07,225
0.9000000000000001,MSC10,225
0.95,MSC01,250
0.7100000000000001,MSC02,250
0.7000000000000001,MSC03,250
0.9388888888888891,MSC04,250
0.905,MSC05,250
0.8055555555555555,MSC06,250
0.865,MSC07,250
0.9357142857142856,MSC10,250
0.95,MSC01,275
0.7100000000000001,MSC02,275
0.8333333333333334,MSC03,275
0.8888888888888888,MSC04,275
0.915,MSC05,275
0.8166666666666667,MSC06,275
0.89,MSC07,275
0.9,MSC10,275
0.95,MSC01,300
0.7350000000000001,MSC02,300
0.8666666666666666,MSC03,300
0.95,MSC04,300
0.915,MSC05,300
0.8388888888888888,MSC06,300
0.9250000000000002,MSC07,300
0.675,MSC10,300
0.8833333333333334,MSC01,325
0.6428571428571427,MSC02,325
0.8666666666666666,MSC03,325
0.95,MSC04,325
0.9055555555555556,MSC05,325
0.7666666666666666,MSC06,325
0.925,MSC07,325
9999.0,MSC10,325
9999.0,MSC01,350
0.6499999999999999,MSC02,350
9999.0,MSC03,350
0.775,MSC04,350
0.89,MSC05,350
0.85,MSC06,350
0.625,MSC07,350
9999.0,MSC10,350
