Acc,Analysis,Frames
0.5,SS,5
0.5,SS,10
0.5,SS,15
0.5,SS,20
0.5,SS,25
0.5,SS,30
0.5349999999999999,SS,40
0.5722222222222222,SS,50
0.6166666666666667,SS,60
0.6427777777777779,SS,70
0.6672222222222223,SS,80
0.69,SS,90
0.7094444444444444,SS,100
0.7494444444444445,SS,125
0.7749999999999999,SS,150
0.7883333333333333,SS,175
0.8105555555555555,SS,200
0.8283333333333331,SS,225
0.8372222222222222,SS,250
0.8608641975308642,SS,275
0.8817901234567902,SS,300
0.8892746913580248,SS,325
0.8583333333333332,SS,350
0.5,DS,5
0.5,DS,10
0.5,DS,15
0.5,DS,20
0.5,DS,25
0.5,DS,30
0.5,DS,40
0.5002777777777777,DS,50
0.5033333333333334,DS,60
0.5102777777777777,DS,70
0.5275,DS,80
0.5288888888888889,DS,90
0.5355555555555556,DS,100
0.5816666666666667,DS,125
0.6652777777777781,DS,150
0.7016666666666667,DS,175
0.7513888888888889,DS,200
0.7902777777777777,DS,225
0.8192592592592595,DS,250
0.8450308641975309,DS,275
0.8545679012345679,DS,300
0.8615740740740742,DS,325
0.6916666666666665,DS,350
0.5,BS,5
0.5,BS,10
0.5,BS,15
0.5,BS,20
0.5,BS,25
0.5,BS,30
0.5,BS,40
0.5002777777777777,BS,50
0.5033333333333334,BS,60
0.5102777777777778,BS,70
0.5275,BS,80
0.5288888888888891,BS,90
0.5355555555555556,BS,100
0.5816666666666667,BS,125
0.6652777777777777,BS,150
0.7016666666666667,BS,175
0.7513888888888889,BS,200
0.7902777777777779,BS,225
0.819259259259259,BS,250
0.8450308641975307,BS,275
0.8545679012345676,BS,300
0.8615740740740739,BS,325
0.6916666666666667,BS,350
0.516667,CV,5
0.5,CV,10
0.5,CV,15
0.5,CV,20
0.533333,CV,25
0.516667,CV,30
0.566667,CV,40
0.616667,CV,50
0.766667,CV,60
0.766667,CV,70
0.766667,CV,80
0.833333,CV,90
0.833333,CV,100
0.866667,CV,125
0.933333,CV,150
0.966667,CV,175
0.983333,CV,200
0.983333,CV,225
0.983333,CV,250
0.983333,CV,275
1.0,CV,300
1.0,CV,325
0.895833,CV,350
