acc,train,test,frames,analysis
0.835,MSC01,MSC02,100,BS
0.675,MSC01,MSC03,100,BS
0.8799999999999999,MSC01,MSC04,100,BS
0.7899999999999998,MSC01,MSC05,100,BS
0.66,MSC01,MSC06,100,BS
0.8049999999999999,MSC01,MSC07,100,BS
0.82,MSC01,MSC10,100,BS
0.8800000000000001,MSC02,MSC01,100,BS
0.7000000000000001,MSC02,MSC03,100,BS
0.99,MSC02,MSC04,100,BS
0.9549999999999998,MSC02,MSC05,100,BS
0.8699999999999999,MSC02,MSC06,100,BS
0.82,MSC02,MSC07,100,BS
0.825,MSC02,MSC10,100,BS
0.5750000000000001,MSC03,MSC01,100,BS
0.64375,MSC03,MSC02,100,BS
0.69375,MSC03,MSC04,100,BS
0.7874999999999999,MSC03,MSC05,100,BS
0.5562499999999999,MSC03,MSC06,100,BS
0.5499999999999999,MSC03,MSC07,100,BS
0.66875,MSC03,MSC10,100,BS
0.6349999999999999,MSC04,MSC01,100,BS
0.5349999999999999,MSC04,MSC02,100,BS
0.625,MSC04,MSC03,100,BS
0.5149999999999999,MSC04,MSC05,100,BS
0.6049999999999999,MSC04,MSC06,100,BS
0.595,MSC04,MSC07,100,BS
0.93,MSC04,MSC10,100,BS
0.7649999999999999,MSC05,MSC01,100,BS
0.74,MSC05,MSC02,100,BS
0.8850000000000001,MSC05,MSC03,100,BS
0.6849999999999999,MSC05,MSC04,100,BS
0.7149999999999999,MSC05,MSC06,100,BS
0.6599999999999999,MSC05,MSC07,100,BS
0.74,MSC05,MSC10,100,BS
0.7150000000000001,MSC06,MSC01,100,BS
0.6849999999999999,MSC06,MSC02,100,BS
0.74,MSC06,MSC03,100,BS
0.9299999999999999,MSC06,MSC04,100,BS
0.8099999999999999,MSC06,MSC05,100,BS
0.6799999999999999,MSC06,MSC07,100,BS
0.745,MSC06,MSC10,100,BS
0.9,MSC07,MSC01,100,BS
0.735,MSC07,MSC02,100,BS
0.6300000000000001,MSC07,MSC03,100,BS
0.7849999999999999,MSC07,MSC04,100,BS
0.825,MSC07,MSC05,100,BS
0.69,MSC07,MSC06,100,BS
0.765,MSC07,MSC10,100,BS
0.8277777777777777,MSC10,MSC01,100,BS
0.6166666666666667,MSC10,MSC02,100,BS
0.7611111111111111,MSC10,MSC03,100,BS
0.8388888888888889,MSC10,MSC04,100,BS
0.8999999999999999,MSC10,MSC05,100,BS
0.7944444444444445,MSC10,MSC06,100,BS
0.6166666666666667,MSC10,MSC07,100,BS
