acc,train,test,frames
0.66,MSC01,MSC02,30
0.7200000000000001,MSC01,MSC03,30
0.8549999999999999,MSC01,MSC04,30
0.945,MSC01,MSC05,30
0.9650000000000001,MSC01,MSC06,30
0.7899999999999999,MSC01,MSC07,30
0.775,MSC01,MSC10,30
0.9349999999999999,MSC02,MSC01,30
0.905,MSC02,MSC03,30
0.96,MSC02,MSC04,30
0.8099999999999999,MSC02,MSC05,30
0.885,MSC02,MSC06,30
0.95,MSC02,MSC07,30
0.875,MSC02,MSC10,30
0.525,MSC03,MSC01,30
0.6312500000000001,MSC03,MSC02,30
0.575,MSC03,MSC04,30
0.6437499999999999,MSC03,MSC05,30
0.5,MSC03,MSC06,30
0.6124999999999999,MSC03,MSC07,30
0.7125,MSC03,MSC10,30
0.5,MSC04,MSC01,30
0.63,MSC04,MSC02,30
0.615,MSC04,MSC03,30
0.875,MSC04,MSC05,30
0.8300000000000001,MSC04,MSC06,30
0.5499999999999999,MSC04,MSC07,30
0.625,MSC04,MSC10,30
0.9,MSC05,MSC01,30
0.58,MSC05,MSC02,30
0.9149999999999998,MSC05,MSC03,30
0.9,MSC05,MSC04,30
0.9450000000000001,MSC05,MSC06,30
0.9299999999999999,MSC05,MSC07,30
0.76,MSC05,MSC10,30
0.9850000000000001,MSC06,MSC01,30
0.915,MSC06,MSC02,30
0.9299999999999999,MSC06,MSC03,30
0.845,MSC06,MSC04,30
0.9899999999999999,MSC06,MSC05,30
0.885,MSC06,MSC07,30
0.9400000000000001,MSC06,MSC10,30
0.9299999999999999,MSC07,MSC01,30
0.8800000000000001,MSC07,MSC02,30
0.8150000000000001,MSC07,MSC03,30
0.9,MSC07,MSC04,30
0.8150000000000001,MSC07,MSC05,30
0.8700000000000001,MSC07,MSC06,30
0.885,MSC07,MSC10,30
0.845,MSC10,MSC01,30
0.8450000000000001,MSC10,MSC02,30
0.845,MSC10,MSC03,30
0.8150000000000001,MSC10,MSC04,30
0.875,MSC10,MSC05,30
0.8300000000000001,MSC10,MSC06,30
0.685,MSC10,MSC07,30
