acc,train,frames
0.875,MSC01,5
0.425,MSC02,5
0.39375,MSC03,5
0.745,MSC04,5
0.525,MSC05,5
0.765,MSC06,5
0.6549999999999999,MSC07,5
0.745,MSC10,5
0.89,MSC01,10
0.755,MSC02,10
0.7687499999999999,MSC03,10
0.8949999999999999,MSC04,10
0.6649999999999999,MSC05,10
0.5,MSC06,10
0.8,MSC07,10
0.805,MSC10,10
0.935,MSC01,15
0.73,MSC02,15
0.6125,MSC03,15
0.91,MSC04,15
0.935,MSC05,15
0.745,MSC06,15
0.885,MSC07,15
0.6399999999999999,MSC10,15
0.9000000000000001,MSC01,20
0.625,MSC02,20
0.8187500000000001,MSC03,20
0.85,MSC04,20
0.945,MSC05,20
0.7699999999999999,MSC06,20
0.7899999999999999,MSC07,20
0.835,MSC10,20
0.9000000000000001,MSC01,25
0.515,MSC02,25
0.625,MSC03,25
0.9000000000000001,MSC04,25
0.8599999999999998,MSC05,25
0.8149999999999998,MSC06,25
0.8600000000000001,MSC07,25
0.8249999999999998,MSC10,25
0.96,MSC01,30
0.585,MSC02,30
0.54375,MSC03,30
0.9549999999999998,MSC04,30
0.9,MSC05,30
0.7499999999999999,MSC06,30
0.76,MSC07,30
0.745,MSC10,30
0.9399999999999998,MSC01,40
0.6950000000000001,MSC02,40
0.7625,MSC03,40
0.95,MSC04,40
0.9,MSC05,40
0.7649999999999999,MSC06,40
0.78,MSC07,40
0.775,MSC10,40
0.9,MSC01,50
0.7899999999999999,MSC02,50
0.79375,MSC03,50
0.95,MSC04,50
0.995,MSC05,50
0.735,MSC06,50
0.7999999999999999,MSC07,50
0.905,MSC10,50
0.945,MSC01,60
0.6900000000000002,MSC02,60
0.5812499999999999,MSC03,60
0.915,MSC04,60
0.9500000000000002,MSC05,60
0.6950000000000001,MSC06,60
0.995,MSC07,60
0.8900000000000002,MSC10,60
0.925,MSC01,70
0.63,MSC02,70
0.6625,MSC03,70
0.905,MSC04,70
0.8950000000000001,MSC05,70
0.8049999999999999,MSC06,70
0.8499999999999999,MSC07,70
0.7150000000000001,MSC10,70
0.9399999999999998,MSC01,80
0.7899999999999998,MSC02,80
0.6625,MSC03,80
0.95,MSC04,80
0.905,MSC05,80
0.7899999999999999,MSC06,80
0.8049999999999999,MSC07,80
0.77,MSC10,80
0.945,MSC01,90
0.745,MSC02,90
0.65,MSC03,90
0.945,MSC04,90
0.85,MSC05,90
0.76,MSC06,90
0.905,MSC07,90
0.9350000000000002,MSC10,90
0.945,MSC01,100
0.7350000000000001,MSC02,100
0.7062499999999999,MSC03,100
0.91,MSC04,100
0.9549999999999998,MSC05,100
0.7949999999999999,MSC06,100
0.92,MSC07,100
0.8777777777777778,MSC10,100
0.95,MSC01,125
0.7100000000000001,MSC02,125
0.7666666666666666,MSC03,125
0.945,MSC04,125
0.7899999999999999,MSC05,125
0.78,MSC06,125
0.905,MSC07,125
0.8333333333333333,MSC10,125
0.945,MSC01,150
0.745,MSC02,150
0.77,MSC03,150
0.95,MSC04,150
0.8950000000000001,MSC05,150
0.76,MSC06,150
0.8949999999999999,MSC07,150
0.84375,MSC10,150
0.945,MSC01,175
0.74,MSC02,175
0.7625,MSC03,175
0.9444444444444444,MSC04,175
0.8399999999999999,MSC05,175
0.7699999999999999,MSC06,175
0.92,MSC07,175
0.8071428571428572,MSC10,175
0.945,MSC01,200
0.7150000000000001,MSC02,200
0.7875000000000001,MSC03,200
0.8777777777777778,MSC04,200
0.8699999999999999,MSC05,200
0.7849999999999999,MSC06,200
0.82,MSC07,200
0.8214285714285715,MSC10,200
0.9375,MSC01,225
0.7649999999999999,MSC02,225
0.8,MSC03,225
0.8944444444444444,MSC04,225
0.8499999999999999,MSC05,225
0.755,MSC06,225
0.925,MSC07,225
0.7928571428571428,MSC10,225
0.94375,MSC01,250
0.755,MSC02,250
0.6833333333333335,MSC03,250
0.9166666666666669,MSC04,250
0.8499999999999999,MSC05,250
0.7222222222222222,MSC06,250
0.8949999999999999,MSC07,250
0.7571428571428572,MSC10,250
0.9357142857142858,MSC01,275
0.725,MSC02,275
0.6333333333333333,MSC03,275
0.9166666666666666,MSC04,275
0.8499999999999999,MSC05,275
0.7833333333333333,MSC06,275
0.9149999999999998,MSC07,275
0.76,MSC10,275
0.93,MSC01,300
0.7300000000000001,MSC02,300
0.7000000000000001,MSC03,300
0.942857142857143,MSC04,300
0.86,MSC05,300
0.7833333333333333,MSC06,300
0.8549999999999999,MSC07,300
0.55,MSC10,300
0.7833333333333333,MSC01,325
0.65,MSC02,325
0.6833333333333332,MSC03,325
0.9166666666666666,MSC04,325
0.8444444444444443,MSC05,325
0.7611111111111111,MSC06,325
0.825,MSC07,325
9999.0,MSC10,325
9999.0,MSC01,350
0.6,MSC02,350
9999.0,MSC03,350
0.625,MSC04,350
0.76,MSC05,350
0.7916666666666666,MSC06,350
0.6875,MSC07,350
9999.0,MSC10,350
