train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.575
mixed,mem,MSC01,MSC02,0.73
motor,mixed,MSC01,MSC02,0.4700000000000001
motor,mem,MSC01,MSC02,0.5599999999999999
mem,mixed,MSC01,MSC02,0.5349999999999999
mem,motor,MSC01,MSC02,0.5800000000000001
mixed,motor,MSC01,MSC03,0.4600000000000001
mixed,mem,MSC01,MSC03,0.49375
motor,mixed,MSC01,MSC03,0.37
motor,mem,MSC01,MSC03,0.45
mem,mixed,MSC01,MSC03,0.315
mem,motor,MSC01,MSC03,0.365
mixed,motor,MSC01,MSC04,0.45499999999999996
mixed,mem,MSC01,MSC04,0.6
motor,mixed,MSC01,MSC04,0.5850000000000001
motor,mem,MSC01,MSC04,0.495
mem,mixed,MSC01,MSC04,0.6550000000000001
mem,motor,MSC01,MSC04,0.45000000000000007
mixed,motor,MSC01,MSC05,0.5700000000000001
mixed,mem,MSC01,MSC05,0.6900000000000001
motor,mixed,MSC01,MSC05,0.615
motor,mem,MSC01,MSC05,0.74
mem,mixed,MSC01,MSC05,0.5349999999999999
mem,motor,MSC01,MSC05,0.545
mixed,motor,MSC01,MSC06,0.47777777777777786
mixed,mem,MSC01,MSC06,0.4800000000000001
motor,mixed,MSC01,MSC06,0.475
motor,mem,MSC01,MSC06,0.47000000000000003
mem,mixed,MSC01,MSC06,0.525
mem,motor,MSC01,MSC06,0.47777777777777786
mixed,motor,MSC01,MSC07,0.29444444444444445
mixed,mem,MSC01,MSC07,0.535
motor,mixed,MSC01,MSC07,0.515
motor,mem,MSC01,MSC07,0.47000000000000003
mem,mixed,MSC01,MSC07,0.585
mem,motor,MSC01,MSC07,0.3055555555555555
mixed,motor,MSC01,MSC10,0.43
mixed,mem,MSC01,MSC10,0.6
motor,mixed,MSC01,MSC10,0.52
motor,mem,MSC01,MSC10,0.535
mem,mixed,MSC01,MSC10,0.51
mem,motor,MSC01,MSC10,0.5250000000000001
mixed,motor,MSC02,MSC01,0.495
mixed,mem,MSC02,MSC01,0.6500000000000001
motor,mixed,MSC02,MSC01,0.4750000000000001
motor,mem,MSC02,MSC01,0.44000000000000006
mem,mixed,MSC02,MSC01,0.7699999999999999
mem,motor,MSC02,MSC01,0.6799999999999999
mixed,motor,MSC02,MSC03,0.45499999999999996
mixed,mem,MSC02,MSC03,0.6125
motor,mixed,MSC02,MSC03,0.54
motor,mem,MSC02,MSC03,0.5625
mem,mixed,MSC02,MSC03,0.41500000000000004
mem,motor,MSC02,MSC03,0.49499999999999994
mixed,motor,MSC02,MSC04,0.45499999999999996
mixed,mem,MSC02,MSC04,0.72
motor,mixed,MSC02,MSC04,0.40499999999999997
motor,mem,MSC02,MSC04,0.48999999999999994
mem,mixed,MSC02,MSC04,0.42000000000000004
mem,motor,MSC02,MSC04,0.30999999999999994
mixed,motor,MSC02,MSC05,0.6100000000000001
mixed,mem,MSC02,MSC05,0.425
motor,mixed,MSC02,MSC05,0.48500000000000004
motor,mem,MSC02,MSC05,0.515
mem,mixed,MSC02,MSC05,0.58
mem,motor,MSC02,MSC05,0.5399999999999999
mixed,motor,MSC02,MSC06,0.5277777777777778
mixed,mem,MSC02,MSC06,0.5200000000000001
motor,mixed,MSC02,MSC06,0.58
motor,mem,MSC02,MSC06,0.5799999999999998
mem,mixed,MSC02,MSC06,0.6099999999999999
mem,motor,MSC02,MSC06,0.65
mixed,motor,MSC02,MSC07,0.4
mixed,mem,MSC02,MSC07,0.575
motor,mixed,MSC02,MSC07,0.595
motor,mem,MSC02,MSC07,0.53
mem,mixed,MSC02,MSC07,0.54
mem,motor,MSC02,MSC07,0.38333333333333336
mixed,motor,MSC02,MSC10,0.4600000000000001
mixed,mem,MSC02,MSC10,0.5850000000000001
motor,mixed,MSC02,MSC10,0.54
motor,mem,MSC02,MSC10,0.685
mem,mixed,MSC02,MSC10,0.505
mem,motor,MSC02,MSC10,0.58
mixed,motor,MSC03,MSC01,0.52
mixed,mem,MSC03,MSC01,0.52
motor,mixed,MSC03,MSC01,0.545
motor,mem,MSC03,MSC01,0.44000000000000006
mem,mixed,MSC03,MSC01,0.575
mem,motor,MSC03,MSC01,0.4125
mixed,motor,MSC03,MSC02,0.445
