,Task,Accuracy,Features
0,mixed,0.8,10
1,mixed,0.5,10
2,mixed,0.4,10
3,mixed,0.55,10
4,mixed,0.3,10
5,mixed,0.55,10
6,mixed,0.5,10
7,mixed,0.6,10
8,motor,0.65,10
9,motor,0.75,10
10,motor,0.75,10
11,motor,0.85,10
12,motor,0.35,10
13,motor,0.6111111111111112,10
14,motor,0.5555555555555556,10
15,motor,0.75,10
16,mem,0.55,10
17,mem,0.25,10
18,mem,0.5416666666666666,10
19,mem,0.75,10
20,mem,0.5,10
21,mem,0.4,10
22,mem,0.5,10
23,mem,0.7,10
0,mixed,0.9,20
1,mixed,0.65,20
2,mixed,0.65,20
3,mixed,0.6,20
4,mixed,0.75,20
5,mixed,0.5,20
6,mixed,0.5,20
7,mixed,0.4,20
8,motor,0.8,20
9,motor,0.6,20
10,motor,0.55,20
11,motor,0.7,20
12,motor,0.5,20
13,motor,0.7222222222222222,20
14,motor,0.4814814814814815,20
15,motor,0.55,20
16,mem,0.65,20
17,mem,0.55,20
18,mem,0.5833333333333333,20
19,mem,0.7,20
20,mem,0.55,20
21,mem,0.4,20
22,mem,0.6,20
23,mem,0.75,20
0,mixed,0.7,30
1,mixed,0.4,30
2,mixed,0.6,30
3,mixed,0.65,30
4,mixed,0.5,30
5,mixed,0.7,30
6,mixed,0.45,30
7,mixed,0.5,30
8,motor,0.9,30
9,motor,0.5,30
10,motor,0.75,30
11,motor,0.6,30
12,motor,0.55,30
13,motor,1.0,30
14,motor,0.574074074074074,30
15,motor,0.55,30
16,mem,0.65,30
17,mem,0.35,30
18,mem,0.7291666666666666,30
19,mem,0.6,30
20,mem,0.45,30
21,mem,0.6,30
22,mem,0.5,30
23,mem,0.6,30
0,mixed,0.75,40
1,mixed,0.65,40
2,mixed,0.6,40
3,mixed,0.5,40
4,mixed,0.65,40
5,mixed,0.55,40
6,mixed,0.9,40
7,mixed,0.75,40
8,motor,0.65,40
9,motor,0.6,40
10,motor,0.9,40
11,motor,0.65,40
12,motor,0.95,40
13,motor,0.7037037037037037,40
14,motor,0.4814814814814815,40
15,motor,0.85,40
16,mem,0.75,40
17,mem,0.65,40
18,mem,0.4791666666666666,40
19,mem,0.45,40
20,mem,0.7,40
21,mem,0.55,40
22,mem,0.8,40
23,mem,0.7,40
0,mixed,0.9,50
1,mixed,0.5,50
2,mixed,0.65,50
3,mixed,0.6,50
4,mixed,1.0,50
5,mixed,0.8,50
6,mixed,0.7,50
7,mixed,0.55,50
8,motor,0.8,50
9,motor,0.6,50
10,motor,0.75,50
11,motor,0.7,50
12,motor,0.7,50
13,motor,0.6851851851851851,50
14,motor,0.7407407407407407,50
15,motor,0.9,50
16,mem,0.9,50
17,mem,0.55,50
18,mem,0.5416666666666666,50
19,mem,0.45,50
20,mem,0.7,50
21,mem,0.4,50
22,mem,0.75,50
23,mem,0.75,50
0,mixed,0.7,60
1,mixed,0.45,60
2,mixed,0.75,60
3,mixed,0.65,60
4,mixed,0.3,60
5,mixed,0.8,60
6,mixed,0.7,60
7,mixed,0.65,60
8,motor,0.7,60
9,motor,0.6,60
10,motor,0.7,60
11,motor,0.55,60
12,motor,0.6,60
13,motor,0.5555555555555556,60
14,motor,0.7777777777777778,60
15,motor,0.75,60
16,mem,0.65,60
17,mem,0.65,60
18,mem,0.6458333333333333,60
19,mem,0.7,60
20,mem,0.65,60
21,mem,0.85,60
22,mem,0.6,60
23,mem,0.75,60
0,mixed,0.85,70
1,mixed,0.5,70
2,mixed,0.9,70
3,mixed,0.8,70
4,mixed,0.8,70
5,mixed,0.7,70
6,mixed,0.7,70
7,mixed,0.55,70
8,motor,0.95,70
9,motor,0.6,70
10,motor,0.95,70
11,motor,0.7,70
12,motor,0.7,70
13,motor,0.4259259259259259,70
14,motor,0.6851851851851851,70
15,motor,0.6,70
16,mem,0.8,70
17,mem,0.6,70
18,mem,0.8125,70
19,mem,0.55,70
20,mem,0.65,70
21,mem,0.55,70
22,mem,0.75,70
23,mem,0.75,70
0,mixed,0.8,80
1,mixed,0.75,80
2,mixed,0.8,80
3,mixed,0.7,80
4,mixed,0.55,80
5,mixed,0.75,80
6,mixed,0.7,80
7,mixed,0.75,80
8,motor,0.7,80
9,motor,0.45,80
10,motor,0.95,80
11,motor,0.7,80
12,motor,0.8,80
13,motor,0.8333333333333334,80
14,motor,0.7777777777777778,80
15,motor,0.85,80
16,mem,0.75,80
17,mem,0.75,80
18,mem,0.625,80
19,mem,0.7,80
20,mem,0.7,80
21,mem,0.65,80
22,mem,0.75,80
23,mem,0.75,80
0,mixed,0.9,90
1,mixed,0.45,90
2,mixed,0.7,90
3,mixed,0.8,90
4,mixed,0.75,90
5,mixed,0.8,90
6,mixed,0.6,90
7,mixed,0.75,90
8,motor,0.65,90
9,motor,0.65,90
10,motor,0.95,90
11,motor,0.75,90
12,motor,0.6,90
13,motor,0.5925925925925926,90
14,motor,0.6296296296296295,90
15,motor,0.9,90
16,mem,0.55,90
17,mem,0.8,90
18,mem,0.7291666666666666,90
19,mem,0.85,90
20,mem,0.5,90
21,mem,0.65,90
22,mem,0.8,90
23,mem,0.65,90
0,mixed,0.8,100
1,mixed,0.75,100
2,mixed,0.6,100
3,mixed,0.85,100
4,mixed,0.85,100
5,mixed,0.5,100
6,mixed,0.7,100
7,mixed,0.65,100
8,motor,0.8,100
9,motor,0.5,100
10,motor,0.9,100
11,motor,0.7,100
12,motor,0.9,100
13,motor,0.7407407407407407,100
14,motor,0.9444444444444444,100
15,motor,0.6,100
16,mem,0.6,100
17,mem,0.8,100
18,mem,0.8333333333333333,100
19,mem,0.65,100
20,mem,0.85,100
21,mem,0.65,100
22,mem,0.55,100
23,mem,0.75,100
0,mixed,0.8,200
1,mixed,0.85,200
2,mixed,0.95,200
3,mixed,0.6,200
4,mixed,0.75,200
5,mixed,0.75,200
6,mixed,0.6,200
7,mixed,0.65,200
8,motor,0.9,200
9,motor,0.65,200
10,motor,0.8,200
11,motor,0.8,200
12,motor,0.75,200
13,motor,0.9444444444444444,200
14,motor,1.0,200
15,motor,0.85,200
16,mem,0.85,200
17,mem,0.75,200
18,mem,0.7291666666666666,200
19,mem,0.95,200
20,mem,0.75,200
21,mem,0.75,200
22,mem,0.75,200
23,mem,0.7,200
0,mixed,1.0,300
1,mixed,0.8,300
2,mixed,0.8,300
3,mixed,0.9,300
4,mixed,0.85,300
5,mixed,0.5,300
6,mixed,0.7,300
7,mixed,0.8,300
8,motor,0.95,300
9,motor,0.9,300
10,motor,0.95,300
11,motor,0.9,300
12,motor,0.9,300
13,motor,0.7777777777777778,300
14,motor,0.9444444444444444,300
15,motor,0.95,300
16,mem,0.9,300
17,mem,0.65,300
18,mem,0.875,300
19,mem,0.8,300
20,mem,0.9,300
21,mem,0.8,300
22,mem,0.75,300
23,mem,0.65,300
0,mixed,1.0,400
1,mixed,0.65,400
2,mixed,0.6,400
3,mixed,0.8,400
4,mixed,0.85,400
5,mixed,0.7,400
6,mixed,0.9,400
7,mixed,0.6,400
8,motor,0.95,400
9,motor,0.85,400
10,motor,0.85,400
11,motor,0.95,400
12,motor,0.8,400
13,motor,0.8888888888888888,400
14,motor,0.9074074074074072,400
15,motor,0.9,400
16,mem,0.9,400
17,mem,0.7,400
18,mem,0.8958333333333333,400
19,mem,1.0,400
20,mem,0.95,400
21,mem,0.8,400
22,mem,0.8,400
23,mem,0.85,400
0,mixed,0.95,500
1,mixed,0.75,500
2,mixed,0.8,500
3,mixed,0.85,500
4,mixed,0.75,500
5,mixed,0.65,500
6,mixed,0.75,500
7,mixed,0.8,500
8,motor,1.0,500
9,motor,0.85,500
10,motor,0.95,500
11,motor,0.95,500
12,motor,0.85,500
13,motor,0.8518518518518517,500
14,motor,1.0,500
15,motor,0.95,500
16,mem,0.9,500
17,mem,0.7,500
18,mem,0.8125,500
19,mem,0.9,500
20,mem,0.85,500
21,mem,0.65,500
22,mem,0.9,500
23,mem,0.85,500
0,mixed,0.95,1000
1,mixed,0.65,1000
2,mixed,0.65,1000
3,mixed,0.85,1000
4,mixed,0.9,1000
5,mixed,0.7,1000
6,mixed,0.9,1000
7,mixed,0.8,1000
8,motor,1.0,1000
9,motor,0.9,1000
10,motor,1.0,1000
11,motor,0.9,1000
12,motor,0.8,1000
13,motor,0.9629629629629628,1000
14,motor,0.9444444444444444,1000
15,motor,0.95,1000
16,mem,1.0,1000
17,mem,0.85,1000
18,mem,0.8125,1000
19,mem,0.95,1000
20,mem,1.0,1000
21,mem,0.65,1000
22,mem,0.9,1000
23,mem,0.75,1000
0,mixed,1.0,1500
1,mixed,0.75,1500
2,mixed,0.9,1500
3,mixed,0.7,1500
4,mixed,0.75,1500
5,mixed,0.7,1500
6,mixed,0.9,1500
7,mixed,0.9,1500
8,motor,0.95,1500
9,motor,0.85,1500
10,motor,0.95,1500
11,motor,0.95,1500
12,motor,0.8,1500
13,motor,1.0,1500
