train_sub,test_sub,task,acc
MSC01,MSC02,mixed,0.8149999999999998
MSC01,MSC02,motor,0.915
MSC01,MSC02,mem,0.9299999999999999
MSC01,MSC03,mixed,0.53
MSC01,MSC03,motor,0.9199999999999999
MSC01,MSC03,mem,0.85
MSC01,MSC04,mixed,0.7799999999999999
MSC01,MSC04,motor,0.9949999999999999
MSC01,MSC04,mem,0.905
MSC01,MSC05,mixed,0.6649999999999998
MSC01,MSC05,motor,0.8950000000000001
MSC01,MSC05,mem,0.9949999999999999
MSC01,MSC06,mixed,0.7849999999999999
MSC01,MSC06,motor,0.8388888888888889
MSC01,MSC06,mem,0.9949999999999999
MSC01,MSC07,mixed,0.6249999999999999
MSC01,MSC07,motor,0.9000000000000001
MSC01,MSC07,mem,0.7150000000000001
MSC01,MSC10,mixed,0.6900000000000001
MSC01,MSC10,motor,0.9800000000000001
MSC01,MSC10,mem,0.9200000000000002
MSC02,MSC01,mixed,0.645
MSC02,MSC01,motor,0.5
MSC02,MSC01,mem,1.0
MSC02,MSC03,mixed,0.6950000000000001
MSC02,MSC03,motor,0.655
MSC02,MSC03,mem,0.875
MSC02,MSC04,mixed,0.605
MSC02,MSC04,motor,0.6300000000000001
MSC02,MSC04,mem,0.975
MSC02,MSC05,mixed,0.7799999999999999
MSC02,MSC05,motor,0.5799999999999998
MSC02,MSC05,mem,0.985
MSC02,MSC06,mixed,0.595
MSC02,MSC06,motor,0.5888888888888889
MSC02,MSC06,mem,0.915
MSC02,MSC07,mixed,0.7300000000000001
MSC02,MSC07,motor,0.5
MSC02,MSC07,mem,0.97
MSC02,MSC10,mixed,0.605
MSC02,MSC10,motor,0.505
MSC02,MSC10,mem,0.99
MSC03,MSC01,mixed,0.5349999999999999
MSC03,MSC01,motor,0.8300000000000001
MSC03,MSC01,mem,0.68125
MSC03,MSC02,mixed,0.71
MSC03,MSC02,motor,0.9949999999999999
MSC03,MSC02,mem,0.86875
MSC03,MSC04,mixed,0.525
MSC03,MSC04,motor,0.8550000000000001
MSC03,MSC04,mem,0.8250000000000001
MSC03,MSC05,mixed,0.7949999999999999
MSC03,MSC05,motor,0.7899999999999998
MSC03,MSC05,mem,0.8437499999999999
MSC03,MSC06,mixed,0.505
MSC03,MSC06,motor,0.75
MSC03,MSC06,mem,0.65625
MSC03,MSC07,mixed,0.56
MSC03,MSC07,motor,0.7722222222222223
MSC03,MSC07,mem,0.59375
MSC03,MSC10,mixed,0.515
MSC03,MSC10,motor,0.72
MSC03,MSC10,mem,0.7875
MSC04,MSC01,mixed,0.6749999999999999
MSC04,MSC01,motor,1.0
MSC04,MSC01,mem,0.95
MSC04,MSC02,mixed,0.75
MSC04,MSC02,motor,0.9850000000000001
MSC04,MSC02,mem,0.9700000000000001
MSC04,MSC03,mixed,0.725
MSC04,MSC03,motor,0.96
MSC04,MSC03,mem,0.71875
MSC04,MSC05,mixed,0.905
MSC04,MSC05,motor,0.8949999999999999
MSC04,MSC05,mem,0.9399999999999998
MSC04,MSC06,mixed,0.945
MSC04,MSC06,motor,0.95
MSC04,MSC06,mem,1.0
MSC04,MSC07,mixed,0.505
MSC04,MSC07,motor,0.9833333333333334
MSC04,MSC07,mem,0.8300000000000001
MSC04,MSC10,mixed,0.775
MSC04,MSC10,motor,0.9949999999999999
MSC04,MSC10,mem,0.905
MSC05,MSC01,mixed,0.865
MSC05,MSC01,motor,0.725
MSC05,MSC01,mem,0.9949999999999999
MSC05,MSC02,mixed,0.625
MSC05,MSC02,motor,0.9000000000000001
MSC05,MSC02,mem,0.845
MSC05,MSC03,mixed,0.9349999999999999
MSC05,MSC03,motor,0.7899999999999999
MSC05,MSC03,mem,0.8875
MSC05,MSC04,mixed,0.745
MSC05,MSC04,motor,0.725
MSC05,MSC04,mem,0.7899999999999999
MSC05,MSC06,mixed,0.8400000000000001
MSC05,MSC06,motor,0.7111111111111111
MSC05,MSC06,mem,0.9650000000000001
MSC05,MSC07,mixed,0.86
MSC05,MSC07,motor,0.7722222222222221
MSC05,MSC07,mem,0.89
MSC05,MSC10,mixed,0.755
MSC05,MSC10,motor,0.6850000000000002
MSC05,MSC10,mem,0.8549999999999999
MSC06,MSC01,mixed,0.5700000000000001
MSC06,MSC01,motor,0.6777777777777778
MSC06,MSC01,mem,0.9949999999999999
MSC06,MSC02,mixed,0.5349999999999999
MSC06,MSC02,motor,0.5944444444444444
MSC06,MSC02,mem,0.9049999999999999
MSC06,MSC03,mixed,0.5549999999999999
MSC06,MSC03,motor,0.7722222222222223
MSC06,MSC03,mem,0.8625
MSC06,MSC04,mixed,0.7599999999999999
MSC06,MSC04,motor,0.9722222222222222
MSC06,MSC04,mem,0.975
MSC06,MSC05,mixed,0.51
MSC06,MSC05,motor,0.6555555555555554
MSC06,MSC05,mem,0.985
MSC06,MSC07,mixed,0.755
MSC06,MSC07,motor,0.8333333333333334
MSC06,MSC07,mem,0.9399999999999998
MSC06,MSC10,mixed,0.6950000000000001
MSC06,MSC10,motor,0.8111111111111112
MSC06,MSC10,mem,0.9550000000000001
MSC07,MSC01,mixed,0.9400000000000001
MSC07,MSC01,motor,0.8611111111111112
MSC07,MSC01,mem,0.975
MSC07,MSC02,mixed,0.7649999999999999
MSC07,MSC02,motor,0.8777777777777778
MSC07,MSC02,mem,0.77
MSC07,MSC03,mixed,0.665
MSC07,MSC03,motor,0.8833333333333334
MSC07,MSC03,mem,0.7125
MSC07,MSC04,mixed,0.745
MSC07,MSC04,motor,0.8888888888888888
MSC07,MSC04,mem,0.9299999999999999
MSC07,MSC05,mixed,0.58
MSC07,MSC05,motor,0.9055555555555556
MSC07,MSC05,mem,0.9400000000000001
MSC07,MSC06,mixed,0.5499999999999999
MSC07,MSC06,motor,0.845679012345679
MSC07,MSC06,mem,0.96
MSC07,MSC10,mixed,0.675
MSC07,MSC10,motor,0.9111111111111112
MSC07,MSC10,mem,0.8699999999999999
