train_task,test_task,sub,acc
mixed,motor,MSC01,0.8099999999999999
mixed,mem,MSC01,0.8549999999999999
motor,mixed,MSC01,0.8550000000000001
motor,mem,MSC01,0.805
mem,mixed,MSC01,0.875
mem,motor,MSC01,0.7499999999999999
mixed,motor,MSC02,0.6649999999999999
mixed,mem,MSC02,0.5999999999999999
motor,mixed,MSC02,0.615
motor,mem,MSC02,0.645
mem,mixed,MSC02,0.55
mem,motor,MSC02,0.5599999999999999
mixed,motor,MSC03,0.785
mixed,mem,MSC03,0.64375
motor,mixed,MSC03,0.5850000000000001
motor,mem,MSC03,0.53125
mem,mixed,MSC03,0.58125
mem,motor,MSC03,0.6375
mixed,motor,MSC04,0.7350000000000001
mixed,mem,MSC04,0.705
motor,mixed,MSC04,0.8
motor,mem,MSC04,0.7749999999999999
mem,mixed,MSC04,0.8300000000000001
mem,motor,MSC04,0.82
mixed,motor,MSC05,0.695
mixed,mem,MSC05,0.795
motor,mixed,MSC05,0.74
motor,mem,MSC05,0.705
mem,mixed,MSC05,0.755
mem,motor,MSC05,0.5999999999999999
mixed,motor,MSC06,0.711111111111111
mixed,mem,MSC06,0.71
motor,mixed,MSC06,0.7833333333333332
motor,mem,MSC06,0.6555555555555554
mem,mixed,MSC06,0.6950000000000001
mem,motor,MSC06,0.7166666666666667
mixed,motor,MSC07,0.7055555555555555
mixed,mem,MSC07,0.7749999999999999
motor,mixed,MSC07,0.6388888888888888
motor,mem,MSC07,0.5444444444444444
mem,mixed,MSC07,0.6399999999999999
mem,motor,MSC07,0.47777777777777786
mixed,motor,MSC10,0.6649999999999999
mixed,mem,MSC10,0.6249999999999999
motor,mixed,MSC10,0.7150000000000001
motor,mem,MSC10,0.665
mem,mixed,MSC10,0.72
mem,motor,MSC10,0.755
