,train_task,test_task,train_sub,test_sub,acc
0,glass,semantic,MSC01,MSC02,0.5
1,glass,motor,MSC01,MSC02,0.5
2,glass,mem,MSC01,MSC02,0.505
3,semantic,glass,MSC01,MSC02,0.5499999999999999
4,semantic,motor,MSC01,MSC02,0.5
5,semantic,mem,MSC01,MSC02,0.5
6,motor,glass,MSC01,MSC02,0.61
7,motor,semantic,MSC01,MSC02,0.6199999999999999
8,motor,mem,MSC01,MSC02,0.5
9,mem,glass,MSC01,MSC02,0.5499999999999999
10,mem,semantic,MSC01,MSC02,0.565
11,mem,motor,MSC01,MSC02,0.59
12,glass,semantic,MSC01,MSC03,0.65
13,glass,motor,MSC01,MSC03,0.48500000000000004
14,glass,mem,MSC01,MSC03,0.6150000000000001
15,semantic,glass,MSC01,MSC03,0.5799999999999998
16,semantic,motor,MSC01,MSC03,0.5899999999999999
17,semantic,mem,MSC01,MSC03,0.62
18,motor,glass,MSC01,MSC03,0.6500000000000001
19,motor,semantic,MSC01,MSC03,0.7799999999999999
20,motor,mem,MSC01,MSC03,0.7150000000000001
21,mem,glass,MSC01,MSC03,0.615
22,mem,semantic,MSC01,MSC03,0.615
23,mem,motor,MSC01,MSC03,0.475
24,glass,semantic,MSC01,MSC04,0.5
25,glass,motor,MSC01,MSC04,0.5549999999999999
26,glass,mem,MSC01,MSC04,0.5499999999999999
27,semantic,glass,MSC01,MSC04,0.5
28,semantic,motor,MSC01,MSC04,0.5
29,semantic,mem,MSC01,MSC04,0.5449999999999999
30,motor,glass,MSC01,MSC04,0.5
31,motor,semantic,MSC01,MSC04,0.505
32,motor,mem,MSC01,MSC04,0.5449999999999999
33,mem,glass,MSC01,MSC04,0.47000000000000003
34,mem,semantic,MSC01,MSC04,0.4600000000000001
35,mem,motor,MSC01,MSC04,0.525
36,glass,semantic,MSC01,MSC05,0.5449999999999999
37,glass,motor,MSC01,MSC05,0.55
38,glass,mem,MSC01,MSC05,0.5
39,semantic,glass,MSC01,MSC05,0.5499999999999999
40,semantic,motor,MSC01,MSC05,0.525
41,semantic,mem,MSC01,MSC05,0.5
42,motor,glass,MSC01,MSC05,0.6049999999999999
43,motor,semantic,MSC01,MSC05,0.635
44,motor,mem,MSC01,MSC05,0.6900000000000002
45,mem,glass,MSC01,MSC05,0.56
46,mem,semantic,MSC01,MSC05,0.61
47,mem,motor,MSC01,MSC05,0.5900000000000001
48,glass,semantic,MSC01,MSC06,0.5
