,test_task,train_task,Mean,Std
0,glass,mem,0.5591964285714287,0.0984263339044394
1,glass,motor,0.5704464285714287,0.12727796051478915
2,glass,semantic,0.566765873015873,0.09755605641382534
3,mem,glass,0.5370734126984126,0.0632582836451911
4,mem,motor,0.5584821428571428,0.11086814298918389
5,mem,semantic,0.5209821428571428,0.06719320611529073
6,motor,glass,0.573501984126984,0.10253809998655924
7,motor,mem,0.5665178571428571,0.10398391327882991
8,motor,semantic,0.550357142857143,0.08791967999185467
9,semantic,glass,0.5717757936507937,0.09481090043993802
10,semantic,mem,0.5620535714285715,0.10214862961619961
11,semantic,motor,0.5744642857142856,0.12337923271335036
