,train_task,test_task,train_sub,test_sub,acc
0,glass,semantic,MSC01,MSC02,0.76
1,glass,motor,MSC01,MSC02,0.5799999999999998
2,glass,mem,MSC01,MSC02,0.745
3,semantic,glass,MSC01,MSC02,0.505
4,semantic,motor,MSC01,MSC02,0.5
5,semantic,mem,MSC01,MSC02,0.6199999999999999
6,motor,glass,MSC01,MSC02,0.6650000000000001
7,motor,semantic,MSC01,MSC02,0.8149999999999998
8,motor,mem,MSC01,MSC02,0.8299999999999998
9,mem,glass,MSC01,MSC02,0.8049999999999999
10,mem,semantic,MSC01,MSC02,0.8799999999999999
11,mem,motor,MSC01,MSC02,0.7150000000000001
12,glass,semantic,MSC01,MSC03,0.7649999999999999
13,glass,motor,MSC01,MSC03,0.45500000000000007
14,glass,mem,MSC01,MSC03,0.835
15,semantic,glass,MSC01,MSC03,0.51
16,semantic,motor,MSC01,MSC03,0.43999999999999995
17,semantic,mem,MSC01,MSC03,0.8099999999999999
18,motor,glass,MSC01,MSC03,0.595
19,motor,semantic,MSC01,MSC03,0.7949999999999999
20,motor,mem,MSC01,MSC03,0.85
21,mem,glass,MSC01,MSC03,0.59
22,mem,semantic,MSC01,MSC03,0.6650000000000001
23,mem,motor,MSC01,MSC03,0.53
24,glass,semantic,MSC01,MSC04,0.6199999999999999
25,glass,motor,MSC01,MSC04,0.515
26,glass,mem,MSC01,MSC04,0.5849999999999999
27,semantic,glass,MSC01,MSC04,0.59
28,semantic,motor,MSC01,MSC04,0.5
29,semantic,mem,MSC01,MSC04,0.51
30,motor,glass,MSC01,MSC04,0.7050000000000001
31,motor,semantic,MSC01,MSC04,0.7150000000000001
32,motor,mem,MSC01,MSC04,0.72
33,mem,glass,MSC01,MSC04,0.6049999999999999
34,mem,semantic,MSC01,MSC04,0.75
35,mem,motor,MSC01,MSC04,0.6249999999999999
36,glass,semantic,MSC01,MSC05,0.5700000000000001
37,glass,motor,MSC01,MSC05,0.5549999999999999
38,glass,mem,MSC01,MSC05,0.5750000000000001
39,semantic,glass,MSC01,MSC05,0.5
40,semantic,motor,MSC01,MSC05,0.5
41,semantic,mem,MSC01,MSC05,0.5
42,motor,glass,MSC01,MSC05,0.5549999999999999
43,motor,semantic,MSC01,MSC05,0.5800000000000001
44,motor,mem,MSC01,MSC05,0.64
45,mem,glass,MSC01,MSC05,0.5349999999999999
46,mem,semantic,MSC01,MSC05,0.6
47,mem,motor,MSC01,MSC05,0.5549999999999999
48,glass,semantic,MSC01,MSC06,0.5449999999999999
49,glass,motor,MSC01,MSC06,0.61
50,glass,mem,MSC01,MSC06,0.705
51,semantic,glass,MSC01,MSC06,0.5
52,semantic,motor,MSC01,MSC06,0.5499999999999999
53,semantic,mem,MSC01,MSC06,0.5499999999999999
54,motor,glass,MSC01,MSC06,0.5388888888888889
55,motor,semantic,MSC01,MSC06,0.51
56,motor,mem,MSC01,MSC06,0.6300000000000001
57,mem,glass,MSC01,MSC06,0.5833333333333333
58,mem,semantic,MSC01,MSC06,0.5999999999999999
59,mem,motor,MSC01,MSC06,0.675
60,glass,semantic,MSC01,MSC07,0.7100000000000001
61,glass,motor,MSC01,MSC07,0.6500000000000001
62,glass,mem,MSC01,MSC07,0.5
63,semantic,glass,MSC01,MSC07,0.7649999999999999
64,semantic,motor,MSC01,MSC07,0.7000000000000001
65,semantic,mem,MSC01,MSC07,0.62
66,motor,glass,MSC01,MSC07,0.7050000000000001
67,motor,semantic,MSC01,MSC07,0.805
68,motor,mem,MSC01,MSC07,0.615
69,mem,glass,MSC01,MSC07,0.9650000000000001
70,mem,semantic,MSC01,MSC07,0.9549999999999998
71,mem,motor,MSC01,MSC07,0.835
72,glass,semantic,MSC01,MSC10,0.5900000000000001
73,glass,motor,MSC01,MSC10,0.605
74,glass,mem,MSC01,MSC10,0.59
75,semantic,glass,MSC01,MSC10,0.575
76,semantic,motor,MSC01,MSC10,0.6250000000000001
77,semantic,mem,MSC01,MSC10,0.6300000000000001
78,motor,glass,MSC01,MSC10,0.6
79,motor,semantic,MSC01,MSC10,0.6200000000000001
80,motor,mem,MSC01,MSC10,0.72
81,mem,glass,MSC01,MSC10,0.675
82,mem,semantic,MSC01,MSC10,0.5900000000000001
83,mem,motor,MSC01,MSC10,0.6500000000000001
84,glass,semantic,MSC02,MSC01,0.75
85,glass,motor,MSC02,MSC01,0.8049999999999999
86,glass,mem,MSC02,MSC01,0.8
87,semantic,glass,MSC02,MSC01,0.5349999999999999
88,semantic,motor,MSC02,MSC01,0.71
89,semantic,mem,MSC02,MSC01,0.605
90,motor,glass,MSC02,MSC01,0.6150000000000001
91,motor,semantic,MSC02,MSC01,0.655
92,motor,mem,MSC02,MSC01,0.65
93,mem,glass,MSC02,MSC01,0.5900000000000001
94,mem,semantic,MSC02,MSC01,0.5850000000000001
95,mem,motor,MSC02,MSC01,0.5900000000000001
96,glass,semantic,MSC02,MSC03,0.6850000000000002
97,glass,motor,MSC02,MSC03,0.5
98,glass,mem,MSC02,MSC03,0.7749999999999999
99,semantic,glass,MSC02,MSC03,0.715
100,semantic,motor,MSC02,MSC03,0.67
101,semantic,mem,MSC02,MSC03,0.675
102,motor,glass,MSC02,MSC03,0.8799999999999999
103,motor,semantic,MSC02,MSC03,0.74
104,motor,mem,MSC02,MSC03,0.75
105,mem,glass,MSC02,MSC03,0.5700000000000001
106,mem,semantic,MSC02,MSC03,0.5549999999999999
107,mem,motor,MSC02,MSC03,0.5700000000000001
108,glass,semantic,MSC02,MSC04,0.52
109,glass,motor,MSC02,MSC04,0.5499999999999999
110,glass,mem,MSC02,MSC04,0.525
111,semantic,glass,MSC02,MSC04,0.5199999999999999
112,semantic,motor,MSC02,MSC04,0.59
113,semantic,mem,MSC02,MSC04,0.505
114,motor,glass,MSC02,MSC04,0.565
115,motor,semantic,MSC02,MSC04,0.5349999999999999
116,motor,mem,MSC02,MSC04,0.6
117,mem,glass,MSC02,MSC04,0.72
118,mem,semantic,MSC02,MSC04,0.7150000000000001
119,mem,motor,MSC02,MSC04,0.7649999999999999
120,glass,semantic,MSC02,MSC05,0.525
121,glass,motor,MSC02,MSC05,0.5449999999999999
122,glass,mem,MSC02,MSC05,0.615
123,semantic,glass,MSC02,MSC05,0.52
124,semantic,motor,MSC02,MSC05,0.625
125,semantic,mem,MSC02,MSC05,0.5149999999999999
126,motor,glass,MSC02,MSC05,0.5499999999999999
127,motor,semantic,MSC02,MSC05,0.5599999999999999
128,motor,mem,MSC02,MSC05,0.5499999999999999
129,mem,glass,MSC02,MSC05,0.6700000000000002
130,mem,semantic,MSC02,MSC05,0.78
131,mem,motor,MSC02,MSC05,0.74
132,glass,semantic,MSC02,MSC06,0.6500000000000001
133,glass,motor,MSC02,MSC06,0.72
134,glass,mem,MSC02,MSC06,0.8
135,semantic,glass,MSC02,MSC06,0.5333333333333333
136,semantic,motor,MSC02,MSC06,0.5800000000000001
137,semantic,mem,MSC02,MSC06,0.505
138,motor,glass,MSC02,MSC06,0.5
139,motor,semantic,MSC02,MSC06,0.6249999999999999
140,motor,mem,MSC02,MSC06,0.51
141,mem,glass,MSC02,MSC06,0.7277777777777779
142,mem,semantic,MSC02,MSC06,0.6600000000000001
143,mem,motor,MSC02,MSC06,0.85
144,glass,semantic,MSC02,MSC07,0.6199999999999999
145,glass,motor,MSC02,MSC07,0.6600000000000001
146,glass,mem,MSC02,MSC07,0.525
147,semantic,glass,MSC02,MSC07,0.6149999999999999
148,semantic,motor,MSC02,MSC07,0.66
149,semantic,mem,MSC02,MSC07,0.6050000000000001
150,motor,glass,MSC02,MSC07,0.5
151,motor,semantic,MSC02,MSC07,0.5399999999999999
152,motor,mem,MSC02,MSC07,0.51
153,mem,glass,MSC02,MSC07,0.845
154,mem,semantic,MSC02,MSC07,0.775
155,mem,motor,MSC02,MSC07,0.925
156,glass,semantic,MSC02,MSC10,0.45500000000000007
157,glass,motor,MSC02,MSC10,0.465
158,glass,mem,MSC02,MSC10,0.5
159,semantic,glass,MSC02,MSC10,0.5
160,semantic,motor,MSC02,MSC10,0.5
161,semantic,mem,MSC02,MSC10,0.5
162,motor,glass,MSC02,MSC10,0.5
163,motor,semantic,MSC02,MSC10,0.5
164,motor,mem,MSC02,MSC10,0.5599999999999999
165,mem,glass,MSC02,MSC10,0.755
166,mem,semantic,MSC02,MSC10,0.68
167,mem,motor,MSC02,MSC10,0.75
168,glass,semantic,MSC03,MSC01,0.5
169,glass,motor,MSC03,MSC01,0.51
170,glass,mem,MSC03,MSC01,0.5
171,semantic,glass,MSC03,MSC01,0.5
172,semantic,motor,MSC03,MSC01,0.53
173,semantic,mem,MSC03,MSC01,0.5
174,motor,glass,MSC03,MSC01,0.505
175,motor,semantic,MSC03,MSC01,0.57
176,motor,mem,MSC03,MSC01,0.505
177,mem,glass,MSC03,MSC01,0.9350000000000002
178,mem,semantic,MSC03,MSC01,0.8649999999999999
179,mem,motor,MSC03,MSC01,0.9450000000000001
180,glass,semantic,MSC03,MSC02,0.5499999999999999
181,glass,motor,MSC03,MSC02,0.74
182,glass,mem,MSC03,MSC02,0.575
183,semantic,glass,MSC03,MSC02,0.5
184,semantic,motor,MSC03,MSC02,0.5
185,semantic,mem,MSC03,MSC02,0.5
186,motor,glass,MSC03,MSC02,0.51
187,motor,semantic,MSC03,MSC02,0.61
188,motor,mem,MSC03,MSC02,0.5149999999999999
189,mem,glass,MSC03,MSC02,0.525
190,mem,semantic,MSC03,MSC02,0.6950000000000001
191,mem,motor,MSC03,MSC02,0.8400000000000001
192,glass,semantic,MSC03,MSC04,0.5449999999999999
193,glass,motor,MSC03,MSC04,0.5349999999999999
194,glass,mem,MSC03,MSC04,0.5999999999999999
195,semantic,glass,MSC03,MSC04,0.505
196,semantic,motor,MSC03,MSC04,0.5
197,semantic,mem,MSC03,MSC04,0.5
198,motor,glass,MSC03,MSC04,0.7100000000000001
199,motor,semantic,MSC03,MSC04,0.6049999999999999
200,motor,mem,MSC03,MSC04,0.79
201,mem,glass,MSC03,MSC04,0.595
202,mem,semantic,MSC03,MSC04,0.5750000000000001
203,mem,motor,MSC03,MSC04,0.68
204,glass,semantic,MSC03,MSC05,0.5349999999999999
205,glass,motor,MSC03,MSC05,0.61
206,glass,mem,MSC03,MSC05,0.62
207,semantic,glass,MSC03,MSC05,0.5
208,semantic,motor,MSC03,MSC05,0.5
209,semantic,mem,MSC03,MSC05,0.5399999999999999
210,motor,glass,MSC03,MSC05,0.845
211,motor,semantic,MSC03,MSC05,0.7100000000000001
212,motor,mem,MSC03,MSC05,0.725
213,mem,glass,MSC03,MSC05,0.6700000000000002
214,mem,semantic,MSC03,MSC05,0.76
215,mem,motor,MSC03,MSC05,0.605
216,glass,semantic,MSC03,MSC06,0.505
217,glass,motor,MSC03,MSC06,0.545
218,glass,mem,MSC03,MSC06,0.535
219,semantic,glass,MSC03,MSC06,0.5
220,semantic,motor,MSC03,MSC06,0.5
221,semantic,mem,MSC03,MSC06,0.5
222,motor,glass,MSC03,MSC06,0.4666666666666667
223,motor,semantic,MSC03,MSC06,0.5449999999999999
224,motor,mem,MSC03,MSC06,0.48999999999999994
225,mem,glass,MSC03,MSC06,0.5944444444444444
226,mem,semantic,MSC03,MSC06,0.52
227,mem,motor,MSC03,MSC06,0.7849999999999999
228,glass,semantic,MSC03,MSC07,0.5
229,glass,motor,MSC03,MSC07,0.525
230,glass,mem,MSC03,MSC07,0.505
231,semantic,glass,MSC03,MSC07,0.5
232,semantic,motor,MSC03,MSC07,0.51
233,semantic,mem,MSC03,MSC07,0.5
234,motor,glass,MSC03,MSC07,0.505
235,motor,semantic,MSC03,MSC07,0.5
236,motor,mem,MSC03,MSC07,0.59
237,mem,glass,MSC03,MSC07,0.575
238,mem,semantic,MSC03,MSC07,0.58
239,mem,motor,MSC03,MSC07,0.925
240,glass,semantic,MSC03,MSC10,0.5
241,glass,motor,MSC03,MSC10,0.505
242,glass,mem,MSC03,MSC10,0.51
243,semantic,glass,MSC03,MSC10,0.5
244,semantic,motor,MSC03,MSC10,0.505
245,semantic,mem,MSC03,MSC10,0.5
246,motor,glass,MSC03,MSC10,0.72
247,motor,semantic,MSC03,MSC10,0.54
248,motor,mem,MSC03,MSC10,0.63
249,mem,glass,MSC03,MSC10,0.73
250,mem,semantic,MSC03,MSC10,0.6399999999999999
251,mem,motor,MSC03,MSC10,0.75
252,glass,semantic,MSC04,MSC01,0.9200000000000002
253,glass,motor,MSC04,MSC01,0.7899999999999999
254,glass,mem,MSC04,MSC01,0.915
255,semantic,glass,MSC04,MSC01,0.7649999999999999
256,semantic,motor,MSC04,MSC01,0.5399999999999999
257,semantic,mem,MSC04,MSC01,0.6149999999999999
258,motor,glass,MSC04,MSC01,0.745
259,motor,semantic,MSC04,MSC01,0.8099999999999999
260,motor,mem,MSC04,MSC01,0.805
261,mem,glass,MSC04,MSC01,0.8399999999999999
262,mem,semantic,MSC04,MSC01,0.9149999999999998
263,mem,motor,MSC04,MSC01,0.8299999999999998
264,glass,semantic,MSC04,MSC02,0.8399999999999999
265,glass,motor,MSC04,MSC02,0.6100000000000001
266,glass,mem,MSC04,MSC02,0.845
267,semantic,glass,MSC04,MSC02,0.525
268,semantic,motor,MSC04,MSC02,0.51
269,semantic,mem,MSC04,MSC02,0.6499999999999999
270,motor,glass,MSC04,MSC02,0.515
271,motor,semantic,MSC04,MSC02,0.645
272,motor,mem,MSC04,MSC02,0.7049999999999998
273,mem,glass,MSC04,MSC02,0.5800000000000001
274,mem,semantic,MSC04,MSC02,0.75
275,mem,motor,MSC04,MSC02,0.565
276,glass,semantic,MSC04,MSC03,0.595
277,glass,motor,MSC04,MSC03,0.48999999999999994
278,glass,mem,MSC04,MSC03,0.6100000000000001
279,semantic,glass,MSC04,MSC03,0.6549999999999999
280,semantic,motor,MSC04,MSC03,0.6399999999999999
281,semantic,mem,MSC04,MSC03,0.7
282,motor,glass,MSC04,MSC03,0.575
283,motor,semantic,MSC04,MSC03,0.575
284,motor,mem,MSC04,MSC03,0.63
285,mem,glass,MSC04,MSC03,0.5849999999999999
286,mem,semantic,MSC04,MSC03,0.565
287,mem,motor,MSC04,MSC03,0.6049999999999999
288,glass,semantic,MSC04,MSC05,0.73
289,glass,motor,MSC04,MSC05,0.6599999999999999
290,glass,mem,MSC04,MSC05,0.8300000000000001
291,semantic,glass,MSC04,MSC05,0.5
292,semantic,motor,MSC04,MSC05,0.5499999999999999
293,semantic,mem,MSC04,MSC05,0.5
294,motor,glass,MSC04,MSC05,0.565
295,motor,semantic,MSC04,MSC05,0.6700000000000002
296,motor,mem,MSC04,MSC05,0.71
297,mem,glass,MSC04,MSC05,0.6100000000000001
298,mem,semantic,MSC04,MSC05,0.6599999999999999
299,mem,motor,MSC04,MSC05,0.505
300,glass,semantic,MSC04,MSC06,0.5549999999999999
301,glass,motor,MSC04,MSC06,0.645
302,glass,mem,MSC04,MSC06,0.735
303,semantic,glass,MSC04,MSC06,0.5
304,semantic,motor,MSC04,MSC06,0.5449999999999999
305,semantic,mem,MSC04,MSC06,0.51
306,motor,glass,MSC04,MSC06,0.5444444444444445
307,motor,semantic,MSC04,MSC06,0.5900000000000001
308,motor,mem,MSC04,MSC06,0.6600000000000001
309,mem,glass,MSC04,MSC06,0.6222222222222222
310,mem,semantic,MSC04,MSC06,0.605
311,mem,motor,MSC04,MSC06,0.6
312,glass,semantic,MSC04,MSC07,0.86
313,glass,motor,MSC04,MSC07,0.6300000000000001
314,glass,mem,MSC04,MSC07,0.6950000000000001
315,semantic,glass,MSC04,MSC07,0.885
316,semantic,motor,MSC04,MSC07,0.585
317,semantic,mem,MSC04,MSC07,0.73
318,motor,glass,MSC04,MSC07,0.7999999999999999
319,motor,semantic,MSC04,MSC07,0.795
320,motor,mem,MSC04,MSC07,0.7899999999999999
321,mem,glass,MSC04,MSC07,0.8800000000000001
322,mem,semantic,MSC04,MSC07,0.875
323,mem,motor,MSC04,MSC07,0.6700000000000002
324,glass,semantic,MSC04,MSC10,0.675
325,glass,motor,MSC04,MSC10,0.735
326,glass,mem,MSC04,MSC10,0.6900000000000001
327,semantic,glass,MSC04,MSC10,0.625
328,semantic,motor,MSC04,MSC10,0.505
329,semantic,mem,MSC04,MSC10,0.7050000000000001
330,motor,glass,MSC04,MSC10,0.7849999999999999
331,motor,semantic,MSC04,MSC10,0.7150000000000001
332,motor,mem,MSC04,MSC10,0.74
333,mem,glass,MSC04,MSC10,0.75
334,mem,semantic,MSC04,MSC10,0.8299999999999998
335,mem,motor,MSC04,MSC10,0.7749999999999999
336,glass,semantic,MSC05,MSC01,0.4600000000000001
337,glass,motor,MSC05,MSC01,0.59
338,glass,mem,MSC05,MSC01,0.505
339,semantic,glass,MSC05,MSC01,0.63
340,semantic,motor,MSC05,MSC01,0.75
341,semantic,mem,MSC05,MSC01,0.7150000000000001
342,motor,glass,MSC05,MSC01,0.6450000000000001
343,motor,semantic,MSC05,MSC01,0.655
344,motor,mem,MSC05,MSC01,0.745
345,mem,glass,MSC05,MSC01,0.5399999999999999
346,mem,semantic,MSC05,MSC01,0.5399999999999999
347,mem,motor,MSC05,MSC01,0.53
348,glass,semantic,MSC05,MSC02,0.525
349,glass,motor,MSC05,MSC02,0.5499999999999999
350,glass,mem,MSC05,MSC02,0.5499999999999999
351,semantic,glass,MSC05,MSC02,0.585
352,semantic,motor,MSC05,MSC02,0.5999999999999999
353,semantic,mem,MSC05,MSC02,0.59
