,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.7299999999999999
1,mixed,mem,MSC01,0.8350000000000002
2,motor,mixed,MSC01,0.8150000000000001
3,motor,mem,MSC01,0.825
4,mem,mixed,MSC01,0.845
5,mem,motor,MSC01,0.82
6,mixed,motor,MSC02,0.5650000000000001
7,mixed,mem,MSC02,0.7000000000000002
8,motor,mixed,MSC02,0.595
9,motor,mem,MSC02,0.6499999999999999
10,mem,mixed,MSC02,0.65
11,mem,motor,MSC02,0.48
12,mixed,motor,MSC03,0.7900000000000001
13,mixed,mem,MSC03,0.7625
14,motor,mixed,MSC03,0.7349999999999999
15,motor,mem,MSC03,0.675
16,mem,mixed,MSC03,0.66875
17,mem,motor,MSC03,0.59375
18,mixed,motor,MSC04,0.5900000000000001
19,mixed,mem,MSC04,0.7800000000000001
20,motor,mixed,MSC04,0.6100000000000001
21,motor,mem,MSC04,0.715
22,mem,mixed,MSC04,0.8300000000000001
23,mem,motor,MSC04,0.645
24,mixed,motor,MSC05,0.7349999999999999
25,mixed,mem,MSC05,0.86
26,motor,mixed,MSC05,0.695
27,motor,mem,MSC05,0.725
28,mem,mixed,MSC05,0.79
29,mem,motor,MSC05,0.625
30,mixed,motor,MSC06,0.5833333333333333
31,mixed,mem,MSC06,0.755
32,motor,mixed,MSC06,0.49444444444444446
33,motor,mem,MSC06,0.44999999999999996
34,mem,mixed,MSC06,0.635
35,mem,motor,MSC06,0.4111111111111111
36,mixed,motor,MSC07,0.6777777777777778
37,mixed,mem,MSC07,0.635
38,motor,mixed,MSC07,0.6944444444444444
39,motor,mem,MSC07,0.5166666666666666
40,mem,mixed,MSC07,0.6250000000000001
41,mem,motor,MSC07,0.538888888888889
42,mixed,motor,MSC10,0.6199999999999999
43,mixed,mem,MSC10,0.6649999999999998
44,motor,mixed,MSC10,0.5750000000000001
45,motor,mem,MSC10,0.7
46,mem,mixed,MSC10,0.6099999999999999
47,mem,motor,MSC10,0.505
